formula,heusler type,num_electron,struct type,latt const,tetragonality,e_form,pol fermi,gap width,stability,mu_b,mu_b saturation
V2TiSb,Full Heusler,19,L21,6.32,1,-0.05,13.05,0.005,TRUE,1.7344,254.87
V2VAl,Full Heusler,18,L21,6.03,1,-0.087,0,No gap,TRUE,0,0
V2VGa,Full Heusler,18,L21,6.03,1,-0.097,0,No gap,TRUE,0,0
V2VIn,Full Heusler,18,L21,6.25,1,0.218,0.01,No gap,FALSE,0,0
V2VSi,Full Heusler,19,D022,5.72,1.1031,-0.307,0,No gap,TRUE,0,0
V2VGe,Full Heusler,19,D022,5.68,1.1761,-0.177,0,No gap,TRUE,0.0001,0.02
V2VSn,Full Heusler,19,D022,5.94,1.1599,0.032,0.02,No gap,FALSE,0.0002,0.03
V2VP,Full Heusler,20,D022,5.41,1.2662,-0.421,0,No gap,TRUE,0,0
V2VAs,Full Heusler,20,D022,5.16,1.5659,-0.222,0,No gap,TRUE,0,0
V2VSb,Full Heusler,20,L21,6.24,1,0.002,81.02,No gap,FALSE,2.013,307.34
V2CrAl,Full Heusler,19,L21,5.96,1,-0.052,91.93,No gap,TRUE,0.9835,172.33
V2CrGa,Full Heusler,19,D022,5.6588,1.1587,-0.051,0,No gap,TRUE,0,0
V2CrIn,Full Heusler,19,L21,6.21,1,0.306,38.99,No gap,FALSE,1.4251,220.75
V2CrSi,Full Heusler,20,D022,5.568,1.1595,-0.248,0,No gap,TRUE,0.0001,0.02
V2CrGe,Full Heusler,20,D022,5.5191,1.2431,-0.103,0,No gap,TRUE,0,0
V2CrSn,Full Heusler,20,L21,6.24,1,0.132,71.38,No gap,FALSE,1.865,284.74
V2CrP,Full Heusler,21,D022,5.0183,1.5324,-0.378,10.54,No gap,TRUE,0.7036,134.78
V2CrAs,Full Heusler,21,D022,5.1692,1.503,-0.127,2.95,No gap,TRUE,0.6871,122.78
V2CrSb,Full Heusler,21,D022,5.4071,1.4828,0.101,42.04,No gap,FALSE,0.8851,140.07
V2MnAl,Full Heusler,20,L21,5.96,1,-0.075,27.41,No gap,TRUE,1.466,256.88
V2MnGa,Full Heusler,20,D022,5.2009,1.4615,-0.078,22.35,No gap,TRUE,0.6602,119.12
V2MnIn,Full Heusler,20,L21,6.31,1,0.244,34.48,No gap,FALSE,1.7014,251.21
V2MnSi,Full Heusler,21,D022,4.9331,1.652,-0.318,13.4,No gap,TRUE,1.6566,309.86
V2MnGe,Full Heusler,21,D022,5.3965,1.3275,-0.157,20.92,No gap,TRUE,1.1573,205.77
V2MnSn,Full Heusler,21,L21,6.32,1,0.071,48.97,0.19,FALSE,1.492,219.25
V2MnP,Full Heusler,22,D022,4.9367,1.5977,-0.47,42.86,No gap,TRUE,1.815,350.26
V2MnAs,Full Heusler,22,D022,5.0731,1.5509,-0.221,40.59,No gap,TRUE,1.93,353.58
V2MnSb,Full Heusler,22,L21,6.28,1,0.041,44.8,0.014,FALSE,0.9135,136.82
V2FeAl,Full Heusler,21,D022,4.9285,1.6927,-0.147,12.82,No gap,TRUE,1.5127,276.92
V2FeGa,Full Heusler,21,D022,5.0109,1.6379,-0.129,28.24,No gap,TRUE,1.6169,291.04
V2FeIn,Full Heusler,21,L21,6.21,1,0.288,41.86,0.005,FALSE,0.9985,154.67
V2FeSi,Full Heusler,22,L21,5.86,1,-0.255,18.92,0.009,TRUE,1.2041,221.97
V2FeGe,Full Heusler,22,L21,5.96,1,-0.128,27.75,0.023,TRUE,0.8354,146.38
V2FeSn,Full Heusler,22,D022,5.2012,1.6185,0.014,31.81,No gap,FALSE,2.016,328.39
V2FeP,Full Heusler,23,D022,4.9363,1.5625,-0.494,44.8,No gap,TRUE,1.4605,288.27
V2FeAs,Full Heusler,23,D022,4.9572,1.6374,-0.235,25.94,No gap,TRUE,1.3832,257.25
V2FeSb,Full Heusler,23,D022,5.1592,1.6446,-0.027,22.82,No gap,TRUE,1.4375,236.11
V2CoAl,Full Heusler,22,D022,4.8925,1.7232,-0.221,0.14,No gap,TRUE,0.0019,0.35
V2CoGa,Full Heusler,22,D022,4.9264,1.6825,-0.184,0,No gap,TRUE,0.0042,0.77
V2CoIn,Full Heusler,22,L21,6.2,1,0.313,63.65,No gap,FALSE,3.7179,578.69
V2CoSi,Full Heusler,23,D022,4.8494,1.6761,-0.42,0,No gap,TRUE,0,0
V2CoGe,Full Heusler,23,D022,4.9455,1.6546,-0.264,0.29,No gap,TRUE,0.0707,13.1
V2CoSn,Full Heusler,23,D022,5.137,1.674,-0.05,3.77,No gap,TRUE,0.0912,14.91
V2CoP,Full Heusler,24,D022,4.8591,1.6121,-0.553,0.02,No gap,TRUE,0.0001,0.02
V2CoAs,Full Heusler,24,D022,4.9811,1.6124,-0.303,0.05,No gap,TRUE,0.0007,0.13
V2CoSb,Full Heusler,24,D022,5.1663,1.6342,-0.109,0.02,No gap,TRUE,0.0001,0.02
V2NiAl,Full Heusler,23,D022,4.9115,1.7241,-0.291,0,No gap,TRUE,0,0
V2NiGa,Full Heusler,23,D022,4.952,1.6784,-0.25,0,No gap,TRUE,0,0
V2NiIn,Full Heusler,23,D022,5.1417,1.6933,0.052,0,No gap,FALSE,0,0
V2NiSi,Full Heusler,24,D022,4.9295,1.6188,-0.461,0,No gap,TRUE,0,0
V2NiGe,Full Heusler,24,D022,5.0215,1.6023,-0.323,0,No gap,TRUE,0,0
V2NiSn,Full Heusler,24,D022,5.1991,1.6346,-0.139,0,No gap,TRUE,0,0
V2NiP,Full Heusler,25,D022,4.9483,1.5557,-0.556,0,No gap,TRUE,0,0
V2NiAs,Full Heusler,25,D022,5.0667,1.557,-0.335,0.01,No gap,TRUE,0,0
V2NiSb,Full Heusler,25,D022,5.239,1.5891,-0.167,0,No gap,TRUE,0,0
Cr2ScAl,Full Heusler,18,L21,6.3429,1.0001,0.119,93.06,No gap,FALSE,5.9142,859.64
Cr2ScGa,Full Heusler,18,L21,6.31,1,0.138,88.23,No gap,FALSE,5.8512,863.94
Cr2ScIn,Full Heusler,18,L21,6.56,1,0.265,92.46,No gap,FALSE,5.9213,778.1
Cr2ScSi,Full Heusler,19,L21,6.1227,1.0004,-0.035,78.57,0.328,TRUE,4.937,797.6
Cr2ScGe,Full Heusler,19,L21,6.21,1,0.049,78.76,0.086,FALSE,4.9294,763.57
Cr2ScSn,Full Heusler,19,L21,6.47,1,0.081,87.85,No gap,FALSE,4.9609,679.48
Cr2ScP,Full Heusler,20,L21,5.9823,1.0004,-0.088,95.99,0.214,TRUE,3.9738,688.25
Cr2ScAs,Full Heusler,20,L21,6.1469,0.9949,0.066,96.85,No gap,FALSE,3.9852,639.75
Cr2ScSb,Full Heusler,20,L21,6.3895,0.9995,0.083,98.13,0.19,FALSE,3.997,568.67
Cr2TiAl,Full Heusler,19,L21,6.096,1.0002,-0.008,28.16,0.332,TRUE,4.4399,726.9
Cr2TiGa,Full Heusler,19,L21,6.0763,1.0004,0.016,39.51,0.019,FALSE,4.3226,714.45
Cr2TiIn,Full Heusler,19,L21,6.35,1,0.241,68.08,No gap,FALSE,4.733,685.71
Cr2TiSi,Full Heusler,20,L21,5.91,1,-0.252,15.92,0.542,TRUE,3.0466,547.49
Cr2TiGe,Full Heusler,20,L21,6,1,-0.114,18.73,0.271,TRUE,3.318,569.84
Cr2TiSn,Full Heusler,20,L21,6.2865,0.9988,0.016,81.83,0.052,FALSE,3.8602,577.05
Cr2TiP,Full Heusler,21,L21,5.7976,1.0001,-0.362,5.2,0.584,TRUE,2.5318,481.92
Cr2TiAs,Full Heusler,21,L21,5.9565,1.0017,-0.136,65.11,No gap,TRUE,2.9461,516.24
Cr2TiSb,Full Heusler,21,L21,6.2179,0.999,-0.033,86.72,0.413,TRUE,2.9913,462.02
Cr2VAl,Full Heusler,20,L21,5.93,1,-0.055,31.65,0.319,TRUE,2.6887,478.31
Cr2VGa,Full Heusler,20,L21,5.93,1,-0.02,6.48,0.109,TRUE,2.8109,500.04
Cr2VIn,Full Heusler,20,L21,6.25,1,0.272,46.41,No gap,FALSE,3.7257,566.1
Cr2VSi,Full Heusler,21,L21,5.81,1.0005,-0.288,53.98,0.114,TRUE,2.8966,547.62
Cr2VGe,Full Heusler,21,L21,5.9082,1,-0.115,83.36,0.209,TRUE,2.9515,530.88
Cr2VSn,Full Heusler,21,L21,6.18,1,0.078,64.35,0.166,FALSE,2.9765,467.81
Cr2VP,Full Heusler,22,L21,5.66,1,-0.364,13.01,No gap,TRUE,0.3656,74.8
Cr2VAs,Full Heusler,22,L21,5.84,1,-0.071,23.18,No gap,TRUE,1.7736,330.33
Cr2VSb,Full Heusler,22,L21,6.11,1,0.103,93.35,0.19,FALSE,1.9941,324.3
Cr2CrAl,Full Heusler,21,L21,5.9114,1.0002,-0.021,64.28,0.199,TRUE,2.9205,524.38
Cr2CrGa,Full Heusler,21,L21,5.92,1,0.035,46.04,0.157,FALSE,2.8754,514.11
Cr2CrIn,Full Heusler,21,L21,6.25,1,0.344,68.56,No gap,FALSE,2.9604,449.82
Cr2CrSi,Full Heusler,22,L21,5.73,1,-0.169,41.4,No gap,TRUE,1.8813,370.96
Cr2CrGe,Full Heusler,22,L21,5.86,1,0.032,92.88,No gap,FALSE,1.9746,364.01
Cr2CrSn,Full Heusler,22,L21,6.2051,0.9983,0.239,99.84,0.014,FALSE,1.9997,311
Cr2CrP,Full Heusler,23,L21,5.6071,1.0028,-0.201,0,No gap,TRUE,0,0
Cr2CrAs,Full Heusler,23,L21,5.84,1,0.083,90.67,No gap,FALSE,0.9754,181.67
Cr2CrSb,Full Heusler,23,L21,6.14,1,0.265,99.93,0.433,FALSE,1,160.26
Cr2MnAl,Full Heusler,22,L21,5.9167,0.9999,0.002,97.35,0.209,FALSE,1.9932,357.03
Cr2MnGa,Full Heusler,22,L21,5.9347,1.0013,0.04,89.59,0.194,FALSE,1.9515,345.9
Cr2MnIn,Full Heusler,22,L21,6.27,1,0.337,62.99,No gap,FALSE,2.0343,306.15
Cr2MnSi,Full Heusler,23,L21,5.78,1,-0.162,84.44,0.138,TRUE,0.9306,178.77
Cr2MnGe,Full Heusler,23,L21,5.91,1,-0.007,92.23,0.418,TRUE,0.9588,172.3
Cr2MnSn,Full Heusler,23,L21,6.21,1,0.181,95.76,0.152,FALSE,0.9905,153.43
Cr2MnP,Full Heusler,24,L21,5.6774,0.9993,-0.268,41.82,0.005,TRUE,0.397,80.54
Cr2MnAs,Full Heusler,24,L21,5.85,1,-0.006,80.55,No gap,TRUE,0.0447,8.28
Cr2MnSb,Full Heusler,24,L21,6.13,1,0.171,95.17,0.547,FALSE,0.0011,0.18
Cr2FeAl,Full Heusler,23,L21,5.8518,0.9991,0.099,82.06,No gap,FALSE,4.9857,923.78
Cr2FeGa,Full Heusler,23,L21,5.89,1,0.11,50.67,0.066,FALSE,0.8541,155.06
Cr2FeIn,Full Heusler,23,L21,6.16,1,0.45,53.19,0.005,FALSE,0.9688,153.75
Cr2FeSi,Full Heusler,24,L21,5.7185,1.0021,-0.134,5.54,No gap,TRUE,0.7815,154.7
Cr2FeGe,Full Heusler,24,L21,5.84,1,0.049,40.46,No gap,FALSE,0.1578,29.39
Cr2FeSn,Full Heusler,24,D022,5.0667,1.6458,0.292,47.51,No gap,FALSE,1.0825,187.6
Cr2FeP,Full Heusler,25,L21,5.6248,0.9997,-0.223,13.2,0.004,TRUE,1.6627,346.69
Cr2FeAs,Full Heusler,25,L21,5.8006,0.9947,0.076,0.02,No gap,FALSE,1.1509,219.91
Cr2FeSb,Full Heusler,25,L21,6.06,1,0.296,61.58,0.005,FALSE,0.8395,139.94
Cr2CoAl,Full Heusler,24,L21,5.8919,0.9986,0.125,75.95,No gap,FALSE,5.7597,1046.02
Cr2CoGa,Full Heusler,24,L21,5.8906,1.001,0.162,79.2,No gap,FALSE,5.7819,1048.29
Cr2CoIn,Full Heusler,24,L21,6.1978,1.001,0.477,66.54,No gap,FALSE,6.9038,1074.68
Cr2CoSi,Full Heusler,25,D022,4.7767,1.6358,-0.265,0,No gap,TRUE,0,0
Cr2CoGe,Full Heusler,25,D022,4.8726,1.6211,-0.052,0,No gap,TRUE,0,0
Cr2CoSn,Full Heusler,25,L21,6.19,1,0.319,83.49,No gap,FALSE,7.0093,1096.3
Cr2CoP,Full Heusler,26,D022,5.5397,1.0331,-0.16,34.48,No gap,TRUE,0.4985,105.29
Cr2CoAs,Full Heusler,26,D022,4.9214,1.5768,0.014,57.4,No gap,FALSE,0.5348,105.56
Cr2CoSb,Full Heusler,26,D022,5.1399,1.5723,0.224,66.97,No gap,FALSE,0.7158,124.38
Cr2NiAl,Full Heusler,25,L21,6,1,0.153,66.55,No gap,FALSE,6.686,1148.26
Cr2NiGa,Full Heusler,25,L21,5.99,1,0.169,68.79,No gap,FALSE,6.5147,1124.45
Cr2NiIn,Full Heusler,25,L21,6.3,1,0.409,26.7,No gap,FALSE,7.4137,1099.87
Cr2NiSi,Full Heusler,26,D022,4.8237,1.6169,-0.215,0,No gap,TRUE,0,0
Cr2NiGe,Full Heusler,26,D022,4.9228,1.598,-0.031,7.82,No gap,TRUE,0.078,15.18
Cr2NiSn,Full Heusler,26,L21,6.27,1,0.273,0.79,No gap,FALSE,7.093,1067.47
Cr2NiP,Full Heusler,27,D022,5.4831,1.0761,-0.191,0,No gap,TRUE,0.0001,0.02
Cr2NiAs,Full Heusler,27,D022,5.0664,1.4838,0.043,69.21,No gap,FALSE,1.7279,332.19
Cr2NiSb,Full Heusler,27,D022,5.179,1.5627,0.215,65.14,No gap,FALSE,1.894,323.66
Mn2ScAl,Full Heusler,20,L21,6.16,1,-0.111,88.78,0.204,TRUE,4.0054,635.67
Mn2ScGa,Full Heusler,20,D022,5.63,1.3677,-0.111,31.71,No gap,TRUE,5.4082,822
Mn2ScIn,Full Heusler,20,L21,6.52,1,0.056,37.22,0.052,FALSE,5.9553,797.05
Mn2ScSi,Full Heusler,21,L21,5.9449,1.0011,-0.25,93.9,0.352,TRUE,2.9809,525.72
Mn2ScGe,Full Heusler,21,L21,6.04,1,-0.128,84.94,0.133,TRUE,2.9786,501.45
Mn2ScSn,Full Heusler,21,L21,6.48,1,-0.083,47.79,0.223,TRUE,5.6623,771.96
Mn2ScP,Full Heusler,22,L21,5.82,1,-0.313,96.18,0.304,TRUE,1.9888,374.24
Mn2ScAs,Full Heusler,22,L21,5.975,0.9998,-0.117,96.41,0.086,TRUE,1.9852,345.29
Mn2ScSb,Full Heusler,22,L21,6.2319,0.9996,-0.067,97.14,0.304,TRUE,1.9879,304.81
Mn2TiAl,Full Heusler,21,L21,5.95,1,-0.338,75.34,No gap,TRUE,2.9865,525.94
Mn2TiGa,Full Heusler,21,L21,5.94,1,-0.286,77.07,No gap,TRUE,2.9726,526.14
Mn2TiIn,Full Heusler,21,L21,6.22,1,-0.013,12.55,No gap,TRUE,3.184,490.83
Mn2TiSi,Full Heusler,22,L21,5.77,1,-0.535,93.46,0.399,TRUE,1.9832,382.97
Mn2TiGe,Full Heusler,22,L21,5.87,1,-0.351,94.28,0.114,TRUE,1.9721,361.69
Mn2TiSn,Full Heusler,22,L21,6.13,1,-0.17,96.98,No gap,TRUE,1.9841,319.53
Mn2TiP,Full Heusler,23,L21,5.6621,1.0001,-0.614,0.09,0.389,TRUE,0.0044,0.9
Mn2TiAs,Full Heusler,23,L21,5.82,1,-0.346,70.55,0.523,TRUE,0.9519,179.12
Mn2TiSb,Full Heusler,23,L21,6.07,1,-0.214,88.3,0.409,TRUE,0.976,161.89
Mn2VAl,Full Heusler,22,L21,5.8019,0.9994,-0.31,98.05,0.323,TRUE,1.9994,379.98
Mn2VGa,Full Heusler,22,L21,5.8044,1.001,-0.225,94.78,0.009,TRUE,1.9786,374.95
Mn2VIn,Full Heusler,22,L21,6.25,1,0.093,7.49,No gap,FALSE,4.1104,624.56
Mn2VSi,Full Heusler,23,L21,5.65,1,-0.517,73.16,0.005,TRUE,0.9657,198.62
Mn2VGe,Full Heusler,23,L21,5.75,1,-0.278,84.97,No gap,TRUE,0.9628,187.87
Mn2VSn,Full Heusler,23,L21,6.01,1,-0.018,93.53,0.138,TRUE,0.9941,169.88
Mn2VP,Full Heusler,24,L21,5.5664,0.9999,-0.548,3.35,No gap,TRUE,0.0018,0.39
Mn2VAs,Full Heusler,24,L21,5.7203,0.9994,-0.225,0.03,No gap,TRUE,0,0
Mn2VSb,Full Heusler,24,L21,5.9686,0.9999,-0.031,0,No gap,TRUE,0,0
Mn2CrAl,Full Heusler,23,L21,5.72,1,-0.155,91.76,No gap,TRUE,1.0406,206.26
Mn2CrGa,Full Heusler,23,D022,5.4019,1.2832,-0.061,58.23,No gap,TRUE,2.7269,500.11
Mn2CrIn,Full Heusler,23,L21,6.31,1,0.243,53.3,No gap,FALSE,3.7636,555.7
Mn2CrSi,Full Heusler,24,L21,5.5899,0.9988,-0.327,0.04,No gap,TRUE,0.0002,0.04
Mn2CrGe,Full Heusler,24,L21,5.72,1,-0.063,95.68,No gap,TRUE,0.0156,3.09
Mn2CrSn,Full Heusler,24,D022,5.61,1.3316,0.092,88.95,No gap,FALSE,2.028,320
Mn2CrP,Full Heusler,25,L21,5.55,1,-0.335,87.89,No gap,TRUE,1.0108,219.34
Mn2CrAs,Full Heusler,25,D022,5.2188,1.4032,-0.055,13.48,No gap,TRUE,1.4207,264.25
Mn2CrSb,Full Heusler,25,D022,5.52,1.3623,0.104,9.78,No gap,FALSE,1.1809,191.18
Mn2MnAl,Full Heusler,24,D022,5.3644,1.307,-0.136,55.07,No gap,TRUE,1.7039,313.27
Mn2MnGa,Full Heusler,24,D022,5.35,7.09,-0.104,58.98,No gap,TRUE,1.7624,60.22
Mn2MnIn,Full Heusler,24,D022,5.6,1.3464,0.179,67.32,No gap,FALSE,1.9188,301.03
Mn2MnSi,Full Heusler,25,L21,5.64,1,-0.328,95.93,0.39,TRUE,1.0071,208.24
Mn2MnGe,Full Heusler,25,D022,5.2882,1.343,-0.148,72.35,No gap,TRUE,0.9943,185.71
Mn2MnSn,Full Heusler,25,D022,5.5637,1.3377,0.033,85.16,No gap,FALSE,1.0435,168.02
Mn2MnP,Full Heusler,26,L21,5.55,1,-0.399,95.56,No gap,TRUE,2.0003,434.05
Mn2MnAs,Full Heusler,26,L21,5.71,1,-0.097,92.89,0.204,TRUE,2.002,398.92
Mn2MnSb,Full Heusler,26,D022,5.4041,1.4378,0.049,11.82,No gap,FALSE,1.133,185.22
Mn2FeAl,Full Heusler,25,D022,5.2194,1.3645,-0.072,29.28,No gap,TRUE,5.1686,988.26
Mn2FeGa,Full Heusler,25,L21,5.87,1,-0.036,48.52,No gap,TRUE,7.3108,1340.84
Mn2FeIn,Full Heusler,25,L21,6.16,1,0.234,29.41,No gap,FALSE,8.0256,1273.69
Mn2FeSi,Full Heusler,26,L21,5.599,1.0002,-0.265,25.04,No gap,TRUE,2.104,444.57
Mn2FeGe,Full Heusler,26,D022,5.3788,1.2613,-0.058,54.12,No gap,TRUE,6.4483,1218.73
Mn2FeSn,Full Heusler,26,D022,5.75,1.2104,0.088,32.05,No gap,FALSE,7.3279,1181.3
Mn2FeP,Full Heusler,27,L21,5.55,1,-0.294,44.63,No gap,TRUE,2.8161,611.08
Mn2FeAs,Full Heusler,27,D022,5.0395,1.4881,-0.02,22.65,No gap,TRUE,2.2138,431.17
Mn2FeSb,Full Heusler,27,D022,5.2938,1.4767,0.13,11.14,No gap,FALSE,7.1437,1209.64
Mn2CoAl,Full Heusler,26,L21,5.89,1,-0.144,4.85,No gap,TRUE,7.5559,1371.73
Mn2CoGa,Full Heusler,26,L21,5.91,1,-0.086,28.99,No gap,TRUE,7.7951,1400.83
Mn2CoIn,Full Heusler,26,L21,6.19,1,0.165,30.43,No gap,FALSE,8.1582,1276
Mn2CoSi,Full Heusler,27,D022,4.8959,1.4978,-0.257,46.4,No gap,TRUE,2.1643,456.77
Mn2CoGe,Full Heusler,27,L21,5.86,1,-0.009,56.26,No gap,TRUE,7.1538,1318.78
Mn2CoSn,Full Heusler,27,D022,5.5362,1.3506,0.052,44.8,No gap,FALSE,7.3015,1181.89
Mn2CoP,Full Heusler,28,L21,5.5092,0.9993,-0.238,0.09,No gap,TRUE,0.3986,88.49
Mn2CoAs,Full Heusler,28,D022,5.1779,1.3982,-0.028,34.13,No gap,TRUE,5.8381,1115.76
Mn2CoSb,Full Heusler,28,D022,5.4292,1.4102,0.076,62.81,No gap,FALSE,6.874,1129.94
Mn2NiAl,Full Heusler,27,L21,5.92,1,-0.097,50.48,0.019,TRUE,6.8174,1218.94
Mn2NiGa,Full Heusler,27,D022,5.3911,1.3223,-0.098,52.97,No gap,TRUE,6.6725,1194.72
Mn2NiIn,Full Heusler,27,L21,6.25,1,0.157,46.99,No gap,FALSE,7.7576,1178.73
Mn2NiSi,Full Heusler,28,D022,5.1434,1.3706,-0.266,18.3,No gap,TRUE,4.9589,986.39
Mn2NiGe,Full Heusler,28,D022,5.2653,1.3665,-0.129,26.27,No gap,TRUE,5.6529,1051.31
Mn2NiSn,Full Heusler,28,D022,5.4657,1.4094,-0.011,49.61,No gap,TRUE,6.3444,1022.67
Mn2NiP,Full Heusler,29,L21,5.53,1,-0.261,0,No gap,TRUE,0.0001,0.02
Mn2NiAs,Full Heusler,29,D022,5.2002,1.4034,-0.096,13.81,No gap,TRUE,5.3638,1008.23
Mn2NiSb,Full Heusler,29,D022,5.3953,1.4396,-0.008,49.95,No gap,TRUE,5.8538,960.44
Fe2ScAl,Full Heusler,22,L21,6.02,1,-0.197,92.85,0.123,TRUE,1.9221,326.82
Fe2ScGa,Full Heusler,22,L21,6.01,1,-0.14,93.61,No gap,TRUE,1.9142,327.11
Fe2ScIn,Full Heusler,22,L21,6.37,1,0.039,56.37,No gap,FALSE,3.8266,549.19
Fe2ScSi,Full Heusler,23,L21,5.85,1,-0.387,91.16,0.2,TRUE,0.9336,172.99
Fe2ScGe,Full Heusler,23,L21,5.95,1,-0.246,90.53,No gap,TRUE,0.9044,159.27
Fe2ScSn,Full Heusler,23,L21,6.2048,1.0005,-0.162,86.4,No gap,TRUE,0.8989,139.52
Fe2ScP,Full Heusler,24,L21,5.75,1,-0.484,0,0.342,TRUE,0,0
Fe2ScAs,Full Heusler,24,L21,5.9,1,-0.288,0,0.166,TRUE,0,0
Fe2ScSb,Full Heusler,24,L21,6.15,1,-0.253,0,0.099,TRUE,0.0002,0.03
Fe2TiAl,Full Heusler,23,L21,5.82,1,-0.465,88.76,0.047,TRUE,0.9442,177.67
Fe2TiGa,Full Heusler,23,L21,5.83,1,-0.377,87.03,0.033,TRUE,0.9086,170.1
Fe2TiIn,Full Heusler,23,L21,6.07,1,-0.059,88.28,No gap,TRUE,0.9466,157.01
Fe2TiSi,Full Heusler,24,L21,5.685,1.0001,-0.706,0,0.447,TRUE,0,0
Fe2TiGe,Full Heusler,24,L21,5.78,1,-0.494,0,0.214,TRUE,0,0
Fe2TiSn,Full Heusler,24,L21,6.0338,1,-0.304,0,0.09,TRUE,0.0007,0.12
Fe2TiP,Full Heusler,25,L21,5.65,1,-0.6,100,0.403,TRUE,1,205.68
Fe2TiAs,Full Heusler,25,L21,5.8,1,-0.354,100,0.365,TRUE,1,190.13
Fe2TiSb,Full Heusler,25,L21,6.04,1,-0.264,100,0.304,TRUE,1.0022,168.72
Fe2VAl,Full Heusler,24,L21,5.6925,1.0001,-0.427,0,No gap,TRUE,0,0
Fe2VGa,Full Heusler,24,L21,5.7084,1,-0.299,0,No gap,TRUE,0,0
Fe2VIn,Full Heusler,24,L21,5.9606,0.9999,0.107,0,No gap,FALSE,0,0
Fe2VSi,Full Heusler,25,L21,5.61,1,-0.489,81.91,0.09,TRUE,0.8056,169.26
Fe2VGe,Full Heusler,25,D022,5.59,1.0698,-0.249,78.36,No gap,TRUE,0.8652,171.76
Fe2VSn,Full Heusler,25,L21,5.98,1,-0.02,66.79,No gap,TRUE,0.882,153
Fe2VP,Full Heusler,26,D022,5.181,1.2439,-0.414,0,No gap,TRUE,0,0
Fe2VAs,Full Heusler,26,D022,5.3037,1.253,-0.134,0,No gap,TRUE,0,0
Fe2VSb,Full Heusler,26,L21,5.99,1,0.01,66.39,0.034,FALSE,1.8343,316.6
Fe2CrAl,Full Heusler,25,L21,5.6599,1,-0.167,95.02,0.162,TRUE,0.9978,204.15
Fe2CrGa,Full Heusler,25,L21,5.68,1,-0.033,100,0.138,TRUE,1.0013,202.7
Fe2CrIn,Full Heusler,25,D022,5.462,1.3928,0.302,87.34,No gap,FALSE,0.912,149.06
Fe2CrSi,Full Heusler,26,D022,5.4678,1.0659,-0.266,99.38,0.147,TRUE,2,425.78
Fe2CrGe,Full Heusler,26,D022,5.62,1.0409,-0.031,100,0.28,TRUE,2,401.54
Fe2CrSn,Full Heusler,26,L21,5.9688,0.9999,0.186,99.91,No gap,FALSE,2.0011,349.11
Fe2CrP,Full Heusler,27,D022,5.062,1.3152,-0.245,67.17,No gap,TRUE,1.0625,231.04
Fe2CrAs,Full Heusler,27,D022,5.22,1.3065,0.046,51.19,No gap,FALSE,0.1825,36.43
Fe2CrSb,Full Heusler,27,D022,5.756,1.1068,0.173,99.98,0.228,FALSE,3,527.27
Fe2MnAl,Full Heusler,26,L21,5.6711,1.0002,-0.038,0.01,No gap,TRUE,0.0001,0.02
Fe2MnGa,Full Heusler,26,L21,5.6969,1.0001,-0.075,74.25,0.119,TRUE,2.0329,407.84
Fe2MnIn,Full Heusler,26,D022,5.4,1.4278,0.236,30.29,No gap,FALSE,0.2034,33.56
Fe2MnSi,Full Heusler,27,L21,5.5942,0.9951,-0.34,100,0.432,TRUE,3,638.77
Fe2MnGe,Full Heusler,27,D022,5.7226,0.9839,-0.114,96.99,0.409,TRUE,3.0081,605.16
Fe2MnSn,Full Heusler,27,L21,5.9606,0.9992,0.107,0.23,0.223,FALSE,5.597,981.2
