formula,k_expt,k-units,k_condition,k_condition_units
NaCo2O4,1.904,W/m$\cdot$K,300,K
TiNiSn,5.51,W/m$\cdot$K,700,K
Ba8Ga16Ge30,1.3,W/m$\cdot$K,700,K
Tl2SnTe5,6.75,W/m$\cdot$K,300,K
In0.1Co4Sb12,2.18825,W/m$\cdot$K,300,K
CaMnO3,3.56184,W/m$\cdot$K,300,K
In1.94Ge0.06O3,8.86791,W/m$\cdot$K,300,K
Zr0.95Nb0.05NiSn,6.6684,W/m$\cdot$K,700,K
CuCr0.95Mg0.05O2,6.9878,W/m$\cdot$K,1000,K
Ba0.8Sr0.2PbO3,4.0289,W/m$\cdot$K,700,K
Mg2Si0.997Bi0.003,3.53,W/m$\cdot$K,700,K
Ca0.9Tb0.1MnO3,1.5871,W/m$\cdot$K,400,K
Pb0.97Sr0.02TeNa0.01,2.23E+00,W/m$\cdot$K,400,K
NbCo1.10Sn,6.77258,W/m$\cdot$K,1000,K
Mo6Te7S,2.77301,W/m$\cdot$K,300,K
CuCr0.98Mg0.02O2,7.5581,W/m$\cdot$K,300,K
Ca3Co4O9,2.837,W/m$\cdot$K,1000,K
Cu4.0Mo6S8,1.3479,W/m$\cdot$K,300,K
CaMn0.96Ru0.04O3,3.23973,W/m$\cdot$K,700,K
CaMnO3,3.06714,W/m$\cdot$K,400,K
Ca0.9Tb0.1MnO3,1.75635,W/m$\cdot$K,700,K
Zn4Sb3,0.6638,W/m$\cdot$K,400,K
Ca2.97Na0.03AlSb3,1.67,W/m$\cdot$K,300,K
CuCr0.98Mg0.02O2,6.7086,W/m$\cdot$K,400,K
Ca0.7Tb0.3MnO3,1.462482104,W/m$\cdot$K,700,K
Zn0.95Al0.05O,20.25,W/m$\cdot$K,400,K
Ba0.4Sr0.6PbO3,1.98266,W/m$\cdot$K,700,K
Fe1.3Mo6S8,1.4885,W/m$\cdot$K,300,K
Ca5Al2Sb6,1.54,W/m$\cdot$K,300,K
La3Te3.35Bi0.65,1.83,W/m$\cdot$K,400,K
In1.9Ge0.1O3,2.51443,W/m$\cdot$K,1000,K
K2Bi8Se13,1.28517,W/m$\cdot$K,300,K
Ba8Au5.59Si39.01,2.41,W/m$\cdot$K,700,K
Ba8Au6.10Si38.97,2.33,W/m$\cdot$K,400,K
Mg2Si,6.15,W/m$\cdot$K,400,K
La3Te3.35Sb0.65,1.17,W/m$\cdot$K,700,K
NbCo1.05Sn,7.2322,W/m$\cdot$K,700,K
WO2.722,6.2948,W/m$\cdot$K,1000,K
CaGd0.94Mn0.06O3,1.94512,W/m$\cdot$K,1000,K
Ca0.9Bi0.1MnO3,3.5909,W/m$\cdot$K,300,K
SrNd0.24Ti0.76O3,3.76,W/m$\cdot$K,700,K
Sr0.9La0.1TiO3,5.88,W/m$\cdot$K,300,K
Mn1.3Mo6S8,1.6274,W/m$\cdot$K,400,K
In1.998Ge0.002O3,3.92271,W/m$\cdot$K,700,K
Ca0.7Y0.3MnO3,1.46749541,W/m$\cdot$K,400,K
CaMnO3,2.04673,W/m$\cdot$K,700,K
Ca0.7Ho0.3MnO3,1.416678012,W/m$\cdot$K,700,K
Ca0.9Ho0.1MnO3,1.637290898,W/m$\cdot$K,300,K
SrDy0.08Ti0.92O3,3.17,W/m$\cdot$K,700,K
Ca2.4Na0.3Bi0.3Co4O9,1.75,W/m$\cdot$K,1000,K
Ba8Au6.10Si38.97,2.18,W/m$\cdot$K,300,K
ZrNi1.98Cu0.02Sn,7.98,W/m$\cdot$K,300,K
Ca0.7Ho0.3MnO3,1.599402623,W/m$\cdot$K,1000,K
Ti0.95Nb0.05NiSn,6.3783,W/m$\cdot$K,400,K
Zr0.99Nb0.01NiSn,6.0517,W/m$\cdot$K,700,K
Fe1.94Ti0.06O3,4.34,W/m$\cdot$K,700,K
Na0.02Pb0.98Te,2.675,W/m$\cdot$K,400,K
Ca0.9Yb0.1MnO3,1.63871,W/m$\cdot$K,400,K
AgCrSe2,0.956,W/m$\cdot$K,300,K
Sr0.145Ga0.302Ge0.553,0.81,W/m$\cdot$K,300,K
CeFe4Sb12,1.55,W/m$\cdot$K,300,K
Bi2Sr2Co2O8,2.1246,W/m$\cdot$K,400,K
In1.994Ge0.006O3,7.20692,W/m$\cdot$K,400,K
Zn0.95Al0.05O,6.23,W/m$\cdot$K,1000,K
Ba8Ga16Ge30,1.79,W/m$\cdot$K,400,K
Na0.02Pb0.98Te0.75Se0.25,1.29643,W/m$\cdot$K,700,K
NbCo1.05Sn,7.6719,W/m$\cdot$K,1000,K
Sn1.2S1.2Ti2S4,2.66,W/m$\cdot$K,300,K
In1.985Ge0.015O3,7.04775,W/m$\cdot$K,400,K
Zr0.15Hf0.15Ti0.7NiSn,3.072,W/m$\cdot$K,400,K
Ca0.7Y0.3MnO3,1.536920596,W/m$\cdot$K,1000,K
SrNb0.15Ti0.85O3,4.696,W/m$\cdot$K,400,K
SrTi0.8Nb0.2O3,2.555,W/m$\cdot$K,1000,K
Mg2Si0.9985Bi0.0015,7.08,W/m$\cdot$K,300,K
CaGd0.96Mn0.04O3,1.78652,W/m$\cdot$K,300,K
SrTi0.8Nb0.2O3,8.57,W/m$\cdot$K,400,K
Mg2Si0.6Ge0.4Ag0.02,2.57,W/m$\cdot$K,700,K
Ba0.3Sr0.6La0.1TiO3,1.91,W/m$\cdot$K,700,K
CaMnO3,3.3114,W/m$\cdot$K,700,K
CaYb0.1Mn0.9O3,1.61396,W/m$\cdot$K,700,K
CaYb0.05Mn0.95O3,1.49028,W/m$\cdot$K,300,K
La0.98Sr0.02CoO3,1.8,W/m$\cdot$K,300,K
Ba8Ga16Ge30,1.94,W/m$\cdot$K,300,K
Fe0.998Co0.002Si2,5.02,W/m$\cdot$K,1000,K
CuCr0.95Mg0.05O2,9.5221,W/m$\cdot$K,300,K
Nd2CuO4,3.94,W/m$\cdot$K,1000,K
Mg1.95Ca0.05Si,3.8,W/m$\cdot$K,700,K
TiNiSn,6.72,W/m$\cdot$K,400,K
ZrNi0.76Co0.004Cu0.2Sn,6.02,W/m$\cdot$K,300,K
Fe1.96Ti0.04O3,3.54,W/m$\cdot$K,1000,K
In1.985Ge0.015O3,4.61902,W/m$\cdot$K,700,K
Sr0.9La0.1TiO3,3.15,W/m$\cdot$K,1000,K
Zr0.15Hf0.15Ti0.7NiSn,3.157,W/m$\cdot$K,700,K
CaGd0.94Mn0.06O3,2.5699,W/m$\cdot$K,400,K
Ti0.95Nb0.05NiSn,5.2517,W/m$\cdot$K,700,K
CaGd0.96Mn0.04O3,1.28033,W/m$\cdot$K,1000,K
Ca3Co4O9,1.8,W/m$\cdot$K,700,K
Ca3AlSb3,1.1,W/m$\cdot$K,400,K
Fe1.3Mo6S8,3.4165,W/m$\cdot$K,1000,K
CeFe3CoSb12,2.07,W/m$\cdot$K,700,K
Sr0.9La0.1TiO3,3.83,W/m$\cdot$K,700,K
Ca0.9Tb0.1MnO3,1.604043252,W/m$\cdot$K,1000,K
Fe1.94Ti0.06O3,5.93,W/m$\cdot$K,400,K
La3Te3.35Bi0.65,1.967,W/m$\cdot$K,300,K
Sn1.2S1.2Ti2S4,2.03,W/m$\cdot$K,400,K
Zn4Sb3,0.783,W/m$\cdot$K,300,K
Pb0.94Sr0.04TeNa0.02,2.13E+00,W/m$\cdot$K,400,K
Ca0.9Nd0.1MnO3,2.41307,W/m$\cdot$K,400,K
Ca2.97Na0.03AlSb3,0.84,W/m$\cdot$K,700,K
Si0.8Ge0.2,2.55469,W/m$\cdot$K,1000,K
CaYb0.15Mn0.85O3,1.69435,W/m$\cdot$K,1000,K
Ca2.4Na0.3Bi0.3Co4O9,1.8,W/m$\cdot$K,700,K
Ti0.98Nb0.02NiSn,5.085,W/m$\cdot$K,700,K
CaMnO3,3.30607,W/m$\cdot$K,400,K
Zn0.98Al0.02O,12.4,W/m$\cdot$K,700,K
Ca0.9Ho0.1MnO3,2.18525,W/m$\cdot$K,700,K
Ca2Co2O5,2.3,W/m$\cdot$K,300,K
Zr0.95Nb0.05NiSn,6.2417,W/m$\cdot$K,1000,K
Ca2.94Na0.06AlSb3,1.65,W/m$\cdot$K,300,K
Nd2CuO4,13.7,W/m$\cdot$K,400,K
Sr2Ti0.8Nb0.2O4,4.37,W/m$\cdot$K,300,K
CaYb0.1Mn0.9O3,1.63869,W/m$\cdot$K,400,K
Zn4Sb3,0.77,W/m$\cdot$K,300,K
CeFe3.5Co0.5Sb13,2.38,W/m$\cdot$K,400,K
Li0.0242Ni0.9758O,2.54979,W/m$\cdot$K,1000,K
NbCo1.05Sn,6.88672,W/m$\cdot$K,300,K
Cu1.98Se,1.73,W/m$\cdot$K,400,K
Ca2.7Bi0.3Co4O9,2,W/m$\cdot$K,300,K
Zr0.35Hf0.35Ti0.3NiSn,2.837,W/m$\cdot$K,400,K
Sm0.5Ca0.5MnO3,1.9,W/m$\cdot$K,300,K
La0.99Sr0.01CoO3,1.807,W/m$\cdot$K,300,K
WO2.722,6.8797,W/m$\cdot$K,700,K
In2O3,9.6695,W/m$\cdot$K,300,K
Yb14MnSb11,0.816,W/m$\cdot$K,700,K
Ca0.9Nd0.1MnO3,2.38232,W/m$\cdot$K,1000,K
Ag9TlTe5,0.2,W/m$\cdot$K,700,K
Na0.02Pb0.98Te0.85Se0.15,1.26786,W/m$\cdot$K,700,K
CaYb0.15Mn0.85O3,1.64488,W/m$\cdot$K,300,K
CuCr0.97Mg0.03O2,6.4607,W/m$\cdot$K,400,K
In1.8Ge0.2O3,3.23848,W/m$\cdot$K,300,K
Mo6Te6S2,2.12496,W/m$\cdot$K,300,K
Ba8Ga16Ge30,1.7,W/m$\cdot$K,300,K
In0.2Co4Sb12,1.93658,W/m$\cdot$K,700,K
Ca0.7Y0.3MnO3,1.793253904,W/m$\cdot$K,300,K
CuCr0.98Mg0.02O2,5.8378,W/m$\cdot$K,700,K
Zn0.995Al0.005O,8.25,W/m$\cdot$K,1000,K
Ba8Ga18Ge28,1.1,W/m$\cdot$K,700,K
Sr0.61Ba0.39Nb2O6,2.0205,W/m$\cdot$K,400,K
Li0.0066Ni0.9944O,6.0105,W/m$\cdot$K,700,K
Ca0.9Bi0.1MnO3,2.2145,W/m$\cdot$K,700,K
Sb2Te3,5.205245902,W/m$\cdot$K,300,K
Ca0.98Bi0.02Mn0.98Nb0.02O3,2.51281,W/m$\cdot$K,300,K
Ba8Ga16Ge30,1.42,W/m$\cdot$K,400,K
Zr0.99Nb0.01NiSn,6.0617,W/m$\cdot$K,1000,K
Ti0.98Nb0.02NiSn,7.4261,W/m$\cdot$K,300,K
La3Te3.35Bi0.65,1.37,W/m$\cdot$K,1000,K
Sr0.9Y0.1TiO3,4.5,W/m$\cdot$K,1000,K
In2O3,3.86562,W/m$\cdot$K,700,K
Ni2.0Mo6S8,2.3304,W/m$\cdot$K,400,K
In0.2Co4Sb12,2.57047,W/m$\cdot$K,300,K
ZrNiSn,8.395,W/m$\cdot$K,400,K
Bi2Te3,1.468195804,W/m$\cdot$K,300,K
Fe1.3Mo6S8,2.775,W/m$\cdot$K,700,K
CaYb0.05Mn0.95O3,1.61396,W/m$\cdot$K,1000,K
In1.998Ge0.002O3,9.1565,W/m$\cdot$K,300,K
CeFe3CoSb12,1.98,W/m$\cdot$K,400,K
ZrNiSn,5.9849,W/m$\cdot$K,700,K
Ca0.9Ho0.1MnO3,2.06759,W/m$\cdot$K,400,K
Cu1.98Se,1.25,W/m$\cdot$K,300,K
Mg1.9Ca0.1Si,5.2,W/m$\cdot$K,300,K
Na0.02Pb0.98Te0.85Se0.15,2.21786,W/m$\cdot$K,400,K
Zr0.35Hf0.35Ti0.3NiSn,2.942,W/m$\cdot$K,700,K
Nd2Cu0.98Zn0.02O4,3.63,W/m$\cdot$K,1000,K
Ca2.4Na0.3Bi0.3Co4O9,1.9,W/m$\cdot$K,400,K
Tl9BiTe6,0.409,W/m$\cdot$K,400,K
Ba8Ga18Ge28,1,W/m$\cdot$K,1000,K
Yb14MnSb11,0.715,W/m$\cdot$K,1000,K
CuCr0.99Mg0.01O2,4.9475,W/m$\cdot$K,1000,K
Li0.0066Ni0.9944O,5.30518,W/m$\cdot$K,1000,K
In2O3,6.77329,W/m$\cdot$K,400,K
CaMn0.98Nb0.02O3,1.38075,W/m$\cdot$K,1000,K
CaMnO3,2.97299,W/m$\cdot$K,400,K
In1.94Ge0.06O3,6.6037,W/m$\cdot$K,400,K
Ca2.7Na0.3Co4O9,2,W/m$\cdot$K,700,K
Na0.02Pb0.98Te0.75Se0.25,2.15357,W/m$\cdot$K,400,K
Mo3Te4,3.91172,W/m$\cdot$K,400,K
Mo6Te6S2,3.45435,W/m$\cdot$K,1000,K
ZnO,33.22,W/m$\cdot$K,400,K
La2.99Te4,2.87,W/m$\cdot$K,1000,K
Pb0.98TeNa0.02,4.29E+00,W/m$\cdot$K,300,K
CuCrO2,6.1557,W/m$\cdot$K,400,K
Sr4.5Nb4.5O15.5,2.45,W/m$\cdot$K,300,K
Zn0.95Al0.05O,14.3,W/m$\cdot$K,700,K
Bi2Sr2Co2O8,2.0678,W/m$\cdot$K,700,K
NbCoSn,6.90444,W/m$\cdot$K,300,K
Ca0.7Y0.3MnO3,1.514920146,W/m$\cdot$K,700,K
Ba8Au5.59Si39.01,1.62,W/m$\cdot$K,400,K
Zr0.5Hf0.5NiSn,4.087,W/m$\cdot$K,300,K
Ag9TlTe5,0.2,W/m$\cdot$K,300,K
Nd2Cu0.98Ni0.02O4,9.811,W/m$\cdot$K,300,K
In0.05Co4Sb12,1.73762,W/m$\cdot$K,400,K
CaMnO3,2.06537,W/m$\cdot$K,1000,K
Zn4Sb3,0.6933,W/m$\cdot$K,700,K
Sb0.005I0.015Cs0.995Bi3.98Te5.97,1.5,W/m$\cdot$K,300,K
LaFe3CoSb12,1.6,W/m$\cdot$K,300,K
Sr2Ti0.8Nb0.2O4,2.48,W/m$\cdot$K,700,K
In0.25Co4Sb12,2.13453,W/m$\cdot$K,700,K
Ca2.94Na0.06AlSb3,1.27,W/m$\cdot$K,400,K
Ca0.98Bi0.02Mn0.98Nb0.02O3,1.87848,W/m$\cdot$K,700,K
Zr0.15Hf0.15Ti0.7NiSn,3.394,W/m$\cdot$K,300,K
NaCo2O4,5.7025,W/m$\cdot$K,700,K
Li0.0242Ni0.9758O,3.49599,W/m$\cdot$K,700,K
Zr0.94Y0.06NiSn0.96Sb0.04,8.35,W/m$\cdot$K,300,K
La3Te3.35Sb0.65,0.987,W/m$\cdot$K,1000,K
Li0.0024Ni0.9976O,8.44401,W/m$\cdot$K,1000,K
Mg2Si,4.5,W/m$\cdot$K,300,K
Ba8Au5.14Si39.51,1.86,W/m$\cdot$K,300,K
La2.99Te4,2.605,W/m$\cdot$K,400,K
Mo3Te4,4.45197,W/m$\cdot$K,700,K
ZnO,8.58,W/m$\cdot$K,1000,K
Ca0.9Tb0.1MnO3,1.574660559,W/m$\cdot$K,700,K
Bi1.2S1.2Ti2S4,2.11,W/m$\cdot$K,700,K
Nd2CuO4,29.6,W/m$\cdot$K,300,K
CuRh0.9Mg0.1O2,8.39186,W/m$\cdot$K,1000,K
ZrNi0.76Co0.004Cu0.2Sn,5.3,W/m$\cdot$K,400,K
In0.25Co4Sb12,2.55853,W/m$\cdot$K,300,K
Ba8Ga16Ge30,1.63,W/m$\cdot$K,400,K
SrNb0.15Ti0.85O3,5.88,W/m$\cdot$K,300,K
Zr0.94Y0.06NiSn0.96Sb0.04,6.51,W/m$\cdot$K,400,K
Zn0.99Al0.01O,44.495,W/m$\cdot$K,300,K
La0.8Sr0.2CoO3,3.69579,W/m$\cdot$K,300,K
SrNd0.17Ti0.83O3,3.397,W/m$\cdot$K,1000,K
CuCr0.95Mg0.05O2,8.0871,W/m$\cdot$K,700,K
SrNd0.2Ti0.8O3,3.1968,W/m$\cdot$K,1000,K
CaMnO3,2.15813,W/m$\cdot$K,700,K
Ba8Ga16Ge30,2,W/m$\cdot$K,1000,K
Na0.02Pb0.98Te0.85Se0.15,3.01429,W/m$\cdot$K,300,K
Mg2Si0.9985Bi0.0015,5.07,W/m$\cdot$K,400,K
SrNd0.17Ti0.83O3,5.35,W/m$\cdot$K,400,K
SrTi0.8Nb0.2O3,3.14,W/m$\cdot$K,1000,K
Zr0.98Nb0.02NiSn,6.4517,W/m$\cdot$K,700,K
Ca2.85Na0.15AlSb3,0.68,W/m$\cdot$K,1000,K
Nd2Cu0.98Ni0.02O4,8.03,W/m$\cdot$K,400,K
Ca2.85Na0.15AlSb3,1.59,W/m$\cdot$K,300,K
Mg2Si,7.25,W/m$\cdot$K,300,K
Tl0.02Pb0.98Te,2.16832,W/m$\cdot$K,300,K
Ba0.6Sr0.4PbO3,2.36416,W/m$\cdot$K,400,K
Fe0.998Co0.002Si2,5.69,W/m$\cdot$K,300,K
Ca0.9Nd0.1MnO3,2.41558,W/m$\cdot$K,700,K
SrTi0.8Nb0.2O3,7.96,W/m$\cdot$K,300,K
Sr2Ti0.8Nb0.2O4,3.59,W/m$\cdot$K,400,K
Ag0.15Sb0.15Te1.15Ge0.85,1.65073,W/m$\cdot$K,700,K
Nd2Cu0.98Ni0.02O4,3.902,W/m$\cdot$K,1000,K
CaMnO3,2.09242,W/m$\cdot$K,1000,K
In1.94Ge0.06O3,3.06296,W/m$\cdot$K,1000,K
Zn0.95Al0.05O,34.5,W/m$\cdot$K,300,K
Zn0.995Al0.005O,44.495,W/m$\cdot$K,300,K
Zn0.995Al0.005O,30.21,W/m$\cdot$K,400,K
Ca0.9Ho0.1MnO3,2.23936,W/m$\cdot$K,1000,K
Ca4.75Na0.25Al2Sb6,0.82,W/m$\cdot$K,700,K
