mpid,asr_breaking,eps_electronic,eps_total,last phdos peak,structure,formula
mp-1008786,23.431342716886892,9.136444248134904,23.20621949331387,247.5857593961698,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[2.98956562, 2.98956562, 0.0], [2.98956562, 0.0, -2.98956562], [0.0, 2.98956562, -2.98956562]], 'a': 4.2278842454083305, 'b': 4.2278842454083305, 'c': 4.2278842454083305, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 53.438500981034636}, 'sites': [{'species': [{'element': 'Mg', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Mg', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'Te', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'xyz': [2.98956562, 2.98956562, -2.98956562], 'label': 'Te', 'properties': {'magmom': 0.0}}]}",MgTe
mp-1009009,3.0746429410304965,2.178095709228347,,566.5023415512218,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[2.55953322, 0.0, 0.0], [0.0, 2.55953322, 0.0], [-0.0, -0.0, 2.55953322]], 'a': 2.55953322, 'b': 2.55953322, 'c': 2.55953322, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 16.768040405020102}, 'sites': [{'species': [{'element': 'Li', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Li', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'F', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'xyz': [1.27976661, 1.27976661, 1.27976661], 'label': 'F', 'properties': {'magmom': -0.0}}]}",LiF
mp-1009082,9.546469131417515,15.7992048174199,18.2745972995025,276.58575709351777,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[6.16129882, 0.0, 0.0], [0.0, 6.16129882, 0.0], [-3.08064941, -3.08064941, 6.02601195]], 'a': 6.16129882, 'b': 6.16129882, 'c': 7.435968100806344, 'alpha': 114.47463086085499, 'beta': 114.47463086085499, 'gamma': 90.0, 'volume': 228.75707421904065}, 'sites': [{'species': [{'element': 'Mg', 'occu': 1}], 'abc': [0.5, 0.5, 0.0], 'xyz': [3.08064941, 3.08064941, 0.0], 'label': 'Mg', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'Mg', 'occu': 1}], 'abc': [0.75, 0.25, 0.5], 'xyz': [3.0806494100000004, 0.0, 3.013005975], 'label': 'Mg', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'Sn', 'occu': 1}], 'abc': [0.25, 0.75, 0.5], 'xyz': [0.0, 3.0806494100000004, 3.013005975], 'label': 'Sn', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'Sn', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Sn', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'As', 'occu': 1}], 'abc': [0.37560088, 0.375, 0.25], 'xyz': [1.5440269062349619, 1.5403247050000002, 1.5065029875], 'label': 'As', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'As', 'occu': 1}], 'abc': [0.625, 0.12560088, 0.75], 'xyz': [1.5403247049999997, -1.5366225037650385, 4.5195089625], 'label': 'As', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'As', 'occu': 1}], 'abc': [0.87439912, 0.875, 0.25], 'xyz': [4.617271913765038, 4.620974115, 1.5065029875], 'label': 'As', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'As', 'occu': 1}], 'abc': [0.125, 0.62439912, 0.75], 'xyz': [-1.5403247050000002, 1.536622503765038, 4.5195089625], 'label': 'As', 'properties': {'magmom': -0.0}}]}",MgSnAs2
mp-1009084,1.9643380767529928,14.155200738479365,16.022306774826127,523.5857374812748,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[5.65578353, 0.0, 0.0], [0.0, 5.65578353, -0.0], [-2.82789176, -2.82789176, 5.67959839]], 'a': 5.65578353, 'b': 5.65578353, 'c': 6.946350227582999, 'alpha': 114.02308528837266, 'beta': 114.02308528837266, 'gamma': 90.0, 'volume': 181.6783534256515}, 'sites': [{'species': [{'element': 'Be', 'occu': 1}], 'abc': [0.5, 0.5, -0.0], 'xyz': [2.827891765, 2.827891765, 0.0], 'label': 'Be', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'Be', 'occu': 1}], 'abc': [0.75, 0.25, 0.5], 'xyz': [2.8278917674999997, 2.4999999848063226e-09, 2.839799195], 'label': 'Be', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'Sn', 'occu': 1}], 'abc': [0.25, 0.75, 0.5], 'xyz': [2.4999999848063226e-09, 2.8278917674999997, 2.839799195], 'label': 'Sn', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'Sn', 'occu': 1}], 'abc': [0.0, -0.0, -0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Sn', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'As', 'occu': 1}], 'abc': [0.43040484, 0.375, 0.25], 'xyz': [1.727303665304285, 1.4139458837499999, 1.4198995975], 'label': 'As', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'As', 'occu': 1}], 'abc': [0.625, 0.18040484, 0.75], 'xyz': [1.41394588625, -1.1005880971957147, 4.2596987925], 'label': 'As', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'As', 'occu': 1}], 'abc': [0.81959516, 0.875, 0.25], 'xyz': [3.9284798671957146, 4.24183764875, 1.4198995975], 'label': 'As', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'As', 'occu': 1}], 'abc': [0.125, 0.56959516, 0.75], 'xyz': [-1.4139458787499999, 1.1005881046957149, 4.2596987925], 'label': 'As', 'properties': {'magmom': 0.0}}]}",BeSnAs2
mp-1009085,4.61252843024478,9.725650646208301,10.838679435082003,590.5857321613547,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': None, 'lattice': {'matrix': [[-5.13911996, 0.0, 0.0], [0.0, 5.13911996, -0.0], [2.56955998, -2.56955998, -5.09681286]], 'a': 5.13911996, 'b': 5.13911996, 'c': 6.259614869262851, 'alpha': 114.23612819721296, 'beta': 114.23612819721296, 'gamma': 90.0, 'volume': 134.60965107972058}, 'sites': [{'species': [{'element': 'Be', 'occu': 1}], 'abc': [0.75, 0.25, 0.5], 'xyz': [-2.56955998, 0.0, -2.54840643], 'label': 'Be', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'Be', 'occu': 1}], 'abc': [0.0, -0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Be', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'Si', 'occu': 1}], 'abc': [0.25, 0.75, 0.5], 'xyz': [0.0, 2.56955998, -2.54840643], 'label': 'Si', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'Si', 'occu': 1}], 'abc': [0.5, 0.5, 0.0], 'xyz': [-2.56955998, 2.56955998, 0.0], 'label': 'Si', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'P', 'occu': 1}], 'abc': [0.10997545, 0.125, 0.75], 'xyz': [1.361992954795018, -1.28477999, -3.822609645], 'label': 'P', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'P', 'occu': 1}], 'abc': [0.875, 0.35997545, 0.25], 'xyz': [-3.85433997, 1.207567025204982, -1.274203215], 'label': 'P', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'P', 'occu': 1}], 'abc': [0.375, 0.89002455, 0.25], 'xyz': [-1.28477999, 3.931552934795018, -1.274203215], 'label': 'P', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'P', 'occu': 1}], 'abc': [0.64002455, 0.625, 0.75], 'xyz': [-1.3619929547950183, 1.2847799900000003, -3.822609645], 'label': 'P', 'properties': {'magmom': 0.0}}]}",BeSiP2
mp-1009087,4.056915800475064,10.975548777894929,11.896135915323725,528.5857370842659,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[5.38430743, 0.0, 0.0], [0.0, 5.38430743, 0.0], [-2.69215372, -2.69215372, 5.3483037]], 'a': 5.38430743, 'b': 5.38430743, 'c': 6.565038901000768, 'alpha': 114.20950218326888, 'beta': 114.20950218326888, 'gamma': 90.0, 'volume': 155.0514237418144}, 'sites': [{'species': [{'element': 'Be', 'occu': 1}], 'abc': [0.5, 0.5, 0.0], 'xyz': [2.692153715, 2.692153715, 0.0], 'label': 'Be', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'Be', 'occu': 1}], 'abc': [0.75, 0.25, 0.5], 'xyz': [2.6921537124999997, -2.4999999848063226e-09, 2.67415185], 'label': 'Be', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'Si', 'occu': 1}], 'abc': [-0.0, -0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Si', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'Si', 'occu': 1}], 'abc': [0.25, 0.75, 0.5], 'xyz': [-2.4999999848063226e-09, 2.6921537124999997, 2.67415185], 'label': 'Si', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'As', 'occu': 1}], 'abc': [0.125, 0.60598123, 0.75], 'xyz': [-1.3460768612499998, 1.2436739491295392, 4.011227775], 'label': 'As', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'As', 'occu': 1}], 'abc': [0.39401877, 0.375, 0.25], 'xyz': [1.4484797608704612, 1.3460768562499998, 1.337075925], 'label': 'As', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'As', 'occu': 1}], 'abc': [0.85598123, 0.875, 0.25], 'xyz': [3.935827666629539, 4.03823057125, 1.337075925], 'label': 'As', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'As', 'occu': 1}], 'abc': [0.625, 0.14401877, 0.75], 'xyz': [1.34607685375, -1.2436739566295387, 4.011227775], 'label': 'As', 'properties': {'magmom': -0.0}}]}",BeSiAs2
mp-1009088,2.641128514287047,13.201552584892275,14.2945499763931,540.5857361314445,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[5.45322016, 0.0, -0.0], [0.0, 5.45322016, 0.0], [-2.72661008, -2.72661008, 5.46580772]], 'a': 5.45322016, 'b': 5.45322016, 'c': 6.689085071123465, 'alpha': 114.05546334927986, 'beta': 114.05546334927986, 'gamma': 90.0, 'volume': 162.5400589323381}, 'sites': [{'species': [{'element': 'Be', 'occu': 1}], 'abc': [0.0, -0.0, -0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Be', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'Be', 'occu': 1}], 'abc': [0.25, 0.75, 0.5], 'xyz': [0.0, 2.7266100799999995, 2.73290386], 'label': 'Be', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'Ge', 'occu': 1}], 'abc': [0.75, 0.25, 0.5], 'xyz': [2.7266100799999995, 0.0, 2.73290386], 'label': 'Ge', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'Ge', 'occu': 1}], 'abc': [0.5, 0.5, -0.0], 'xyz': [2.72661008, 2.72661008, 0.0], 'label': 'Ge', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'As', 'occu': 1}], 'abc': [0.125, 0.6567215, 0.75], 'xyz': [-1.3633050399999997, 1.53628936330544, 4.09935579], 'label': 'As', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'As', 'occu': 1}], 'abc': [0.9067215, 0.875, 0.25], 'xyz': [4.2628994433054395, 4.08991512, 1.36645193], 'label': 'As', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'As', 'occu': 1}], 'abc': [0.625, 0.0932785, 0.75], 'xyz': [1.3633050400000002, -1.53628936330544, 4.09935579], 'label': 'As', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'As', 'occu': 1}], 'abc': [0.3432785, 0.375, 0.25], 'xyz': [1.19032071669456, 1.3633050399999997, 1.36645193], 'label': 'As', 'properties': {'magmom': 0.0}}]}",BeGeAs2
mp-1009127,63.57251597526473,3.749417190112608,83.19721563564347,503.0871580170192,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[2.66136985, 0.0, 0.0], [0.0, 2.66136985, 0.0], [0.0, 0.0, 2.66136985]], 'a': 2.66136985, 'b': 2.66136985, 'c': 2.66136985, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 18.850188508932906}, 'sites': [{'species': [{'element': 'Mg', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Mg', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'O', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'xyz': [1.330684925, 1.330684925, 1.330684925], 'label': 'O', 'properties': {'magmom': -0.0}}]}",MgO
mp-1009129,61.26360941686818,3.458803575018516,13.327614399461696,540.5857361314445,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'charge': None, 'lattice': {'matrix': [[2.93802121, 3.5e-07, 0.0], [-1.4690103, 2.54440059, 0.0], [0.0, 0.0, 2.67967973]], 'a': 2.938021210000021, 'b': 2.9380206983441144, 'c': 2.67967973, 'alpha': 90.0, 'beta': 90.0, 'gamma': 119.99999206720483, 'volume': 20.03195497087262}, 'sites': [{'species': [{'element': 'Mg', 'occu': 1}], 'abc': [1.235e-05, 6.18e-06, 0.0], 'xyz': [2.7206078289499998e-05, 1.57243999687e-05, 0.0], 'label': 'Mg', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'O', 'occu': 1}], 'abc': [0.33338765, 0.66669382, 0.5], 'xyz': [0.00011989832571035743, 1.6963362656430312, 1.339839865], 'label': 'O', 'properties': {'magmom': -0.0}}]}",MgO
mp-1009220,91.43440661269837,3.4954096377045403,18.558188550638906,831.7296089824321,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[2.95512387, 0.0, -0.0], [0.0, 2.95512387, 0.0], [0.0, -0.0, 2.95512387]], 'a': 2.95512387, 'b': 2.95512387, 'c': 2.95512387, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 25.80637891883473}, 'sites': [{'species': [{'element': 'Na', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Na', 'properties': {'magmom': 0.0}}, {'species': [{'element': 'H', 'occu': 1}], 'abc': [0.5, 0.5, 0.5], 'xyz': [1.477561935, 1.477561935, 1.477561935], 'label': 'H', 'properties': {'magmom': -0.0}}]}",NaH
mp-1009540,1.0036307712253802,57.85964733829591,83.51357157253113,680.1989487939549,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[2.30621486, 2.30621486, 0.0], [2.30621486, 0.0, -2.30621486], [0.0, 2.30621486, -2.30621486]], 'a': 3.2614803327583686, 'b': 3.2614803327583686, 'c': 3.2614803327583686, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 24.531793154382036}, 'sites': [{'species': [{'element': 'Os', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Os', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'C', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'xyz': [3.45932229, 3.45932229, -3.45932229], 'label': 'C', 'properties': {'magmom': -0.0}}]}",OsC
mp-1009733,2.025017994540996,14.029135215494929,21.963121702916585,240.5857599519823,"{'@module': 'pymatgen.core.structure', '@class': 'Structure', 'lattice': {'matrix': [[3.58441112, 3.58441112, 0.0], [3.58441112, 0.0, -3.58441112], [0.0, 3.58441112, -3.58441112]], 'a': 5.069122819024935, 'b': 5.069122819024935, 'c': 5.069122819024935, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 92.10505019927393}, 'sites': [{'species': [{'element': 'Ca', 'occu': 1}], 'abc': [0.25, 0.25, 0.25], 'xyz': [1.79220556, 1.79220556, -1.79220556], 'label': 'Ca', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'Ca', 'occu': 1}], 'abc': [0.75, 0.75, 0.75], 'xyz': [5.37661668, 5.37661668, -5.37661668], 'label': 'Ca', 'properties': {'magmom': -0.0}}, {'species': [{'element': 'Si', 'occu': 1}], 'abc': [0.0, 0.0, 0.0], 'xyz': [0.0, 0.0, 0.0], 'label': 'Si', 'properties': {'magmom': 0.0}}]}",Ca2Si
