formula,system,processing,phase,gfa
Co12.162000Fe25.479000Zr62.359000,CoFeZr,sputtering,CR,0
Co12.032000Fe23.581000Zr64.386000,CoFeZr,sputtering,CR,0
Co11.872000Fe21.792000Zr66.336000,CoFeZr,sputtering,CR,0
Co11.685000Fe20.109000Zr68.206000,CoFeZr,sputtering,CR,0
Co11.473000Fe18.528000Zr69.999000,CoFeZr,sputtering,CR,0
Co11.240000Fe17.053000Zr71.706000,CoFeZr,sputtering,CR,0
Co10.988000Fe15.678000Zr73.334000,CoFeZr,sputtering,CR,0
Co10.721000Fe14.402000Zr74.877000,CoFeZr,sputtering,CR,0
Co10.441000Fe13.220000Zr76.338000,CoFeZr,sputtering,CR,0
Co10.150000Fe12.126000Zr77.723000,CoFeZr,sputtering,CR,0
Co9.851000Fe11.119000Zr79.029000,CoFeZr,sputtering,CR,0
Co9.546000Fe10.191000Zr80.263000,CoFeZr,sputtering,CR,0
Co9.238000Fe9.338000Zr81.424000,CoFeZr,sputtering,CR,0
Co8.928000Fe8.556000Zr82.516000,CoFeZr,sputtering,CR,0
Co8.616000Fe7.838000Zr83.546000,CoFeZr,sputtering,CR,0
Co8.306000Fe7.181000Zr84.512000,CoFeZr,sputtering,CR,0
Co7.998000Fe6.579000Zr85.423000,CoFeZr,sputtering,CR,0
Co13.343000Fe32.937000Zr53.720000,CoFeZr,sputtering,AM,1
Co13.344000Fe30.728000Zr55.928000,CoFeZr,sputtering,AM,1
Co13.306000Fe28.604000Zr58.090000,CoFeZr,sputtering,AM,1
Co13.229000Fe26.578000Zr60.194000,CoFeZr,sputtering,AM,1
Co13.116000Fe24.646000Zr62.238000,CoFeZr,sputtering,CR,0
Co12.969000Fe22.819000Zr64.211000,CoFeZr,sputtering,CR,0
Co12.792000Fe21.095000Zr66.113000,CoFeZr,sputtering,CR,0
Co12.586000Fe19.471000Zr67.943000,CoFeZr,sputtering,CR,0
Co12.355000Fe17.952000Zr69.692000,CoFeZr,sputtering,CR,0
Co12.102000Fe16.531000Zr71.367000,CoFeZr,sputtering,CR,0
Co11.830000Fe15.210000Zr72.960000,CoFeZr,sputtering,CR,0
Co11.542000Fe13.983000Zr74.475000,CoFeZr,sputtering,CR,0
Co11.240000Fe12.844000Zr75.916000,CoFeZr,sputtering,CR,0
Co10.927000Fe11.793000Zr77.279000,CoFeZr,sputtering,CR,0
Co10.606000Fe10.822000Zr78.572000,CoFeZr,sputtering,CR,0
Co10.279000Fe9.930000Zr79.792000,CoFeZr,sputtering,CR,0
Co9.948000Fe9.108000Zr80.944000,CoFeZr,sputtering,CR,0
Co9.614000Fe8.353000Zr82.033000,CoFeZr,sputtering,CR,0
Co9.280000Fe7.661000Zr83.059000,CoFeZr,sputtering,CR,0
Co8.947000Fe7.026000Zr84.028000,CoFeZr,sputtering,CR,0
Co8.616000Fe6.445000Zr84.940000,CoFeZr,sputtering,CR,0
Co14.400000Fe34.060000Zr51.540000,CoFeZr,sputtering,AM,1
Co14.432000Fe31.840000Zr53.728000,CoFeZr,sputtering,AM,1
Co14.422000Fe29.698000Zr55.881000,CoFeZr,sputtering,AM,1
Co14.370000Fe27.648000Zr57.983000,CoFeZr,sputtering,AM,1
Co14.278000Fe25.688000Zr60.034000,CoFeZr,sputtering,CR,0
Co14.149000Fe23.829000Zr62.023000,CoFeZr,sputtering,CR,0
Co13.984000Fe22.069000Zr63.947000,CoFeZr,sputtering,CR,0
Co13.788000Fe20.406000Zr65.806000,CoFeZr,sputtering,CR,0
Co13.563000Fe18.847000Zr67.590000,CoFeZr,sputtering,CR,0
Co13.311000Fe17.384000Zr69.305000,CoFeZr,sputtering,CR,0
Co13.037000Fe16.021000Zr70.942000,CoFeZr,sputtering,CR,0
Co12.743000Fe14.751000Zr72.506000,CoFeZr,sputtering,CR,0
Co12.431000Fe13.570000Zr73.998000,CoFeZr,sputtering,CR,0
Co12.106000Fe12.478000Zr75.416000,CoFeZr,sputtering,CR,0
Co11.770000Fe11.466000Zr76.764000,CoFeZr,sputtering,CR,0
Co11.425000Fe10.534000Zr78.042000,CoFeZr,sputtering,CR,0
Co11.073000Fe9.675000Zr79.252000,CoFeZr,sputtering,CR,0
Co10.717000Fe8.883000Zr80.400000,CoFeZr,sputtering,CR,0
Co10.359000Fe8.156000Zr81.485000,CoFeZr,sputtering,CR,0
Co10.000000Fe7.488000Zr82.512000,CoFeZr,sputtering,CR,0
Co9.643000Fe6.875000Zr83.482000,CoFeZr,sputtering,CR,0
Co15.408000Fe37.419000Zr47.172000,CoFeZr,sputtering,AM,1
Co15.521000Fe35.127000Zr49.352000,CoFeZr,sputtering,AM,1
Co15.588000Fe32.901000Zr51.511000,CoFeZr,sputtering,AM,1
Co15.610000Fe30.748000Zr53.643000,CoFeZr,sputtering,AM,1
Co15.586000Fe28.680000Zr55.733000,CoFeZr,sputtering,AM,1
Co15.520000Fe26.698000Zr57.782000,CoFeZr,sputtering,AM,1
Co15.412000Fe24.812000Zr59.776000,CoFeZr,sputtering,CR,0
Co15.265000Fe23.022000Zr61.713000,CoFeZr,sputtering,CR,0
Co15.082000Fe21.326000Zr63.592000,CoFeZr,sputtering,CR,0
Co14.865000Fe19.731000Zr65.404000,CoFeZr,sputtering,CR,0
Co14.619000Fe18.230000Zr67.151000,CoFeZr,sputtering,CR,0
Co14.345000Fe16.828000Zr68.827000,CoFeZr,sputtering,CR,0
Co14.048000Fe15.519000Zr70.433000,CoFeZr,sputtering,CR,0
Co13.730000Fe14.299000Zr71.971000,CoFeZr,sputtering,CR,0
Co13.394000Fe13.167000Zr73.438000,CoFeZr,sputtering,CR,0
Co13.044000Fe12.117000Zr74.839000,CoFeZr,sputtering,CR,0
Co12.683000Fe11.147000Zr76.171000,CoFeZr,sputtering,CR,0
Co12.312000Fe10.251000Zr77.437000,CoFeZr,sputtering,CR,0
Co11.934000Fe9.424000Zr78.642000,CoFeZr,sputtering,CR,0
Co11.552000Fe8.663000Zr79.784000,CoFeZr,sputtering,CR,0
Co11.167000Fe7.963000Zr80.870000,CoFeZr,sputtering,CR,0
Co10.783000Fe7.320000Zr81.898000,CoFeZr,sputtering,CR,0
Co10.399000Fe6.729000Zr82.872000,CoFeZr,sputtering,CR,0
Co16.554000Fe38.414000Zr45.032000,CoFeZr,sputtering,AM,1
Co16.708000Fe36.129000Zr47.163000,CoFeZr,sputtering,AM,1
Co16.814000Fe33.904000Zr49.283000,CoFeZr,sputtering,AM,1
Co16.871000Fe31.745000Zr51.384000,CoFeZr,sputtering,AM,1
Co16.881000Fe29.666000Zr53.453000,CoFeZr,sputtering,AM,1
Co16.843000Fe27.667000Zr55.489000,CoFeZr,sputtering,AM,1
Co16.761000Fe25.760000Zr57.479000,CoFeZr,sputtering,AM,1
Co16.636000Fe23.945000Zr59.419000,CoFeZr,sputtering,CR,0
Co16.470000Fe22.221000Zr61.310000,CoFeZr,sputtering,CR,0
Co16.266000Fe20.595000Zr63.139000,CoFeZr,sputtering,CR,0
Co16.028000Fe19.061000Zr64.911000,CoFeZr,sputtering,CR,0
Co15.759000Fe17.624000Zr66.616000,CoFeZr,sputtering,CR,0
Co15.462000Fe16.280000Zr68.258000,CoFeZr,sputtering,CR,0
Co15.140000Fe15.023000Zr69.837000,CoFeZr,sputtering,CR,0
Co14.797000Fe13.856000Zr71.348000,CoFeZr,sputtering,CR,0
Co14.435000Fe12.769000Zr72.796000,CoFeZr,sputtering,CR,0
Co14.059000Fe11.764000Zr74.178000,CoFeZr,sputtering,CR,0
Co13.670000Fe10.833000Zr75.496000,CoFeZr,sputtering,CR,0
Co13.272000Fe9.972000Zr76.756000,CoFeZr,sputtering,CR,0
Co12.867000Fe9.179000Zr77.954000,CoFeZr,sputtering,CR,0
Co12.456000Fe8.448000Zr79.096000,CoFeZr,sputtering,CR,0
Co12.044000Fe7.775000Zr80.181000,CoFeZr,sputtering,CR,0
Co17.762000Fe39.332000Zr42.906000,CoFeZr,sputtering,AM,1
Co17.961000Fe37.058000Zr44.981000,CoFeZr,sputtering,AM,1
Co18.109000Fe34.839000Zr47.052000,CoFeZr,sputtering,AM,1
Co18.206000Fe32.680000Zr49.114000,CoFeZr,sputtering,AM,1
Co18.253000Fe30.596000Zr51.151000,CoFeZr,sputtering,AM,1
Co18.249000Fe28.586000Zr53.164000,CoFeZr,sputtering,AM,1
Co18.197000Fe26.664000Zr55.139000,CoFeZr,sputtering,AM,1
Co18.098000Fe24.829000Zr57.073000,CoFeZr,sputtering,AM,1
Co17.953000Fe23.082000Zr58.965000,CoFeZr,sputtering,CR,0
Co17.767000Fe21.430000Zr60.803000,CoFeZr,sputtering,CR,0
Co17.542000Fe19.868000Zr62.590000,CoFeZr,sputtering,CR,0
Co17.281000Fe18.401000Zr64.317000,CoFeZr,sputtering,CR,0
Co16.988000Fe17.026000Zr65.986000,CoFeZr,sputtering,CR,0
Co16.665000Fe15.737000Zr67.598000,CoFeZr,sputtering,CR,0
Co16.318000Fe14.536000Zr69.146000,CoFeZr,sputtering,CR,0
Co15.947000Fe13.417000Zr70.636000,CoFeZr,sputtering,CR,0
Co15.558000Fe12.378000Zr72.063000,CoFeZr,sputtering,CR,0
Co15.154000Fe11.416000Zr73.430000,CoFeZr,sputtering,CR,0
Co14.736000Fe10.523000Zr74.741000,CoFeZr,sputtering,CR,0
Co14.309000Fe9.700000Zr75.991000,CoFeZr,sputtering,CR,0
Co13.874000Fe8.938000Zr77.188000,CoFeZr,sputtering,CR,0
Co13.435000Fe8.237000Zr78.328000,CoFeZr,sputtering,CR,0
Co19.034000Fe40.165000Zr40.801000,CoFeZr,sputtering,AM,1
Co19.280000Fe37.908000Zr42.812000,CoFeZr,sputtering,AM,1
Co19.475000Fe35.699000Zr44.826000,CoFeZr,sputtering,AM,1
Co19.616000Fe33.545000Zr46.838000,CoFeZr,sputtering,AM,1
Co19.704000Fe31.461000Zr48.835000,CoFeZr,sputtering,AM,1
Co19.739000Fe29.446000Zr50.815000,CoFeZr,sputtering,AM,1
Co19.721000Fe27.514000Zr52.765000,CoFeZr,sputtering,AM,1
Co19.652000Fe25.665000Zr54.683000,CoFeZr,sputtering,AM,1
Co19.534000Fe23.901000Zr56.565000,CoFeZr,sputtering,CR,0
Co19.370000Fe22.228000Zr58.402000,CoFeZr,sputtering,CR,0
Co19.162000Fe20.643000Zr60.195000,CoFeZr,sputtering,CR,0
Co18.914000Fe19.151000Zr61.935000,CoFeZr,sputtering,CR,0
Co18.629000Fe17.749000Zr63.623000,CoFeZr,sputtering,CR,0
Co18.309000Fe16.431000Zr65.259000,CoFeZr,sputtering,CR,0
Co17.961000Fe15.202000Zr66.838000,CoFeZr,sputtering,CR,0
Co17.585000Fe14.053000Zr68.363000,CoFeZr,sputtering,CR,0
Co17.187000Fe12.985000Zr69.828000,CoFeZr,sputtering,CR,0
Co16.769000Fe11.993000Zr71.238000,CoFeZr,sputtering,CR,0
Co16.334000Fe11.071000Zr72.595000,CoFeZr,sputtering,CR,0
Co15.887000Fe10.219000Zr73.894000,CoFeZr,sputtering,CR,0
Co15.428000Fe9.430000Zr75.142000,CoFeZr,sputtering,CR,0
Co14.963000Fe8.702000Zr76.335000,CoFeZr,sputtering,CR,0
Co20.370000Fe40.907000Zr38.723000,CoFeZr,sputtering,AM,1
Co20.667000Fe38.671000Zr40.662000,CoFeZr,sputtering,AM,1
Co20.911000Fe36.477000Zr42.612000,CoFeZr,sputtering,AM,1
Co21.101000Fe34.333000Zr44.567000,CoFeZr,sputtering,AM,1
Co21.234000Fe32.253000Zr46.513000,CoFeZr,sputtering,AM,1
Co21.311000Fe30.238000Zr48.451000,CoFeZr,sputtering,AM,1
Co21.332000Fe28.302000Zr50.366000,CoFeZr,sputtering,AM,1
Co21.298000Fe26.445000Zr52.257000,CoFeZr,sputtering,AM,1
Co21.211000Fe24.668000Zr54.121000,CoFeZr,sputtering,AM,1
Co21.074000Fe22.980000Zr55.946000,CoFeZr,sputtering,CR,0
Co20.888000Fe21.377000Zr57.735000,CoFeZr,sputtering,CR,0
Co20.657000Fe19.865000Zr59.478000,CoFeZr,sputtering,CR,0
Co20.384000Fe18.440000Zr61.176000,CoFeZr,sputtering,CR,0
Co20.073000Fe17.099000Zr62.828000,CoFeZr,sputtering,CR,0
Co19.727000Fe15.845000Zr64.428000,CoFeZr,sputtering,CR,0
Co19.350000Fe14.670000Zr65.980000,CoFeZr,sputtering,CR,0
Co18.946000Fe13.577000Zr67.478000,CoFeZr,sputtering,CR,0
Co18.518000Fe12.558000Zr68.924000,CoFeZr,sputtering,CR,0
Co18.069000Fe11.611000Zr70.321000,CoFeZr,sputtering,CR,0
Co17.604000Fe10.733000Zr71.664000,CoFeZr,sputtering,CR,0
Co17.124000Fe9.918000Zr72.958000,CoFeZr,sputtering,CR,0
Co16.634000Fe9.165000Zr74.201000,CoFeZr,sputtering,CR,0
Co21.769000Fe41.554000Zr36.677000,CoFeZr,sputtering,AM,1
Co22.120000Fe39.341000Zr38.539000,CoFeZr,sputtering,AM,1
Co22.417000Fe37.166000Zr40.417000,CoFeZr,sputtering,AM,1
Co22.658000Fe35.035000Zr42.307000,CoFeZr,sputtering,AM,1
Co22.840000Fe32.965000Zr44.195000,CoFeZr,sputtering,AM,1
Co22.964000Fe30.955000Zr46.081000,CoFeZr,sputtering,AM,1
Co23.028000Fe29.018000Zr47.953000,CoFeZr,sputtering,AM,1
Co23.035000Fe27.158000Zr49.808000,CoFeZr,sputtering,AM,1
Co22.984000Fe25.374000Zr51.642000,CoFeZr,sputtering,AM,1
Co22.878000Fe23.676000Zr53.446000,CoFeZr,sputtering,AM,1
Co22.719000Fe22.061000Zr55.221000,CoFeZr,sputtering,CR,0
Co22.510000Fe20.533000Zr56.957000,CoFeZr,sputtering,CR,0
Co22.255000Fe19.091000Zr58.654000,CoFeZr,sputtering,CR,0
Co21.956000Fe17.731000Zr60.313000,CoFeZr,sputtering,CR,0
Co21.618000Fe16.457000Zr61.925000,CoFeZr,sputtering,CR,0
Co21.244000Fe15.261000Zr63.495000,CoFeZr,sputtering,CR,0
Co20.838000Fe14.145000Zr65.017000,CoFeZr,sputtering,CR,0
Co20.404000Fe13.105000Zr66.492000,CoFeZr,sputtering,CR,0
Co19.944000Fe12.134000Zr67.922000,CoFeZr,sputtering,CR,0
Co19.464000Fe11.233000Zr69.303000,CoFeZr,sputtering,CR,0
Co18.966000Fe10.396000Zr70.639000,CoFeZr,sputtering,CR,0
Co18.454000Fe9.621000Zr71.926000,CoFeZr,sputtering,CR,0
Co23.231000Fe42.100000Zr34.668000,CoFeZr,sputtering,AM,1
Co23.639000Fe39.913000Zr36.448000,CoFeZr,sputtering,AM,1
Co23.991000Fe37.759000Zr38.249000,CoFeZr,sputtering,AM,1
Co24.287000Fe35.646000Zr40.067000,CoFeZr,sputtering,AM,1
Co24.522000Fe33.588000Zr41.890000,CoFeZr,sputtering,AM,1
Co24.697000Fe31.587000Zr43.717000,CoFeZr,sputtering,AM,1
Co24.809000Fe29.656000Zr45.536000,CoFeZr,sputtering,AM,1
Co24.859000Fe27.797000Zr47.344000,CoFeZr,sputtering,AM,1
Co24.849000Fe26.011000Zr49.140000,CoFeZr,sputtering,AM,1
Co24.779000Fe24.308000Zr50.912000,CoFeZr,sputtering,AM,1
Co24.652000Fe22.685000Zr52.663000,CoFeZr,sputtering,AM,1
Co24.471000Fe21.148000Zr54.381000,CoFeZr,sputtering,CR,0
Co24.238000Fe19.693000Zr56.068000,CoFeZr,sputtering,CR,0
Co23.957000Fe18.319000Zr57.723000,CoFeZr,sputtering,CR,0
Co23.632000Fe17.029000Zr59.339000,CoFeZr,sputtering,CR,0
Co23.265000Fe15.817000Zr60.918000,CoFeZr,sputtering,CR,0
Co22.862000Fe14.683000Zr62.455000,CoFeZr,sputtering,CR,0
Co22.426000Fe13.624000Zr63.950000,CoFeZr,sputtering,CR,0
Co21.960000Fe12.635000Zr65.405000,CoFeZr,sputtering,CR,0
Co21.469000Fe11.715000Zr66.816000,CoFeZr,sputtering,CR,0
Co20.955000Fe10.858000Zr68.187000,CoFeZr,sputtering,CR,0
Co20.424000Fe10.064000Zr69.512000,CoFeZr,sputtering,CR,0
Co24.753000Fe42.544000Zr32.703000,CoFeZr,sputtering,AM,1
Co25.220000Fe40.383000Zr34.397000,CoFeZr,sputtering,AM,1
Co25.631000Fe38.253000Zr36.116000,CoFeZr,sputtering,AM,1
Co25.985000Fe36.159000Zr37.857000,CoFeZr,sputtering,AM,1
Co26.276000Fe34.117000Zr39.607000,CoFeZr,sputtering,AM,1
Co26.505000Fe32.128000Zr41.367000,CoFeZr,sputtering,AM,1
Co26.668000Fe30.206000Zr43.125000,CoFeZr,sputtering,AM,1
Co26.767000Fe28.353000Zr44.879000,CoFeZr,sputtering,AM,1
Co26.802000Fe26.571000Zr46.627000,CoFeZr,sputtering,AM,1
Co26.774000Fe24.868000Zr48.358000,CoFeZr,sputtering,AM,1
Co26.684000Fe23.242000Zr50.074000,CoFeZr,sputtering,AM,1
Co26.535000Fe21.700000Zr51.766000,CoFeZr,sputtering,AM,1
Co26.330000Fe20.238000Zr53.432000,CoFeZr,sputtering,AM,1
Co26.072000Fe18.855000Zr55.073000,CoFeZr,sputtering,CR,0
Co25.764000Fe17.554000Zr56.681000,CoFeZr,sputtering,CR,0
Co25.411000Fe16.330000Zr58.260000,CoFeZr,sputtering,CR,0
Co25.016000Fe15.183000Zr59.801000,CoFeZr,sputtering,CR,0
Co24.582000Fe14.110000Zr61.308000,CoFeZr,sputtering,CR,0
Co24.114000Fe13.105000Zr62.780000,CoFeZr,sputtering,CR,0
Co23.617000Fe12.170000Zr64.213000,CoFeZr,sputtering,CR,0
Co23.092000Fe11.297000Zr65.610000,CoFeZr,sputtering,CR,0
Co22.546000Fe10.487000Zr66.967000,CoFeZr,sputtering,CR,0
Co26.335000Fe42.880000Zr30.785000,CoFeZr,sputtering,AM,1
Co26.863000Fe40.747000Zr32.390000,CoFeZr,sputtering,AM,1
Co27.335000Fe38.642000Zr34.023000,CoFeZr,sputtering,AM,1
Co27.749000Fe36.570000Zr35.681000,CoFeZr,sputtering,AM,1
Co28.099000Fe34.547000Zr37.354000,CoFeZr,sputtering,AM,1
Co28.385000Fe32.574000Zr39.041000,CoFeZr,sputtering,AM,1
Co28.604000Fe30.665000Zr40.731000,CoFeZr,sputtering,AM,1
Co28.756000Fe28.821000Zr42.423000,CoFeZr,sputtering,AM,1
Co28.840000Fe27.046000Zr44.114000,CoFeZr,sputtering,AM,1
Co28.857000Fe25.348000Zr45.795000,CoFeZr,sputtering,AM,1
Co28.809000Fe23.724000Zr47.467000,CoFeZr,sputtering,AM,1
Co28.697000Fe22.181000Zr49.122000,CoFeZr,sputtering,AM,1
Co28.525000Fe20.718000Zr50.757000,CoFeZr,sputtering,AM,1
Co28.295000Fe19.331000Zr52.374000,CoFeZr,sputtering,AM,1
Co28.011000Fe18.024000Zr53.965000,CoFeZr,sputtering,CR,0
Co27.676000Fe16.792000Zr55.532000,CoFeZr,sputtering,CR,0
Co27.294000Fe15.637000Zr57.069000,CoFeZr,sputtering,CR,0
Co26.870000Fe14.554000Zr58.577000,CoFeZr,sputtering,CR,0
Co26.405000Fe13.538000Zr60.056000,CoFeZr,sputtering,CR,0
Co25.906000Fe12.592000Zr61.502000,CoFeZr,sputtering,CR,0
Co25.376000Fe11.707000Zr62.918000,CoFeZr,sputtering,CR,0
Co24.818000Fe10.884000Zr64.298000,CoFeZr,sputtering,CR,0
Co28.563000Fe41.004000Zr30.433000,CoFeZr,sputtering,AM,1
Co29.098000Fe38.924000Zr31.978000,CoFeZr,sputtering,AM,1
Co29.575000Fe36.875000Zr33.550000,CoFeZr,sputtering,AM,1
Co29.987000Fe34.873000Zr35.141000,CoFeZr,sputtering,AM,1
Co30.333000Fe32.918000Zr36.749000,CoFeZr,sputtering,AM,1
Co30.610000Fe31.025000Zr38.365000,CoFeZr,sputtering,AM,1
Co30.817000Fe29.195000Zr39.988000,CoFeZr,sputtering,AM,1
Co30.954000Fe27.431000Zr41.615000,CoFeZr,sputtering,AM,1
Co31.021000Fe25.741000Zr43.238000,CoFeZr,sputtering,AM,1
Co31.019000Fe24.124000Zr44.857000,CoFeZr,sputtering,AM,1
Co30.950000Fe22.586000Zr46.465000,CoFeZr,sputtering,AM,1
Co30.816000Fe21.124000Zr48.060000,CoFeZr,sputtering,AM,1
Co30.619000Fe19.738000Zr49.643000,CoFeZr,sputtering,AM,1
Co30.364000Fe18.430000Zr51.206000,CoFeZr,sputtering,AM,1
Co30.053000Fe17.196000Zr52.751000,CoFeZr,sputtering,CR,0
Co29.690000Fe16.037000Zr54.273000,CoFeZr,sputtering,CR,0
Co29.280000Fe14.948000Zr55.772000,CoFeZr,sputtering,CR,0
Co28.824000Fe13.927000Zr57.249000,CoFeZr,sputtering,CR,0
Co28.330000Fe12.973000Zr58.698000,CoFeZr,sputtering,CR,0
Co27.798000Fe12.080000Zr60.122000,CoFeZr,sputtering,CR,0
Co27.236000Fe11.248000Zr61.516000,CoFeZr,sputtering,CR,0
Co30.318000Fe41.152000Zr28.530000,CoFeZr,sputtering,AM,1
Co30.917000Fe39.097000Zr29.985000,CoFeZr,sputtering,AM,1
Co31.458000Fe37.072000Zr31.470000,CoFeZr,sputtering,AM,1
Co31.933000Fe35.092000Zr32.975000,CoFeZr,sputtering,AM,1
Co32.342000Fe33.158000Zr34.500000,CoFeZr,sputtering,AM,1
Co32.680000Fe31.283000Zr36.038000,CoFeZr,sputtering,AM,1
Co32.945000Fe29.469000Zr37.585000,CoFeZr,sputtering,AM,1
Co33.138000Fe27.720000Zr39.142000,CoFeZr,sputtering,AM,1
Co33.258000Fe26.043000Zr40.699000,CoFeZr,sputtering,AM,1
Co33.306000Fe24.436000Zr42.257000,CoFeZr,sputtering,AM,1
Co33.284000Fe22.907000Zr43.810000,CoFeZr,sputtering,AM,1
Co33.192000Fe21.453000Zr45.355000,CoFeZr,sputtering,AM,1
Co33.034000Fe20.071000Zr46.895000,CoFeZr,sputtering,AM,1
Co32.813000Fe18.767000Zr48.420000,CoFeZr,sputtering,AM,1
Co32.531000Fe17.535000Zr49.934000,CoFeZr,sputtering,AM,1
Co32.193000Fe16.376000Zr51.431000,CoFeZr,sputtering,AM,1
Co31.803000Fe15.287000Zr52.910000,CoFeZr,sputtering,CR,0
Co31.363000Fe14.263000Zr54.374000,CoFeZr,sputtering,CR,0
Co30.879000Fe13.306000Zr55.815000,CoFeZr,sputtering,CR,0
Co30.353000Fe12.409000Zr57.238000,CoFeZr,sputtering,CR,0
Co29.791000Fe11.573000Zr58.637000,CoFeZr,sputtering,CR,0
Co32.786000Fe39.161000Zr28.052000,CoFeZr,sputtering,AM,1
Co33.392000Fe37.160000Zr29.447000,CoFeZr,sputtering,AM,1
Co33.932000Fe35.203000Zr30.864000,CoFeZr,sputtering,AM,1
Co34.405000Fe33.291000Zr32.304000,CoFeZr,sputtering,AM,1
Co34.805000Fe31.436000Zr33.759000,CoFeZr,sputtering,AM,1
Co35.131000Fe29.642000Zr35.227000,CoFeZr,sputtering,AM,1
Co35.383000Fe27.910000Zr36.707000,CoFeZr,sputtering,AM,1
Co35.559000Fe26.249000Zr38.192000,CoFeZr,sputtering,AM,1
Co35.660000Fe24.657000Zr39.683000,CoFeZr,sputtering,AM,1
Co35.687000Fe23.140000Zr41.173000,CoFeZr,sputtering,AM,1
Co35.643000Fe21.697000Zr42.661000,CoFeZr,sputtering,AM,1
