M2AXphase,a,c,dMX,dMA,C11,C12,C13,C33,C44,B,G,E
Ti2PC,3.191,11.5,1.166,1.71,252,123,148,343,168,187,109,273
Ti2PN,3.161,11.34,1.122,1.712,329,113,133,384,174,200,135,331
Ti2SC,3.208,11.27,1.118,1.7,331,98,97,348,157,177,134,321
Ti2SN,3.202,11.06,1.051,1.715,321,89,118,341,135,181,121,297
Ti2GaC,3.083,13.43,1.143,2.215,303,66,63,263,101,139,109,260
Ti2GaN,3.016,13.33,1.154,2.178,298,78,100,276,118,159,109,265
Ti2GeC,3.093,13.01,1.157,2.097,278,75,96,283,118,152,106,257
Ti2GeN,3.042,12.94,1.154,2.081,254,113,118,298,122,167,94,236
Ti2AsC,3.195,12.12,1.138,1.892,225,147,123,286,142,169,87,224
Ti2AsN,3.201,11.72,1.086,1.844,290,109,125,326,148,181,114,281
Ti2CdC,3.106,14.54,1.127,2.509,253,71,47,203,31,116,67,168
Ti2CdN,3.082,14.15,1.088,2.45,270,83,58,235,68,130,84,208
Ti2InC,3.148,14.2,1.11,2.44,282,65,55,240,86,128,98,234
Ti2InN,3.095,14.05,1.111,2.401,229,56,106,248,92,138,83,208
Ti2SnC,3.18,13.79,1.111,2.335,260,78,70,254,93,135,93,226
Ti2SnN,3.18,13.46,1.045,2.32,238,86,81,254,79,136,79,198
Ti2TlC,3.177,14.22,1.098,2.457,278,71,51,226,74,125,91,219
Ti2TlN,3.167,13.85,1.044,2.418,246,78,69,237,74,129,81,200
Ti2PbC,3.231,14.01,1.08,2.423,235,90,53,211,66,119,73,182
Ti2PbN,3.239,13.65,0.998,2.415,235,92,56,211,56,121,68,173
V2AlC,2.914,13.11,1.119,2.159,339,71,111,310,147,175,132,316
V2AlN,2.877,13.13,1.122,2.16,325,60,127,341,140,180,128,310
V2SiC,2.965,11.96,1.114,1.877,309,117,180,325,189,211,126,315
V2SiN,2.944,12.02,1.083,1.922,286,142,171,344,148,209,102,263
V2PC,3.079,10.9,1.07,1.654,376,113,168,386,204,227,154,376
V2PN,3.046,11.03,1.038,1.72,350,135,176,384,153,229,122,312
V2SC,3.124,10.76,1.012,1.679,335,101,147,330,125,199,114,286
V2GaC,2.942,12.85,1.098,2.114,334,81,111,299,138,175,125,302
V2GaN,2.933,12.73,1.072,2.11,281,71,142,293,128,174,105,263
V2GeC,3.016,12.18,1.07,1.976,289,122,134,279,142,182,105,263
V2GeN,3.007,12.1,1.035,1.989,274,146,153,292,121,194,87,226
V2AsC,3.113,11.42,1.04,1.816,330,124,137,320,161,197,124,307
V2AsN,3.084,11.52,1.011,1.868,307,145,145,345,108,203,94,245
V2CdC,2.995,13.85,1.048,2.414,228,0,104,205,77,120,84,203
V2CdN,2.974,13.74,1.028,2.408,308,81,99,249,82,158,95,236
V2InC,3.03,13.59,1.053,2.345,306,85,93,271,103,158,104,256
V2InN,3.041,13.33,1.001,2.332,244,91,112,264,89,154,80,204
V2SnC,3.133,12.92,0.98,2.251,224,75,100,247,80,138,75,189
V2SnN,3.138,12.74,0.924,2.261,176,133,102,257,52,143,43,117
V2TlC,3.115,13.44,0.981,2.379,195,41,93,225,70,119,69,173
V2TlN,3.159,12.98,0.884,2.362,219,164,68,225,66,140,56,148
V2PbC,3.204,13.14,0.92,2.364,232,104,61,195,53,123,63,161
V2PbN,3.206,12.98,0.867,2.378,211,148,46,200,17,122,39,105
Cr2AlC,2.848,12.68,1.074,2.096,365,84,102,369,140,186,138,332
Cr2AlN,2.835,12.73,1.063,2.119,279,66,150,368,84,184,92,237
Cr2SiC,2.878,11.89,1.068,1.905,307,129,167,400,81,215,87,229
Cr2SiN,2.88,11.85,1.028,1.935,249,165,190,410,42,222,49,138
Cr2PC,3.002,10.88,1.027,1.693,295,141,197,353,139,224,98,257
Cr2PN,2.995,10.94,1.037,1.697,294,109,172,400,119,210,101,262
Cr2SC,3.111,10.47,0.949,1.668,324,127,136,287,81,192,88,229
Cr2GaC,2.875,12.5,1.06,2.066,312,81,139,325,128,185,114,283
Cr2GaN,2.91,12.29,0.995,2.077,198,94,151,309,94,166,68,180
Cr2GeC,2.942,12.02,1.024,1.979,308,147,140,333,74,200,81,213
Cr2GeN,2.972,11.79,0.966,1.981,231,168,146,336,62,191,53,147
Cr2AsC,3.042,11.38,0.984,1.861,227,104,203,275,87,195,62,168
Cr2AsN,3.07,11.15,0.897,1.889,285,194,140,334,63,206,63,171
Cr2CdC,2.927,13.58,1.008,2.386,311,83,97,247,74,158,92,230
Cr2CdN,3.004,13.2,0.924,2.375,262,98,72,238,58,139,74,189
Cr2InC,3.026,13.05,0.963,2.299,189,70,95,244,70,127,64,163
Cr2InN,3.062,12.72,0.891,2.289,245,149,88,262,72,156,67,175
Cr2SnC,3.102,12.54,0.926,2.208,245,142,94,252,57,156,60,160
Cr2SnN,3.087,12.45,0.89,2.221,247,164,89,285,37,163,52,141
Cr2TlC,3.093,13.16,0.931,2.359,243,114,22,213,52,113,70,173
Cr2TlN,3.107,12.8,0.868,2.331,257,157,69,207,60,146,62,163
Cr2PbC,3.161,12.85,0.889,2.324,239,122,75,171,36,133,51,136
Cr2PbN,3.153,12.78,0.849,2.345,239,147,46,144,10,122,39,105
Mo2AlC,3.038,13.48,1.207,2.162,333,97,144,327,137,196,119,296
Mo2SiC,3.119,12.39,1.159,1.938,311,149,192,338,124,225,94,248
Mo2PC,3.2,11.62,1.113,1.793,262,148,218,329,105,225,71,193
Mo2PN,3.324,10.94,0.965,1.771,303,223,163,329,79,226,65,179
Mo2SN,3.34,10.96,0.955,1.785,301,196,145,267,19,204,44,122
Mo2GaC,3.084,13.16,1.168,2.121,294,98,160,289,127,190,101,257
Mo2GaN,2.878,14.51,1.399,2.229,249,225,172,377,66,224,49,137
Mo2GeC,3.149,12.64,1.131,2.028,299,151,170,325,97,212,83,219
Mo2AsC,3.225,12.17,1.082,1.959,247,140,200,306,60,209,52,144
Mo2AsN,3.342,11.47,0.95,1.917,309,176,144,329,74,208,75,201
Mo2CdC,3.089,14.37,1.142,2.45,287,80,116,256,77,162,86,218
Mo2CdN,2.919,15.36,1.343,2.498,216,165,151,300,94,185,60,163
Mo2InC,3.14,14.01,1.126,2.375,270,94,127,286,85,169,83,215
Mo2SnC,3.203,13.52,1.095,2.285,262,149,133,301,43,184,56,152
Mo2TlC,3.191,14.02,1.085,2.418,241,105,126,230,65,158,63,167
Mo2TlN,3.321,13.3,0.929,2.395,226,124,77,213,55,136,58,153
Mo2PbC,3.241,13.84,1.068,2.392,231,136,115,225,10,158,35,97
Mo2PbN,3.34,13.23,0.944,2.364,221,89,106,228,35,141,52,138
Nb2AlC,3.125,13.91,1.238,2.239,310,90,118,289,139,173,116,285
Nb2AlN,3.009,14.38,1.349,2.247,309,136,132,331,144,194,112,281
Nb2SiC,3.233,12.38,1.197,1.899,303,131,169,333,183,209,122,305
Nb2SiN,3.242,12.15,1.146,1.891,279,167,177,316,170,213,103,265
Nb2PC,3.303,11.61,1.158,1.745,369,113,171,385,187,226,145,358
Nb2PN,3.294,11.53,1.119,1.763,296,129,192,352,142,219,102,266
Nb2SC,3.312,11.65,1.11,1.803,309,106,159,310,118,197,101,258
Nb2SN,3.145,12.29,1.294,1.779,317,130,197,328,144,223,106,273
Nb2GaC,3.153,13.59,1.214,2.183,309,80,138,262,126,177,108,270
Nb2GaN,3.007,14.32,1.355,2.226,312,139,135,340,136,198,109,275
Nb2GeC,3.259,12.6,1.166,1.985,287,126,160,266,159,192,106,268
Nb2GeN,3.269,12.35,1.118,1.969,266,167,161,290,147,200,91,236
Nb2AsC,3.339,12,1.129,1.87,327,108,155,347,162,204,126,312
Nb2AsN,3.322,11.97,1.091,1.901,274,134,176,325,115,205,86,226
Nb2CdC,3.175,14.65,1.183,2.479,281,89,90,232,81,148,87,217
Nb2CdN,3.176,14.4,1.142,2.457,271,90,104,230,73,152,79,202
Nb2InC,3.196,14.47,1.188,2.43,291,76,108,267,102,159,99,247
Nb2InN,3.215,14.13,1.131,2.401,236,87,133,244,94,158,77,197
Nb2SnC,3.273,13.85,1.141,2.321,252,96,129,244,99,162,81,209
Nb2SnN,3.282,13.6,1.088,2.311,211,136,131,256,75,164,56,151
Nb2TlC,3.235,14.47,1.157,2.46,270,88,95,240,72,149,80,204
Nb2TlN,3.313,13.75,1.044,2.394,105,21,148,164,78,112,43,115
Nb2PbC,3.313,14.1,1.11,2.414,228,76,116,210,74,142,69,177
Nb2PbN,3.386,13.51,0.993,2.384,150,143,87,220,40,128,30,84
Zr2AlC,3.333,14.59,1.269,2.38,261,63,63,224,87,125,92,221
Zr2AlN,3.266,14.4,1.282,2.319,264,77,89,235,105,141,94,231
Zr2SiC,3.331,13.61,1.297,2.106,261,83,105,264,116,152,97,240
Zr2SiN,3.278,13.49,1.29,2.081,224,111,136,272,128,165,85,217
Zr2PC,3.467,12.25,1.282,1.779,290,99,110,343,142,174,116,285
Zr2PN,3.427,12.08,1.233,1.786,290,114,126,332,152,183,115,284
Zr2SC,3.435,12.25,1.233,1.83,288,94,104,312,135,165,113,275
Zr2SN,3.418,12.02,1.178,1.827,274,99,124,299,124,171,101,252
Zr2GaC,3.343,14.25,1.267,2.295,264,69,69,216,81,128,88,214
Zr2GaN,3.283,14.04,1.272,2.238,262,89,93,237,102,145,90,224
Zr2GeC,3.346,13.82,1.281,2.173,249,80,102,248,99,146,87,218
Zr2GeN,3.304,13.64,1.266,2.144,222,107,126,247,110,156,78,200
Zr2AsC,3.484,12.67,1.263,1.905,220,114,124,280,131,161,87,221
Zr2AsN,3.46,12.41,1.21,1.893,268,103,119,315,138,171,106,263
Zr2CdC,3.345,15.36,1.255,2.585,203,84,50,173,21,105,46,121
Zr2CdN,3.331,14.87,1.214,2.503,231,74,69,205,59,121,70,175
Zr2InC,3.376,15.09,1.241,2.531,251,62,58,215,73,119,84,204
Zr2InN,3.307,14.98,1.258,2.487,241,71,89,223,85,134,81,202
Zr2SnC,3.384,14.73,1.255,2.428,225,62,90,224,88,129,80,199
Zr2SnN,3.321,14.71,1.26,2.418,216,93,102,238,83,140,70,181
Zr2TlC,3.392,15.12,1.232,2.547,246,65,57,206,62,117,78,191
Zr2TlN,3.332,14.98,1.24,2.504,217,71,95,204,75,129,69,176
Zr2PbC,3.418,14.95,1.229,2.51,219,70,67,206,68,117,71,177
Zr2PbN,3.357,14.95,1.234,2.502,204,84,90,208,63,127,61,157
Hf2AlC,3.278,14.39,1.248,2.349,291,66,69,256,101,138,105,252
Hf2AlN,3.198,14.28,1.275,2.296,300,80,98,265,120,158,109,266
Hf2SiC,3.277,13.42,1.274,2.082,285,84,117,297,128,167,108,266
Hf2SiN,3.217,13.34,1.277,2.057,256,110,149,307,142,182,99,250
Hf2PC,3.422,12.04,1.255,1.755,317,95,126,368,158,188,129,315
Hf2PN,3.376,11.89,1.215,1.758,317,115,137,374,167,198,128,316
Hf2SC,3.383,12.06,1.205,1.811,320,91,114,334,148,179,126,305
Hf2SN,3.347,11.92,1.172,1.809,277,115,148,297,130,186,97,249
Hf2GaC,3.289,14.04,1.244,2.266,295,71,72,247,92,141,101,244
Hf2GaN,3.217,13.91,1.263,2.215,295,88,105,258,112,160,102,253
Hf2GeC,3.298,13.61,1.255,2.147,269,77,109,264,107,155,96,238
Hf2GeN,3.25,13.44,1.249,2.111,246,111,137,271,121,170,87,223
Hf2AsC,3.441,12.46,1.233,1.88,261,106,135,302,143,175,103,257
Hf2AsN,3.413,12.21,1.19,1.863,287,107,129,340,150,183,114,284
Hf2CdC,3.293,15.15,1.237,2.551,254,74,53,201,40,119,69,174
Hf2CdN,3.27,14.69,1.204,2.468,259,74,84,224,68,136,79,198
Hf2InC,3.327,14.87,1.218,2.499,281,66,61,242,82,131,95,230
Hf2InN,3.245,14.87,1.25,2.467,274,74,98,237,93,147,91,227
Hf2SnC,3.341,14.52,1.227,2.402,240,62,103,236,92,139,84,210
Hf2SnN,3.265,14.59,1.248,2.399,241,91,114,247,85,152,76,196
Hf2TlC,3.346,14.87,1.207,2.51,273,70,63,227,69,129,86,212
Hf2TlN,3.269,14.88,1.235,2.484,250,74,104,221,77,142,78,197
Hf2PbC,3.379,14.71,1.196,2.483,241,77,70,222,69,126,77,191
Hf2PbN,3.305,14.8,1.219,2.482,213,78,107,199,61,134,60,157
Ta2AlC,3.102,13.95,1.256,2.231,334,114,130,322,148,193,122,303
Ta2AlN,2.984,14.49,1.382,2.241,335,175,144,355,154,217,115,293
Ta2SiC,3.234,12.32,1.193,1.888,312,147,191,348,200,226,126,318
Ta2SiN,3.242,12.09,1.157,1.866,293,183,188,367,172,230,106,275
Ta2PC,3.304,11.56,1.15,1.74,384,126,185,422,198,243,151,375
Ta2PN,3.157,12.24,1.32,1.741,356,158,221,383,173,255,122,315
Ta2SC,3.305,11.67,1.102,1.815,314,110,172,319,104,206,95,247
Ta2SN,3.102,12.55,1.343,1.793,357,176,197,354,145,246,109,285
Ta2GaC,3.133,13.62,1.229,2.176,335,106,137,315,137,194,118,294
Ta2GaN,2.982,14.45,1.387,2.226,333,187,150,364,141,223,107,277
Ta2GeC,3.265,12.49,1.159,1.964,300,141,169,299,172,206,113,286
Ta2GeN,3.275,12.22,1.124,1.932,271,182,180,327,152,217,92,241
Ta2AsC,3.344,11.93,1.117,1.865,343,118,170,374,167,219,129,324
Ta2AsN,3.332,11.89,1.091,1.882,269,146,189,354,94,216,74,200
Ta2CdC,3.15,14.69,1.202,2.47,312,118,101,253,94,168,94,238
Ta2CdN,3.137,14.55,1.184,2.453,282,89,129,252,71,168,79,205
Ta2InC,3.176,14.5,1.201,2.423,313,84,121,298,108,175,106,265
Ta2InN,3.182,14.26,1.164,2.4,237,93,157,263,91,172,73,191
Ta2SnC,3.273,13.76,1.136,2.304,262,110,143,270,98,176,81,211
Ta2SnN,3.281,13.53,1.093,2.29,201,158,149,270,64,176,44,122
Ta2TlC,3.216,14.48,1.168,2.452,288,98,114,254,78,165,84,214
Ta2TlN,3.34,13.5,1.023,2.353,126,74,149,228,76,136,43,116
Ta2PbC,3.317,13.97,1.1,2.393,192,45,133,212,73,135,63,163
Ta2PbN,3.392,13.44,0.997,2.362,144,154,91,213,15,130,16,46
W2AlC,3.013,13.68,1.243,2.176,309,92,191,358,136,214,110,280
W2SiC,3.15,12.22,1.148,1.906,329,162,230,358,130,251,95,253
W2PC,3.272,11.27,1.059,1.758,226,216,239,342,92,242,45,126
W2PN,3.367,10.8,0.951,1.75,303,232,162,354,71,230,62,171
W2GaC,3.087,13.15,1.174,2.115,301,112,194,298,129,211,97,252
W2GeC,3.18,12.44,1.119,1.99,313,171,198,349,97,234,80,216
W2AsC,3.298,11.8,1.03,1.92,215,220,210,331,65,227,34,96
W2AsN,3.391,11.31,0.93,1.896,309,180,148,347,61,213,70,189
W2CdC,3.05,14.63,1.189,2.468,304,74,143,282,85,179,93,236
W2CdN,2.868,15.83,1.436,2.521,373,210,129,347,103,226,99,259
W2InC,3.141,14.02,1.131,2.375,278,120,145,304,76,187,76,201
W2SnC,3.205,13.54,1.1,2.284,266,165,154,322,6,200,38,107
W2TlC,3.192,14.01,1.091,2.412,235,124,143,253,61,171,57,153
W2TlN,3.349,13.18,0.921,2.375,237,149,76,232,51,145,56,149
W2PbN,3.391,13.07,0.917,2.351,211,120,61,217,28,125,47,124
