formula,phase,processing
Ag12.2Cu81.5P6.3,AC,meltspin
Ag14Cu78.5P7.5,AC,meltspin
Ag5.5Cu87P7.5,CR,meltspin
Ag9Cu82.5P8.5,CR,meltspin
Ag9Cu85P6,CR,meltspin
Ag0Mg84Y16,AM,meltspin
Ag5Mg80Y15,AM,meltspin
Ag10Mg60Y30,AM,meltspin
Ag10Mg70Y20,AM,meltspin
Ag10Mg80Y10,AM,meltspin
Ag15Mg80Y5,AM,meltspin
Ag20Mg30Y50,AM,meltspin
Ag20Mg40Y40,AM,meltspin
Ag20Mg50Y30,AM,meltspin
Ag20Mg60Y20,AM,meltspin
Ag20Mg70Y10,AM,meltspin
Ag25Mg60Y15,AM,meltspin
Ag25Mg65Y10,AM,meltspin
Ag25Mg70Y5,AM,meltspin
Ag30Mg30Y40,AM,meltspin
Ag30Mg40Y30,AM,meltspin
Ag30Mg50Y20,AM,meltspin
Ag30Mg55Y15,AM,meltspin
Ag30Mg60Y10,AM,meltspin
Ag40Mg30Y30,AM,meltspin
Ag40Mg40Y20,AM,meltspin
Ag40Mg50Y10,AM,meltspin
Ag50Mg30Y20,AM,meltspin
Ag0Mg80Y20,AC,meltspin
Ag0Mg87.5Y12.5,AC,meltspin
Ag5Mg85Y10,AC,meltspin
Ag10Mg50Y40,AC,meltspin
Ag10Mg85Y5,AC,meltspin
Ag20Mg20Y60,AC,meltspin
Ag50Mg20Y30,AC,meltspin
Ag60Mg20Y20,AC,meltspin
Ag0Mg75Y25,CR,meltspin
Ag0Mg90Y10,CR,meltspin
Ag0Mg95Y5,CR,meltspin
Ag5Mg90Y5,CR,meltspin
Ag30Mg20Y50,CR,meltspin
Ag40Mg20Y40,CR,meltspin
Ag50Mg40Y10,CR,meltspin
Ag0Pd79Si21,AM,meltspin
Ag0Pd80Si20,AM,meltspin
Ag0Pd82Si18,AM,meltspin
Ag0Pd84Si16,AM,meltspin
Ag0Pd85Si15,AM,meltspin
Ag4.5Pd75.5Si20,AM,meltspin
Ag4.5Pd79Si16.5,AM,meltspin
Ag5Pd77Si18,AM,meltspin
Ag5Pd79Si16,AM,meltspin
Ag5.5Pd78Si16.5,AM,meltspin
Ag8.5Pd75Si16.5,AM,meltspin
Ag4Pd79.5Si16.5,AM,meltspin
Ag1.7Pd81.8Si16.5,AM,meltspin
Ag4.2Pd79.3Si16.5,AM,meltspin
Ag6.7Pd76.8Si16.5,AM,meltspin
Ag10Pd73.5Si16.5,AM,meltspin
Ag12.5Pd71Si16.5,AM,meltspin
Ag15Pd68.5Si16.5,AM,meltspin
Ag4.5Pd75.5Si20,AM,meltspin
Ag6Pd77.5Si16.5,AM,meltspin
Ag20.9Pd62.6Si16.5,CR,meltspin
Al25Au20La55,AM,meltspin
Al0B18Co82,AM,meltspin
Al0B22Co78,AM,meltspin
Al0B26Co74,AM,meltspin
Al0B30Co70,AM,meltspin
Al0B36Co64,AM,meltspin
Al0B38Co62,AM,meltspin
Al0B40Co60,AM,meltspin
Al4B18Co78,AM,meltspin
Al4B22Co74,AM,meltspin
Al4B26Co70,AM,meltspin
Al4B30Co66,AM,meltspin
Al4B34Co62,AM,meltspin
Al8B18Co74,AM,meltspin
Al8B22Co70,AM,meltspin
Al8B26Co66,AM,meltspin
Al8B30Co62,AM,meltspin
Al8B34Co58,AM,meltspin
Al12B18Co70,AM,meltspin
Al12B22Co66,AM,meltspin
Al12B26Co62,AM,meltspin
Al12B30Co58,AM,meltspin
Al12B34Co54,AM,meltspin
Al12B38Co50,AM,meltspin
Al16B14Co70,AM,meltspin
Al16B18Co66,AM,meltspin
Al16B22Co62,AM,meltspin
Al16B26Co58,AM,meltspin
Al16B30Co54,AM,meltspin
Al16B34Co50,AM,meltspin
Al20B26Co54,AM,meltspin
Al20B30Co50,AM,meltspin
Al20B34Co46,AM,meltspin
Al20B38Co42,AM,meltspin
Al24B26Co50,AM,meltspin
Al24B34Co42,AM,meltspin
Al24B40Co36,AM,meltspin
Al8B14Co78,AC,meltspin
Al12B14Co74,AC,meltspin
Al20B18Co62,AC,meltspin
Al20B22Co58,AC,meltspin
Al4B10Co86,CR,meltspin
Al4B14Co82,CR,meltspin
Al8B10Co82,CR,meltspin
Al12B6Co82,CR,meltspin
Al12B10Co78,CR,meltspin
Al16B10Co74,CR,meltspin
Al20B10Co70,CR,meltspin
Al20B14Co66,CR,meltspin
Al24B22Co54,CR,meltspin
Al0B13Fe87,AM,meltspin
Al0B18Fe82,AM,meltspin
Al0B22Fe78,AM,meltspin
Al4B14Fe82,AM,meltspin
Al4B18Fe78,AM,meltspin
Al4B22Fe74,AM,meltspin
Al8B14Fe78,AM,meltspin
Al8B18Fe74,AM,meltspin
Al8B22Fe70,AM,meltspin
Al12B14Fe74,AM,meltspin
Al12B22Fe66,AM,meltspin
Al16B14Fe70,AM,meltspin
Al16B18Fe66,AM,meltspin
Al16B22Fe62,AM,meltspin
Al16B26Fe58,AM,meltspin
Al20B14Fe66,AM,meltspin
Al20B18Fe62,AM,meltspin
Al20B26Fe54,AM,meltspin
Al20B30Fe50,AM,meltspin
Al20B34Fe46,AM,meltspin
Al4B10Fe86,CR,meltspin
Al8B10Fe82,CR,meltspin
Al12B6Fe82,CR,meltspin
Al12B10Fe78,CR,meltspin
Al16B10Fe74,CR,meltspin
Al0B18Ni82,AM,meltspin
Al0B30Ni70,AM,meltspin
Al0B34Ni66,AM,meltspin
Al0B38Ni62,AM,meltspin
Al0B40Ni60,AM,meltspin
Al0B42Ni58,AM,meltspin
Al4B18Ni78,AM,meltspin
Al4B22Ni74,AM,meltspin
Al4B26Ni70,AM,meltspin
Al4B30Ni66,AM,meltspin
Al4B34Ni62,AM,meltspin
Al4B38Ni58,AM,meltspin
Al4B42Ni54,AM,meltspin
Al8B18Ni74,AM,meltspin
Al8B22Ni70,AM,meltspin
Al8B26Ni66,AM,meltspin
Al8B30Ni62,AM,meltspin
Al8B34Ni58,AM,meltspin
Al8B38Ni54,AM,meltspin
Al8B42Ni50,AM,meltspin
Al12B18Ni70,AM,meltspin
Al12B22Ni66,AM,meltspin
Al12B26Ni62,AM,meltspin
Al12B30Ni58,AM,meltspin
Al12B34Ni54,AM,meltspin
Al16B18Ni66,AM,meltspin
Al16B22Ni62,AM,meltspin
Al16B26Ni58,AM,meltspin
Al16B30Ni54,AM,meltspin
Al16B34Ni50,AM,meltspin
Al16B38Ni46,AM,meltspin
Al20B18Ni62,AM,meltspin
Al20B22Ni58,AM,meltspin
Al20B26Ni54,AM,meltspin
Al20B30Ni50,AM,meltspin
Al20B34Ni46,AM,meltspin
Al20B40Ni40,AM,meltspin
Al24B26Ni50,AM,meltspin
Al12B14Ni74,AC,meltspin
Al24B14Ni62,AC,meltspin
Al24B18Ni58,AC,meltspin
Al24B22Ni54,AC,meltspin
Al28B22Ni50,AC,meltspin
Al0B22Ni78,CR,meltspin
Al0B26Ni74,CR,meltspin
Al16B14Ni70,CR,meltspin
Al20B14Ni66,CR,meltspin
Al28B30Ni42,CR,meltspin
Al85Ca10Co5,AM,meltspin
Al89Ca11Co0,AM,meltspin
Al90Ca10Co0,AM,meltspin
Al91Ca9Co0,AM,meltspin
Al85Ca10Cu5,AM,meltspin
Al89Ca11Cu0,AM,meltspin
Al90Ca10Cu0,AM,meltspin
Al91Ca9Cu0,AM,meltspin
Al87.5Ca7.5Fe5,AM,meltspin
Al90Ca7.5Fe2.5,AM,meltspin
Al85Ca10Fe5,AM,meltspin
Al89Ca11Fe0,AM,meltspin
Al90Ca10Fe0,AM,meltspin
Al91Ca9Fe0,AM,meltspin
Al85Ca10Fe5,AC,meltspin
Al87.5Ca10Fe2.5,AC,meltspin
Al90Ca10Fe0,AC,meltspin
Al92.5Ca2.5Fe5,CR,meltspin
Al92.5Ca7.5Fe0,CR,meltspin
Al90Ca5Fe5,CR,meltspin
Al10Ca60Ga30,AM,meltspin
Al20Ca60Ga20,AM,meltspin
Al30Ca60Ga10,AM,meltspin
Al40Ca60Ga0,AM,meltspin
Al15Ca70Mg15,AM,meltspin
Al22.5Ca70Mg7.5,AM,meltspin
Al30Ca70Mg0,AM,meltspin
Al85Ca10Mg5,AM,meltspin
Al89Ca11Mg0,AM,meltspin
Al90Ca10Mg0,AM,meltspin
Al91Ca9Mg0,AM,meltspin
Al20Ca10Mg70,AM,meltspin
Al85Ca10Ni5,AM,meltspin
Al87.5Ca7.5Ni5,AM,meltspin
Al90Ca7.5Ni2.5,AM,meltspin
Al85Ca10Ni5,AM,meltspin
Al89Ca11Ni0,AM,meltspin
Al90Ca10Ni0,AM,meltspin
Al91Ca9Ni0,AM,meltspin
Al87.5Ca10Ni2.5,AC,meltspin
Al90Ca10Ni0,AC,meltspin
Al90Ca0Ni10,CR,meltspin
Al92.5Ca2.5Ni5,CR,meltspin
Al92.5Ca7.5Ni0,CR,meltspin
Al80Ca10Ni10,CR,meltspin
Al85Ca5Ni10,CR,meltspin
Al87.5Ca2.5Ni10,CR,meltspin
Al88.75Ca1.25Ni10,CR,meltspin
Al90Ca5Ni5,CR,meltspin
Al85Ca10Zn5,AM,meltspin
Al89Ca11Zn0,AM,meltspin
Al90Ca10Zn0,AM,meltspin
Al91Ca9Zn0,AM,meltspin
Al80Ce5Co15,AM,meltspin
Al80Ce10Co10,AM,meltspin
Al83Ce5Co12,AM,meltspin
Al85Ce5Co10,AM,meltspin
Al85Ce10Co5,AM,meltspin
Al87Ce8Co5,AM,meltspin
Al88Ce2Co10,AM,meltspin
Al88Ce10Co2,AM,meltspin
Al90Ce3Co7,AM,meltspin
Al90Ce5Co5,AM,meltspin
Al90Ce10Co0,AM,meltspin
Al91Ce9Co0,AM,meltspin
Al92Ce8Co0,AM,meltspin
Al93Ce7Co0,AM,meltspin
Al88Ce12Co0,AC,meltspin
Al89Ce11Co0,AC,meltspin
Al75Ce5Co20,CR,meltspin
Al75Ce10Co15,CR,meltspin
Al75Ce15Co10,CR,meltspin
Al77Ce10Co13,CR,meltspin
Al80Ce15Co5,CR,meltspin
Al87Ce13Co0,CR,meltspin
Al90Ce0Co10,CR,meltspin
Al94Ce4Co2,CR,meltspin
Al94Ce6Co0,CR,meltspin
Al95Ce2Co3,CR,meltspin
Al85Ce10Cr5,AM,meltspin
Al87Ce10Cr3,AM,meltspin
Al90Ce10Cr0,AM,meltspin
Al91Ce9Cr0,AM,meltspin
Al92Ce8Cr0,AM,meltspin
Al93Ce7Cr0,AM,meltspin
Al88Ce12Cr0,AM,meltspin
Al89Ce8Cr3,AC,meltspin
Al89Ce11Cr0,AC,meltspin
Al80Ce10Cr10,AC,meltspin
Al80Ce15Cr5,CR,meltspin
Al83Ce10Cr7,CR,meltspin
Al87Ce8Cr5,CR,meltspin
Al87Ce13Cr0,CR,meltspin
Al94Ce6Cr0,CR,meltspin
Al93Ce2Cr5,CR,meltspin
Al94Ce2Cr4,CR,meltspin
Al75Ce10Cu15,AM,meltspin
Al80Ce5Cu15,AM,meltspin
Al80Ce10Cu10,AM,meltspin
Al83Ce7Cu10,AM,meltspin
Al85Ce5Cu10,AM,meltspin
Al85Ce10Cu5,AM,meltspin
Al87Ce8Cu5,AM,meltspin
Al88Ce10Cu2,AM,meltspin
Al90Ce10Cu0,AM,meltspin
Al91Ce9Cu0,AM,meltspin
Al92Ce8Cu0,AM,meltspin
Al93Ce7Cu0,AM,meltspin
Al6Ce10Cu84,AM,meltspin
Al8Ce8Cu84,AM,meltspin
Al8Ce10Cu82,AM,meltspin
Al10Ce8Cu82,AM,meltspin
Al12Ce8Cu80,AM,meltspin
Al88Ce5Cu7,AC,meltspin
Al88Ce12Cu0,AC,meltspin
Al89Ce11Cu0,AC,meltspin
Al90Ce5Cu5,AC,meltspin
Al2Ce8Cu90,AC,meltspin
Al2Ce10Cu88,AC,meltspin
Al4Ce8Cu88,AC,meltspin
Al4Ce10Cu86,AC,meltspin
Al6Ce6Cu88,AC,meltspin
Al6Ce8Cu86,AC,meltspin
Al8Ce6Cu86,AC,meltspin
Al10Ce4Cu86,AC,meltspin
Al10Ce6Cu84,AC,meltspin
Al70Ce10Cu20,CR,meltspin
Al70Ce15Cu15,CR,meltspin
Al75Ce5Cu20,CR,meltspin
Al75Ce15Cu10,CR,meltspin
Al80Ce15Cu5,CR,meltspin
Al83Ce2Cu15,CR,meltspin
Al87Ce13Cu0,CR,meltspin
Al88Ce2Cu10,CR,meltspin
Al94Ce6Cu0,CR,meltspin
Al2Ce6Cu92,CR,meltspin
Al4Ce4Cu92,CR,meltspin
Al6Ce4Cu90,CR,meltspin
Al10Ce2Cu88,CR,meltspin
Al10Ce10Cu80,CR,meltspin
Al12Ce6Cu82,CR,meltspin
Al12Ce10Cu78,CR,meltspin
Al14Ce6Cu80,CR,meltspin
Al14Ce8Cu78,CR,meltspin
Al14Ce10Cu76,CR,meltspin
Al80Ce10Fe10,AM,meltspin
Al83Ce7Fe10,AM,meltspin
Al85Ce5Fe10,AM,meltspin
Al85Ce10Fe5,AM,meltspin
Al87Ce8Fe5,AM,meltspin
Al88Ce2Fe10,AM,meltspin
Al88Ce10Fe2,AM,meltspin
Al90Ce3Fe7,AM,meltspin
Al90Ce10Fe0,AM,meltspin
Al91Ce9Fe0,AM,meltspin
Al92Ce8Fe0,AM,meltspin
Al93Ce7Fe0,AM,meltspin
Al90Ce5Fe5,AM,meltspin
Al75Ce15Fe10,AC,meltspin
Al88Ce12Fe0,AC,meltspin
Al89Ce11Fe0,AC,meltspin
Al75Ce10Fe15,CR,meltspin
Al80Ce15Fe5,CR,meltspin
Al84Ce2Fe14,CR,meltspin
Al87Ce13Fe0,CR,meltspin
Al89Ce1Fe10,CR,meltspin
Al94Ce2Fe4,CR,meltspin
Al94Ce4Fe2,CR,meltspin
Al94Ce6Fe0,CR,meltspin
Al94Ce2Fe4,CR,meltspin
Al85Ce10Mn5,AM,meltspin
Al86Ce10Mn4,AM,meltspin
Al88Ce10Mn2,AM,meltspin
Al90Ce10Mn0,AM,meltspin
Al91Ce9Mn0,AM,meltspin
Al92Ce8Mn0,AM,meltspin
Al93Ce7Mn0,AM,meltspin
Al83Ce10Mn7,AC,meltspin
Al87Ce8Mn5,AC,meltspin
Al88Ce12Mn0,AC,meltspin
Al89Ce6Mn5,AC,meltspin
Al89Ce11Mn0,AC,meltspin
Al80Ce10Mn10,CR,meltspin
Al85Ce5Mn10,CR,meltspin
Al87Ce13Mn0,CR,meltspin
Al88Ce2Mn10,CR,meltspin
Al94Ce6Mn0,CR,meltspin
Al93Ce2Mn5,CR,meltspin
Al94Ce2Mn4,CR,meltspin
Al80Ce10Nb10,AM,meltspin
Al83Ce7Nb10,AM,meltspin
Al85Ce10Nb5,AM,meltspin
Al87Ce8Nb5,AM,meltspin
Al88Ce10Nb2,AM,meltspin
Al90Ce8Nb2,AM,meltspin
Al90Ce10Nb0,AM,meltspin
Al91Ce9Nb0,AM,meltspin
Al92Ce6Nb2,AM,meltspin
Al92Ce8Nb0,AM,meltspin
Al93Ce7Nb0,AM,meltspin
Al77Ce10Nb13,AC,meltspin
Al88Ce12Nb0,AC,meltspin
Al89Ce11Nb0,AC,meltspin
Al75Ce15Nb10,CR,meltspin
Al80Ce15Nb5,CR,meltspin
Al85Ce5Nb10,CR,meltspin
Al87Ce13Nb0,CR,meltspin
Al90Ce5Nb5,CR,meltspin
Al94Ce6Nb0,CR,meltspin
Al60Ce10Ni30,AM,meltspin
Al65Ce5Ni30,AM,meltspin
Al70Ce10Ni20,AM,meltspin
Al75Ce5Ni20,AM,meltspin
Al80Ce10Ni10,AM,meltspin
Al84Ce6Ni10,AM,meltspin
Al85Ce5Ni10,AM,meltspin
Al85Ce6Ni9,AM,meltspin
Al85Ce10Ni5,AM,meltspin
Al86Ce6Ni8,AM,meltspin
Al87Ce6Ni7,AM,meltspin
Al87Ce13Ni0,AM,meltspin
Al88Ce2Ni10,AM,meltspin
Al88Ce12Ni0,AM,meltspin
Al89Ce11Ni0,AM,meltspin
Al90Ce10Ni0,AM,meltspin
Al90Ce10Ni0,AM,meltspin
Al91Ce9Ni0,AM,meltspin
Al91Ce9Ni0,AM,meltspin
Al92Ce8Ni0,AM,meltspin
Al93Ce7Ni0,AM,meltspin
Al88Ce12Ni0,AC,meltspin
Al89Ce11Ni0,AC,meltspin
Al80Ce15Ni5,CR,meltspin
Al87Ce13Ni0,CR,meltspin
Al90Ce0Ni10,CR,meltspin
Al94Ce6Ni0,CR,meltspin
Al61Ce10Ni29,AM,meltspin
Al65Ce15Ni20,AM,meltspin
Al70Ce10Ni20,AM,meltspin
Al70Ce15Ni15,AM,meltspin
Al75Ce5Ni20,AM,meltspin
Al75Ce10Ni15,AM,meltspin
Al80Ce5Ni15,AM,meltspin
Al80Ce10Ni10,AM,meltspin
Al82Ce8Ni10,AM,meltspin
Al85Ce5Ni10,AM,meltspin
Al85Ce10Ni5,AM,meltspin
Al86Ce4Ni10,AM,meltspin
Al87Ce5Ni8,AM,meltspin
Al89Ce10Ni1,AM,meltspin
Al90Ce10Ni0,AM,meltspin
Al93Ce7Ni0,AM,meltspin
Al70Ce20Ni10,AC,meltspin
Al90Ce5Ni5,AC,meltspin
Al60Ce20Ni20,CR,meltspin
Al80Ce15Ni5,CR,meltspin
Al88Ce12Ni0,CR,meltspin
Al95Ce5Ni0,CR,meltspin
Al85Ce5Ni10,AM,meltspin
Al86Ce6Ni8,AM,meltspin
Al25Ce55Ni20,AM,meltspin
Al84Ce6Ni10,AM,meltspin
Al91Ce5Ni4,AM,meltspin
Al88Ce10V2,AM,meltspin
Al90Ce10V0,AM,meltspin
Al91Ce9V0,AM,meltspin
Al92Ce8V0,AM,meltspin
Al93Ce7V0,AM,meltspin
Al88Ce8V4,AC,meltspin
Al88Ce12V0,AC,meltspin
Al89Ce6V5,AC,meltspin
Al89Ce11V0,AC,meltspin
Al80Ce10V10,CR,meltspin
Al85Ce10V5,CR,meltspin
Al85Ce13V2,CR,meltspin
Al87Ce13V0,CR,meltspin
Al94Ce6V0,CR,meltspin
Al94Ce2V4,CR,meltspin
Al86Co12Fe2,AM,meltspin
Al87Co11Fe2,AM,meltspin
Al86Co14Fe0,AC,meltspin
Al87Co9Fe4,AC,meltspin
Al88Co2Fe10,AC,meltspin
Al88Co4Fe8,AC,meltspin
Al88Co6Fe6,AC,meltspin
Al88Co8Fe4,AC,meltspin
Al88Co10Fe2,AC,meltspin
Al88Co12Fe0,AC,meltspin
Al90Co0Fe10,AC,meltspin
Al90Co2Fe8,AC,meltspin
Al90Co4Fe6,AC,meltspin
Al90Co6Fe4,AC,meltspin
Al90Co8Fe2,AC,meltspin
Al90Co10Fe0,AC,meltspin
Al92Co0Fe8,AC,meltspin
Al92Co2Fe6,AC,meltspin
Al92Co4Fe4,AC,meltspin
Al92Co6Fe2,AC,meltspin
Al92Co8Fe0,AC,meltspin
Al94Co0Fe6,AC,meltspin
Al94Co2Fe4,AC,meltspin
Al94Co4Fe2,AC,meltspin
Al94Co6Fe0,AC,meltspin
Al96Co0Fe4,CR,meltspin
Al96Co2Fe2,CR,meltspin
Al96Co4Fe0,CR,meltspin
Al98Co0Fe2,CR,meltspin
Al98Co2Fe0,CR,meltspin
Al100Co0Fe0,CR,meltspin
Al84Co12Fe4,CR,meltspin
Al84Co14Fe2,CR,meltspin
Al86Co4Fe10,CR,meltspin
Al86Co6Fe8,CR,meltspin
Al86Co8Fe6,CR,meltspin
Al86Co10Fe4,CR,meltspin
Al86Co12Fe2,CR,meltspin
Al88Co0Fe12,CR,meltspin
Al88Co2Fe10,CR,meltspin
Al88Co4Fe8,CR,meltspin
Al88Co6Fe6,CR,meltspin
Al42Co10Ge48,AM,meltspin
Al57Co18Ge25,AM,meltspin
Al69Co6Ge25,AM,meltspin
Al78Co10Ge12,AM,meltspin
Al25Co20La55,AM,meltspin
Al88Co8Mn4,AC,meltspin
Al88Co10Mn2,AC,meltspin
Al88Co12Mn0,AC,meltspin
Al90Co6Mn4,AC,meltspin
Al90Co8Mn2,AC,meltspin
Al90Co10Mn0,AC,meltspin
Al92Co4Mn4,AC,meltspin
Al92Co6Mn2,AC,meltspin
Al92Co8Mn0,AC,meltspin
Al94Co4Mn2,AC,meltspin
Al94Co6Mn0,AC,meltspin
Al94Co0Mn6,CR,meltspin
Al94Co2Mn4,CR,meltspin
Al96Co0Mn4,CR,meltspin
Al96Co2Mn2,CR,meltspin
Al96Co4Mn0,CR,meltspin
Al98Co0Mn2,CR,meltspin
Al98Co2Mn0,CR,meltspin
Al100Co0Mn0,CR,meltspin
Al84Co12Mn4,CR,meltspin
Al84Co14Mn2,CR,meltspin
Al86Co8Mn6,CR,meltspin
Al86Co10Mn4,CR,meltspin
Al86Co12Mn2,CR,meltspin
Al86Co14Mn0,CR,meltspin
Al88Co6Mn6,CR,meltspin
Al90Co2Mn8,CR,meltspin
Al90Co4Mn6,CR,meltspin
Al92Co0Mn8,CR,meltspin
Al92Co2Mn6,CR,meltspin
Al87Co1Ni12,AM,meltspin
Al88Co4Ni8,AM,meltspin
Al88Co5Ni7,AM,meltspin
Al87Co1Ni12,AM,meltspin
Al87Co2Ni11,AM,meltspin
Al88Co4Ni8,AM,meltspin
Al88Co5Ni7,AM,meltspin
Al84Co8Ni8,AC,meltspin
Al85Co1Ni14,AC,meltspin
Al85Co5Ni10,AC,meltspin
Al85Co10Ni5,AC,meltspin
Al86Co0Ni14,AC,meltspin
Al86Co1Ni13,AC,meltspin
Al86Co2Ni12,AC,meltspin
Al86Co3Ni11,AC,meltspin
Al86Co5Ni9,AC,meltspin
Al86Co14Ni0,AC,meltspin
Al87Co3Ni10,AC,meltspin
Al87Co4Ni9,AC,meltspin
Al87Co5Ni8,AC,meltspin
Al88Co0Ni12,AC,meltspin
Al88Co1Ni11,AC,meltspin
Al88Co2Ni10,AC,meltspin
Al88Co3Ni9,AC,meltspin
Al88Co6Ni6,AC,meltspin
Al88Co7Ni5,AC,meltspin
Al88Co8Ni4,AC,meltspin
Al88Co9Ni3,AC,meltspin
Al88Co10Ni2,AC,meltspin
Al88Co11Ni1,AC,meltspin
Al88Co12Ni0,AC,meltspin
Al89Co1Ni10,AC,meltspin
Al89Co2Ni9,AC,meltspin
Al89Co3Ni8,AC,meltspin
Al89Co4Ni7,AC,meltspin
Al89Co5Ni6,AC,meltspin
Al89Co6Ni5,AC,meltspin
Al90Co0Ni10,AC,meltspin
Al90Co2Ni8,AC,meltspin
Al90Co4Ni6,AC,meltspin
Al90Co5Ni5,AC,meltspin
Al90Co6Ni4,AC,meltspin
Al90Co8Ni2,AC,meltspin
Al90Co10Ni0,AC,meltspin
Al91Co1Ni8,AC,meltspin
Al91Co2Ni7,AC,meltspin
Al92Co0Ni8,AC,meltspin
Al92Co2Ni6,AC,meltspin
Al92Co4Ni4,AC,meltspin
Al92Co6Ni2,AC,meltspin
Al92Co8Ni0,AC,meltspin
Al94Co6Ni0,AC,meltspin
Al84Co8Ni8,AC,meltspin
Al85Co1Ni14,AC,meltspin
Al85Co5Ni10,AC,meltspin
Al85Co10Ni5,AC,meltspin
Al86Co0Ni14,AC,meltspin
Al86Co1Ni13,AC,meltspin
Al86Co2Ni12,AC,meltspin
Al86Co3Ni11,AC,meltspin
Al86Co5Ni9,AC,meltspin
Al86Co14Ni0,AC,meltspin
Al87Co3Ni10,AC,meltspin
Al87Co4Ni9,AC,meltspin
Al87Co5Ni8,AC,meltspin
Al88Co0Ni12,AC,meltspin
Al88Co1Ni11,AC,meltspin
Al88Co2Ni10,AC,meltspin
Al88Co3Ni9,AC,meltspin
Al88Co6Ni6,AC,meltspin
Al88Co7Ni5,AC,meltspin
Al88Co8Ni4,AC,meltspin
Al88Co9Ni3,AC,meltspin
Al88Co10Ni2,AC,meltspin
Al88Co11Ni1,AC,meltspin
Al88Co12Ni0,AC,meltspin
Al89Co1Ni10,AC,meltspin
Al89Co2Ni9,AC,meltspin
Al89Co3Ni8,AC,meltspin
Al89Co4Ni7,AC,meltspin
Al89Co5Ni6,AC,meltspin
Al89Co6Ni5,AC,meltspin
Al90Co0Ni10,AC,meltspin
Al90Co2Ni8,AC,meltspin
Al90Co4Ni6,AC,meltspin
Al90Co5Ni5,AC,meltspin
Al90Co6Ni4,AC,meltspin
Al90Co8Ni2,AC,meltspin
Al90Co10Ni0,AC,meltspin
Al91Co1Ni8,AC,meltspin
Al91Co2Ni7,AC,meltspin
Al92Co0Ni8,AC,meltspin
Al92Co2Ni6,AC,meltspin
Al92Co4Ni4,AC,meltspin
Al92Co6Ni2,AC,meltspin
Al92Co8Ni0,AC,meltspin
Al94Co6Ni0,AC,meltspin
