,formula,chemsys_abc,phase,gfa
97,Ag48Cu0Fe52,Ag-Cu-Fe,CR,0
98,Ag48Cu52Fe0,Ag-Cu-Fe,CR,0
99,Ag49Cu29Fe22,Ag-Cu-Fe,CR,0
100,Ag50Cu0Fe50,Ag-Cu-Fe,CR,0
101,Ag51Cu13Fe36,Ag-Cu-Fe,CR,0
102,Ag52Cu0Fe48,Ag-Cu-Fe,CR,0
103,Ag55Cu0Fe45,Ag-Cu-Fe,CR,0
104,Ag58Cu32Fe10,Ag-Cu-Fe,CR,0
105,Ag61Cu0Fe39,Ag-Cu-Fe,CR,0
106,Ag62Cu30Fe8,Ag-Cu-Fe,CR,0
107,Ag63Cu0Fe37,Ag-Cu-Fe,CR,0
108,Ag63Cu8Fe29,Ag-Cu-Fe,CR,0
109,Ag67Cu0Fe33,Ag-Cu-Fe,CR,0
110,Ag70Cu0Fe30,Ag-Cu-Fe,CR,0
111,Ag84Cu0Fe16,Ag-Cu-Fe,CR,0
112,Ag31Cu31Fe38,Ag-Cu-Fe,AM,1
113,Ag37.5Cu37.5Ge25,Ag-Cu-Ge,AM,1
114,Ag38.75Cu38.75Ge22.5,Ag-Cu-Ge,AM,1
115,Ag40Cu40Ge20,Ag-Cu-Ge,AM,1
116,Ag25Cu25Ge50,Ag-Cu-Ge,AM,1
117,Ag40Cu40Ge20,Ag-Cu-Ge,AM,1
118,Ag50Cu50Ge0,Ag-Cu-Ge,AM,1
119,Ag5Cu5Ge90,Ag-Cu-Ge,AM,1
120,Ag10Cu10Ge80,Ag-Cu-Ge,AM,1
121,Ag15Cu15Ge70,Ag-Cu-Ge,AM,1
122,Ag20Cu20Ge60,Ag-Cu-Ge,AM,1
123,Ag25Cu25Ge50,Ag-Cu-Ge,AM,1
124,Ag30Cu30Ge40,Ag-Cu-Ge,AM,1
125,Ag35Cu35Ge30,Ag-Cu-Ge,AM,1
126,Ag40Cu40Ge20,Ag-Cu-Ge,AM,1
127,Ag42.5Cu42.5Ge15,Ag-Cu-Ge,AM,1
128,Ag45Cu45Ge10,Ag-Cu-Ge,AM,1
129,Ag47.5Cu47.5Ge5,Ag-Cu-Ge,AM,1
130,Ag50Cu50Ge0,Ag-Cu-Ge,AM,1
131,Ag35Cu35Mg30,Ag-Cu-Mg,AM,1
132,Ag7.1Cu85.2P7.7,Ag-Cu-P,AM,1
133,Ag7.5Cu85.5P7,Ag-Cu-P,AM,1
134,Ag8.9Cu83.5P7.6,Ag-Cu-P,AM,1
135,Ag9Cu82.8P8.2,Ag-Cu-P,AM,1
136,Ag9Cu84P7,Ag-Cu-P,AM,1
137,Ag10.5Cu81.5P8,Ag-Cu-P,AM,1
138,Ag10.5Cu81.9P7.6,Ag-Cu-P,AM,1
139,Ag10.5Cu82.5P7,Ag-Cu-P,AM,1
140,Ag12.2Cu80.3P7.5,Ag-Cu-P,AM,1
141,Ag12.2Cu80.8P7,Ag-Cu-P,AM,1
142,Ag7Cu84.5P8.5,Ag-Cu-P,AC,0
143,Ag7.5Cu86P6.5,Ag-Cu-P,AC,0
144,Ag9Cu84.5P6.5,Ag-Cu-P,AC,0
145,Ag10.5Cu80.5P9,Ag-Cu-P,AC,0
146,Ag12.2Cu81.5P6.3,Ag-Cu-P,AC,0
147,Ag14Cu78.5P7.5,Ag-Cu-P,AC,0
148,Ag5.5Cu87P7.5,Ag-Cu-P,CR,0
149,Ag9Cu82.5P8.5,Ag-Cu-P,CR,0
150,Ag9Cu85P6,Ag-Cu-P,CR,0
151,Ag0Mg84Y16,Ag-Mg-Y,AM,1
152,Ag5Mg80Y15,Ag-Mg-Y,AM,1
153,Ag10Mg60Y30,Ag-Mg-Y,AM,1
154,Ag10Mg70Y20,Ag-Mg-Y,AM,1
155,Ag10Mg80Y10,Ag-Mg-Y,AM,1
156,Ag15Mg80Y5,Ag-Mg-Y,AM,1
157,Ag20Mg30Y50,Ag-Mg-Y,AM,1
158,Ag20Mg40Y40,Ag-Mg-Y,AM,1
159,Ag20Mg50Y30,Ag-Mg-Y,AM,1
160,Ag20Mg60Y20,Ag-Mg-Y,AM,1
161,Ag20Mg70Y10,Ag-Mg-Y,AM,1
162,Ag25Mg60Y15,Ag-Mg-Y,AM,1
163,Ag25Mg65Y10,Ag-Mg-Y,AM,1
164,Ag25Mg70Y5,Ag-Mg-Y,AM,1
165,Ag30Mg30Y40,Ag-Mg-Y,AM,1
166,Ag30Mg40Y30,Ag-Mg-Y,AM,1
167,Ag30Mg50Y20,Ag-Mg-Y,AM,1
168,Ag30Mg55Y15,Ag-Mg-Y,AM,1
169,Ag30Mg60Y10,Ag-Mg-Y,AM,1
170,Ag40Mg30Y30,Ag-Mg-Y,AM,1
171,Ag40Mg40Y20,Ag-Mg-Y,AM,1
172,Ag40Mg50Y10,Ag-Mg-Y,AM,1
173,Ag50Mg30Y20,Ag-Mg-Y,AM,1
174,Ag0Mg80Y20,Ag-Mg-Y,AC,0
175,Ag0Mg87.5Y12.5,Ag-Mg-Y,AC,0
176,Ag5Mg85Y10,Ag-Mg-Y,AC,0
177,Ag10Mg50Y40,Ag-Mg-Y,AC,0
178,Ag10Mg85Y5,Ag-Mg-Y,AC,0
179,Ag20Mg20Y60,Ag-Mg-Y,AC,0
180,Ag50Mg20Y30,Ag-Mg-Y,AC,0
181,Ag60Mg20Y20,Ag-Mg-Y,AC,0
182,Ag0Mg75Y25,Ag-Mg-Y,CR,0
183,Ag0Mg90Y10,Ag-Mg-Y,CR,0
184,Ag0Mg95Y5,Ag-Mg-Y,CR,0
185,Ag5Mg90Y5,Ag-Mg-Y,CR,0
186,Ag30Mg20Y50,Ag-Mg-Y,CR,0
187,Ag40Mg20Y40,Ag-Mg-Y,CR,0
188,Ag50Mg40Y10,Ag-Mg-Y,CR,0
189,Ag0Pd79Si21,Ag-Pd-Si,AM,1
190,Ag0Pd80Si20,Ag-Pd-Si,AM,1
191,Ag0Pd82Si18,Ag-Pd-Si,AM,1
192,Ag0Pd84Si16,Ag-Pd-Si,AM,1
193,Ag0Pd85Si15,Ag-Pd-Si,AM,1
194,Ag4.5Pd75.5Si20,Ag-Pd-Si,AM,1
195,Ag4.5Pd79Si16.5,Ag-Pd-Si,AM,1
196,Ag5Pd77Si18,Ag-Pd-Si,AM,1
197,Ag5Pd79Si16,Ag-Pd-Si,AM,1
198,Ag5.5Pd78Si16.5,Ag-Pd-Si,AM,1
199,Ag8.5Pd75Si16.5,Ag-Pd-Si,AM,1
200,Ag4Pd79.5Si16.5,Ag-Pd-Si,AM,1
201,Ag1.7Pd81.8Si16.5,Ag-Pd-Si,AM,1
202,Ag4.2Pd79.3Si16.5,Ag-Pd-Si,AM,1
203,Ag6.7Pd76.8Si16.5,Ag-Pd-Si,AM,1
204,Ag10Pd73.5Si16.5,Ag-Pd-Si,AM,1
205,Ag12.5Pd71Si16.5,Ag-Pd-Si,AM,1
206,Ag15Pd68.5Si16.5,Ag-Pd-Si,AM,1
207,Ag20.9Pd62.6Si16.5,Ag-Pd-Si,CR,0
208,Ag4.5Pd75.5Si20,Ag-Pd-Si,AM,1
209,Ag6Pd77.5Si16.5,Ag-Pd-Si,AM,1
210,Al25Au20La55,Al-Au-La,AM,1
211,Al0B18Co82,Al-B-Co,AM,1
212,Al0B22Co78,Al-B-Co,AM,1
213,Al0B26Co74,Al-B-Co,AM,1
214,Al0B30Co70,Al-B-Co,AM,1
215,Al0B36Co64,Al-B-Co,AM,1
216,Al0B38Co62,Al-B-Co,AM,1
217,Al0B40Co60,Al-B-Co,AM,1
218,Al4B18Co78,Al-B-Co,AM,1
219,Al4B22Co74,Al-B-Co,AM,1
220,Al4B26Co70,Al-B-Co,AM,1
221,Al4B30Co66,Al-B-Co,AM,1
222,Al4B34Co62,Al-B-Co,AM,1
223,Al8B18Co74,Al-B-Co,AM,1
224,Al8B22Co70,Al-B-Co,AM,1
225,Al8B26Co66,Al-B-Co,AM,1
226,Al8B30Co62,Al-B-Co,AM,1
227,Al8B34Co58,Al-B-Co,AM,1
228,Al12B18Co70,Al-B-Co,AM,1
229,Al12B22Co66,Al-B-Co,AM,1
230,Al12B26Co62,Al-B-Co,AM,1
231,Al12B30Co58,Al-B-Co,AM,1
232,Al12B34Co54,Al-B-Co,AM,1
233,Al12B38Co50,Al-B-Co,AM,1
234,Al16B14Co70,Al-B-Co,AM,1
235,Al16B18Co66,Al-B-Co,AM,1
236,Al16B22Co62,Al-B-Co,AM,1
237,Al16B26Co58,Al-B-Co,AM,1
238,Al16B30Co54,Al-B-Co,AM,1
239,Al16B34Co50,Al-B-Co,AM,1
240,Al20B26Co54,Al-B-Co,AM,1
241,Al20B30Co50,Al-B-Co,AM,1
242,Al20B34Co46,Al-B-Co,AM,1
243,Al20B38Co42,Al-B-Co,AM,1
244,Al24B26Co50,Al-B-Co,AM,1
245,Al24B34Co42,Al-B-Co,AM,1
246,Al24B40Co36,Al-B-Co,AM,1
247,Al8B14Co78,Al-B-Co,AC,0
248,Al12B14Co74,Al-B-Co,AC,0
249,Al20B18Co62,Al-B-Co,AC,0
250,Al20B22Co58,Al-B-Co,AC,0
251,Al4B10Co86,Al-B-Co,CR,0
252,Al4B14Co82,Al-B-Co,CR,0
253,Al8B10Co82,Al-B-Co,CR,0
254,Al12B6Co82,Al-B-Co,CR,0
255,Al12B10Co78,Al-B-Co,CR,0
256,Al16B10Co74,Al-B-Co,CR,0
257,Al20B10Co70,Al-B-Co,CR,0
258,Al20B14Co66,Al-B-Co,CR,0
259,Al24B22Co54,Al-B-Co,CR,0
260,Al0B13Fe87,Al-B-Fe,AM,1
261,Al0B18Fe82,Al-B-Fe,AM,1
262,Al0B22Fe78,Al-B-Fe,AM,1
263,Al4B14Fe82,Al-B-Fe,AM,1
264,Al4B18Fe78,Al-B-Fe,AM,1
265,Al4B22Fe74,Al-B-Fe,AM,1
266,Al8B14Fe78,Al-B-Fe,AM,1
267,Al8B18Fe74,Al-B-Fe,AM,1
268,Al8B22Fe70,Al-B-Fe,AM,1
269,Al12B14Fe74,Al-B-Fe,AM,1
270,Al12B22Fe66,Al-B-Fe,AM,1
271,Al16B14Fe70,Al-B-Fe,AM,1
272,Al16B18Fe66,Al-B-Fe,AM,1
273,Al16B22Fe62,Al-B-Fe,AM,1
274,Al16B26Fe58,Al-B-Fe,AM,1
275,Al20B14Fe66,Al-B-Fe,AM,1
276,Al20B18Fe62,Al-B-Fe,AM,1
277,Al20B26Fe54,Al-B-Fe,AM,1
278,Al20B30Fe50,Al-B-Fe,AM,1
279,Al20B34Fe46,Al-B-Fe,AM,1
280,Al4B10Fe86,Al-B-Fe,CR,0
281,Al8B10Fe82,Al-B-Fe,CR,0
282,Al12B6Fe82,Al-B-Fe,CR,0
283,Al12B10Fe78,Al-B-Fe,CR,0
284,Al16B10Fe74,Al-B-Fe,CR,0
285,Al0B18Ni82,Al-B-Ni,AM,1
286,Al0B30Ni70,Al-B-Ni,AM,1
287,Al0B34Ni66,Al-B-Ni,AM,1
288,Al0B38Ni62,Al-B-Ni,AM,1
289,Al0B40Ni60,Al-B-Ni,AM,1
290,Al0B42Ni58,Al-B-Ni,AM,1
291,Al4B18Ni78,Al-B-Ni,AM,1
292,Al4B22Ni74,Al-B-Ni,AM,1
293,Al4B26Ni70,Al-B-Ni,AM,1
294,Al4B30Ni66,Al-B-Ni,AM,1
295,Al4B34Ni62,Al-B-Ni,AM,1
296,Al4B38Ni58,Al-B-Ni,AM,1
297,Al4B42Ni54,Al-B-Ni,AM,1
298,Al8B18Ni74,Al-B-Ni,AM,1
299,Al8B22Ni70,Al-B-Ni,AM,1
300,Al8B26Ni66,Al-B-Ni,AM,1
301,Al8B30Ni62,Al-B-Ni,AM,1
302,Al8B34Ni58,Al-B-Ni,AM,1
303,Al8B38Ni54,Al-B-Ni,AM,1
304,Al8B42Ni50,Al-B-Ni,AM,1
305,Al12B18Ni70,Al-B-Ni,AM,1
306,Al12B22Ni66,Al-B-Ni,AM,1
307,Al12B26Ni62,Al-B-Ni,AM,1
308,Al12B30Ni58,Al-B-Ni,AM,1
309,Al12B34Ni54,Al-B-Ni,AM,1
310,Al16B18Ni66,Al-B-Ni,AM,1
311,Al16B22Ni62,Al-B-Ni,AM,1
312,Al16B26Ni58,Al-B-Ni,AM,1
313,Al16B30Ni54,Al-B-Ni,AM,1
314,Al16B34Ni50,Al-B-Ni,AM,1
315,Al16B38Ni46,Al-B-Ni,AM,1
316,Al20B18Ni62,Al-B-Ni,AM,1
317,Al20B22Ni58,Al-B-Ni,AM,1
318,Al20B26Ni54,Al-B-Ni,AM,1
319,Al20B30Ni50,Al-B-Ni,AM,1
320,Al20B34Ni46,Al-B-Ni,AM,1
321,Al20B40Ni40,Al-B-Ni,AM,1
322,Al24B26Ni50,Al-B-Ni,AM,1
323,Al12B14Ni74,Al-B-Ni,AC,0
324,Al24B14Ni62,Al-B-Ni,AC,0
325,Al24B18Ni58,Al-B-Ni,AC,0
326,Al24B22Ni54,Al-B-Ni,AC,0
327,Al28B22Ni50,Al-B-Ni,AC,0
328,Al0B22Ni78,Al-B-Ni,CR,0
329,Al0B26Ni74,Al-B-Ni,CR,0
330,Al16B14Ni70,Al-B-Ni,CR,0
331,Al20B14Ni66,Al-B-Ni,CR,0
332,Al28B30Ni42,Al-B-Ni,CR,0
333,Al2.5Be35Ti62.5,Al-Be-Ti,AM,1
334,Al5Be30Ti65,Al-Be-Ti,AM,1
335,Al85Ca10Co5,Al-Ca-Co,AM,1
336,Al89Ca11Co0,Al-Ca-Co,AM,1
337,Al90Ca10Co0,Al-Ca-Co,AM,1
338,Al91Ca9Co0,Al-Ca-Co,AM,1
339,Al85Ca10Cu5,Al-Ca-Cu,AM,1
340,Al89Ca11Cu0,Al-Ca-Cu,AM,1
341,Al90Ca10Cu0,Al-Ca-Cu,AM,1
342,Al91Ca9Cu0,Al-Ca-Cu,AM,1
343,Al87.5Ca7.5Fe5,Al-Ca-Fe,AM,1
344,Al90Ca7.5Fe2.5,Al-Ca-Fe,AM,1
345,Al85Ca10Fe5,Al-Ca-Fe,AC,0
346,Al87.5Ca10Fe2.5,Al-Ca-Fe,AC,0
347,Al90Ca10Fe0,Al-Ca-Fe,AC,0
348,Al92.5Ca2.5Fe5,Al-Ca-Fe,CR,0
349,Al92.5Ca7.5Fe0,Al-Ca-Fe,CR,0
350,Al90Ca5Fe5,Al-Ca-Fe,OT,0
351,Al85Ca10Fe5,Al-Ca-Fe,AM,1
352,Al89Ca11Fe0,Al-Ca-Fe,AM,1
353,Al90Ca10Fe0,Al-Ca-Fe,AM,1
354,Al91Ca9Fe0,Al-Ca-Fe,AM,1
355,Al10Ca60Ga30,Al-Ca-Ga,AM,1
356,Al20Ca60Ga20,Al-Ca-Ga,AM,1
357,Al30Ca60Ga10,Al-Ca-Ga,AM,1
358,Al40Ca60Ga0,Al-Ca-Ga,AM,1
359,Al15Ca70Mg15,Al-Ca-Mg,AM,1
360,Al22.5Ca70Mg7.5,Al-Ca-Mg,AM,1
361,Al30Ca70Mg0,Al-Ca-Mg,AM,1
362,Al85Ca10Mg5,Al-Ca-Mg,AM,1
363,Al89Ca11Mg0,Al-Ca-Mg,AM,1
364,Al90Ca10Mg0,Al-Ca-Mg,AM,1
365,Al91Ca9Mg0,Al-Ca-Mg,AM,1
366,Al20Ca10Mg70,Al-Ca-Mg,AM,1
367,Al85Ca10Ni5,Al-Ca-Ni,AM,1
368,Al87.5Ca7.5Ni5,Al-Ca-Ni,AM,1
369,Al90Ca7.5Ni2.5,Al-Ca-Ni,AM,1
370,Al87.5Ca10Ni2.5,Al-Ca-Ni,AC,0
371,Al90Ca10Ni0,Al-Ca-Ni,AC,0
372,Al90Ca0Ni10,Al-Ca-Ni,CR,0
373,Al92.5Ca2.5Ni5,Al-Ca-Ni,CR,0
374,Al92.5Ca7.5Ni0,Al-Ca-Ni,CR,0
375,Al80Ca10Ni10,Al-Ca-Ni,OT,0
376,Al85Ca5Ni10,Al-Ca-Ni,OT,0
377,Al87.5Ca2.5Ni10,Al-Ca-Ni,OT,0
378,Al88.750Ca1.250Ni10,Al-Ca-Ni,OT,0
379,Al90Ca5Ni5,Al-Ca-Ni,OT,0
380,Al85Ca10Ni5,Al-Ca-Ni,AM,1
381,Al89Ca11Ni0,Al-Ca-Ni,AM,1
382,Al90Ca10Ni0,Al-Ca-Ni,AM,1
383,Al91Ca9Ni0,Al-Ca-Ni,AM,1
384,Al85Ca10Zn5,Al-Ca-Zn,AM,1
385,Al89Ca11Zn0,Al-Ca-Zn,AM,1
386,Al90Ca10Zn0,Al-Ca-Zn,AM,1
387,Al91Ca9Zn0,Al-Ca-Zn,AM,1
388,Al80Ce5Co15,Al-Ce-Co,AM,1
389,Al80Ce10Co10,Al-Ce-Co,AM,1
390,Al83Ce5Co12,Al-Ce-Co,AM,1
391,Al85Ce5Co10,Al-Ce-Co,AM,1
392,Al85Ce10Co5,Al-Ce-Co,AM,1
393,Al87Ce8Co5,Al-Ce-Co,AM,1
394,Al88Ce2Co10,Al-Ce-Co,AM,1
395,Al88Ce10Co2,Al-Ce-Co,AM,1
396,Al90Ce3Co7,Al-Ce-Co,AM,1
397,Al90Ce5Co5,Al-Ce-Co,AM,1
398,Al90Ce10Co0,Al-Ce-Co,AM,1
399,Al91Ce9Co0,Al-Ce-Co,AM,1
400,Al92Ce8Co0,Al-Ce-Co,AM,1
401,Al93Ce7Co0,Al-Ce-Co,AM,1
402,Al88Ce12Co0,Al-Ce-Co,AC,0
403,Al89Ce11Co0,Al-Ce-Co,AC,0
404,Al75Ce5Co20,Al-Ce-Co,CR,0
405,Al75Ce10Co15,Al-Ce-Co,CR,0
406,Al75Ce15Co10,Al-Ce-Co,CR,0
407,Al77Ce10Co13,Al-Ce-Co,CR,0
408,Al80Ce15Co5,Al-Ce-Co,CR,0
409,Al87Ce13Co0,Al-Ce-Co,CR,0
410,Al90Ce0Co10,Al-Ce-Co,CR,0
411,Al94Ce4Co2,Al-Ce-Co,CR,0
412,Al94Ce6Co0,Al-Ce-Co,CR,0
413,Al95Ce2Co3,Al-Ce-Co,CR,0
414,Al80Ce10Co10,Al-Ce-Co,AM,1
415,Al85Ce10Cr5,Al-Ce-Cr,AM,1
416,Al87Ce10Cr3,Al-Ce-Cr,AM,1
417,Al90Ce10Cr0,Al-Ce-Cr,AM,1
418,Al91Ce9Cr0,Al-Ce-Cr,AM,1
419,Al92Ce8Cr0,Al-Ce-Cr,AM,1
420,Al93Ce7Cr0,Al-Ce-Cr,AM,1
421,Al88Ce12Cr0,Al-Ce-Cr,AC,0
422,Al89Ce8Cr3,Al-Ce-Cr,AC,0
423,Al89Ce11Cr0,Al-Ce-Cr,AC,0
424,Al80Ce10Cr10,Al-Ce-Cr,CR,0
425,Al80Ce15Cr5,Al-Ce-Cr,CR,0
426,Al83Ce10Cr7,Al-Ce-Cr,CR,0
427,Al87Ce8Cr5,Al-Ce-Cr,CR,0
428,Al87Ce13Cr0,Al-Ce-Cr,CR,0
429,Al94Ce6Cr0,Al-Ce-Cr,CR,0
430,Al93Ce2Cr5,Al-Ce-Cr,OT,0
431,Al94Ce2Cr4,Al-Ce-Cr,OT,0
432,Al75Ce10Cu15,Al-Ce-Cu,AM,1
433,Al80Ce5Cu15,Al-Ce-Cu,AM,1
434,Al80Ce10Cu10,Al-Ce-Cu,AM,1
435,Al83Ce7Cu10,Al-Ce-Cu,AM,1
436,Al85Ce5Cu10,Al-Ce-Cu,AM,1
437,Al85Ce10Cu5,Al-Ce-Cu,AM,1
438,Al87Ce8Cu5,Al-Ce-Cu,AM,1
439,Al88Ce10Cu2,Al-Ce-Cu,AM,1
440,Al90Ce10Cu0,Al-Ce-Cu,AM,1
441,Al91Ce9Cu0,Al-Ce-Cu,AM,1
442,Al92Ce8Cu0,Al-Ce-Cu,AM,1
443,Al93Ce7Cu0,Al-Ce-Cu,AM,1
444,Al88Ce5Cu7,Al-Ce-Cu,AC,0
445,Al88Ce12Cu0,Al-Ce-Cu,AC,0
446,Al89Ce11Cu0,Al-Ce-Cu,AC,0
447,Al90Ce5Cu5,Al-Ce-Cu,AC,0
448,Al70Ce10Cu20,Al-Ce-Cu,CR,0
449,Al70Ce15Cu15,Al-Ce-Cu,CR,0
450,Al75Ce5Cu20,Al-Ce-Cu,CR,0
451,Al75Ce15Cu10,Al-Ce-Cu,CR,0
452,Al80Ce15Cu5,Al-Ce-Cu,CR,0
453,Al83Ce2Cu15,Al-Ce-Cu,CR,0
454,Al87Ce13Cu0,Al-Ce-Cu,CR,0
455,Al88Ce2Cu10,Al-Ce-Cu,CR,0
456,Al94Ce6Cu0,Al-Ce-Cu,CR,0
457,Al6Ce10Cu84,Al-Ce-Cu,AM,1
458,Al8Ce8Cu84,Al-Ce-Cu,AM,1
459,Al8Ce10Cu82,Al-Ce-Cu,AM,1
460,Al10Ce8Cu82,Al-Ce-Cu,AM,1
461,Al12Ce8Cu80,Al-Ce-Cu,AM,1
462,Al2Ce8Cu90,Al-Ce-Cu,AC,0
463,Al2Ce10Cu88,Al-Ce-Cu,AC,0
464,Al4Ce8Cu88,Al-Ce-Cu,AC,0
465,Al4Ce10Cu86,Al-Ce-Cu,AC,0
466,Al6Ce6Cu88,Al-Ce-Cu,AC,0
467,Al6Ce8Cu86,Al-Ce-Cu,AC,0
468,Al8Ce6Cu86,Al-Ce-Cu,AC,0
469,Al10Ce4Cu86,Al-Ce-Cu,AC,0
470,Al10Ce6Cu84,Al-Ce-Cu,AC,0
471,Al2Ce6Cu92,Al-Ce-Cu,CR,0
472,Al4Ce4Cu92,Al-Ce-Cu,CR,0
