,formula,chemsys_abc,gfa
109,Al92Ca8,Al-Ca,0
110,Al91Ca9,Al-Ca,0
111,Al90Ca10,Al-Ca,0
112,Al89Ca11,Al-Ca,0
113,Al88Ca12,Al-Ca,0
114,Al87Ca13,Al-Ca,0
115,Al86Ca14,Al-Ca,0
116,Al85Ca15,Al-Ca,0
117,Al84Ca16,Al-Ca,0
118,Al83Ca17,Al-Ca,0
119,Al82Ca18,Al-Ca,0
120,Al81Ca19,Al-Ca,0
121,Al80Ca20,Al-Ca,0
122,Al79Ca21,Al-Ca,0
123,Al78Ca22,Al-Ca,0
124,Al77Ca23,Al-Ca,0
125,Al76Ca24,Al-Ca,0
126,Al75Ca25,Al-Ca,0
127,Al74Ca26,Al-Ca,0
128,Al73Ca27,Al-Ca,0
129,Al72Ca28,Al-Ca,0
130,Al71Ca29,Al-Ca,0
131,Al70Ca30,Al-Ca,0
132,Al69Ca31,Al-Ca,0
133,Al68Ca32,Al-Ca,0
134,Al67Ca33,Al-Ca,0
135,Al66Ca34,Al-Ca,0
136,Al65Ca35,Al-Ca,0
137,Al64Ca36,Al-Ca,0
138,Al63Ca37,Al-Ca,0
139,Al62Ca38,Al-Ca,0
140,Al61Ca39,Al-Ca,0
141,Al60Ca40,Al-Ca,0
142,Al59Ca41,Al-Ca,0
143,Al58Ca42,Al-Ca,0
144,Al57Ca43,Al-Ca,0
145,Al56Ca44,Al-Ca,0
146,Al55Ca45,Al-Ca,0
147,Al54Ca46,Al-Ca,0
148,Al53Ca47,Al-Ca,0
149,Al52Ca48,Al-Ca,0
150,Al51Ca49,Al-Ca,0
151,Al50Ca50,Al-Ca,0
152,Al49Ca51,Al-Ca,0
153,Al48Ca52,Al-Ca,0
154,Al47Ca53,Al-Ca,0
155,Al46Ca54,Al-Ca,0
156,Al45Ca55,Al-Ca,1
157,Al44Ca56,Al-Ca,1
158,Al43Ca57,Al-Ca,1
159,Al42Ca58,Al-Ca,1
160,Al41Ca59,Al-Ca,1
161,Al40Ca60,Al-Ca,1
162,Al39Ca61,Al-Ca,1
163,Al38Ca62,Al-Ca,1
164,Al37Ca63,Al-Ca,1
165,Al36Ca64,Al-Ca,1
166,Al35Ca65,Al-Ca,1
167,Al34Ca66,Al-Ca,1
168,Al33Ca67,Al-Ca,1
169,Al32Ca68,Al-Ca,1
170,Al31Ca69,Al-Ca,1
171,Al30Ca70,Al-Ca,1
172,Al29Ca71,Al-Ca,1
173,Al28Ca72,Al-Ca,1
174,Al27Ca73,Al-Ca,1
175,Al26Ca74,Al-Ca,1
176,Al25Ca75,Al-Ca,1
177,Al24Ca76,Al-Ca,1
178,Al23Ca77,Al-Ca,1
179,Al22Ca78,Al-Ca,1
180,Al21Ca79,Al-Ca,1
181,Al20Ca80,Al-Ca,1
182,Al19Ca81,Al-Ca,1
183,Al18Ca82,Al-Ca,1
184,Al17Ca83,Al-Ca,1
185,Al16Ca84,Al-Ca,1
186,Al15Ca85,Al-Ca,1
187,Al14Ca86,Al-Ca,0
188,Al13Ca87,Al-Ca,0
189,Al12Ca88,Al-Ca,0
190,Al11Ca89,Al-Ca,0
191,Al10Ca90,Al-Ca,0
192,Al9Ca91,Al-Ca,0
193,Al8Ca92,Al-Ca,0
194,Al7Ca93,Al-Ca,0
195,Al6Ca94,Al-Ca,0
196,Al5Ca95,Al-Ca,0
197,Al4Ca96,Al-Ca,0
198,Al3Ca97,Al-Ca,0
199,Al2Ca98,Al-Ca,0
200,Al1Ca99,Al-Ca,0
201,Al0Ca100,Al-Ca,0
202,Al100Ce0,Al-Ce,0
203,Al99Ce1,Al-Ce,0
204,Al98Ce2,Al-Ce,0
205,Al97Ce3,Al-Ce,0
206,Al96Ce4,Al-Ce,0
207,Al95Ce5,Al-Ce,0
208,Al94Ce6,Al-Ce,0
209,Al93Ce7,Al-Ce,1
210,Al92Ce8,Al-Ce,1
211,Al91Ce9,Al-Ce,1
212,Al90Ce10,Al-Ce,1
213,Al89Ce11,Al-Ce,1
214,Al88Ce12,Al-Ce,1
215,Al87Ce13,Al-Ce,0
216,Al86Ce14,Al-Ce,0
217,Al85Ce15,Al-Ce,0
218,Al84Ce16,Al-Ce,0
219,Al83Ce17,Al-Ce,0
220,Al82Ce18,Al-Ce,0
221,Al81Ce19,Al-Ce,0
222,Al80Ce20,Al-Ce,0
223,Al79Ce21,Al-Ce,0
224,Al78Ce22,Al-Ce,0
225,Al77Ce23,Al-Ce,0
226,Al76Ce24,Al-Ce,0
227,Al75Ce25,Al-Ce,0
228,Al74Ce26,Al-Ce,0
229,Al73Ce27,Al-Ce,0
230,Al72Ce28,Al-Ce,0
231,Al71Ce29,Al-Ce,0
232,Al70Ce30,Al-Ce,0
233,Al69Ce31,Al-Ce,0
234,Al68Ce32,Al-Ce,0
235,Al67Ce33,Al-Ce,0
236,Al66Ce34,Al-Ce,0
237,Al65Ce35,Al-Ce,0
238,Al64Ce36,Al-Ce,0
239,Al63Ce37,Al-Ce,0
240,Al62Ce38,Al-Ce,0
241,Al61Ce39,Al-Ce,0
242,Al60Ce40,Al-Ce,0
243,Al59Ce41,Al-Ce,0
244,Al58Ce42,Al-Ce,0
245,Al57Ce43,Al-Ce,0
246,Al56Ce44,Al-Ce,0
247,Al55Ce45,Al-Ce,0
248,Al54Ce46,Al-Ce,0
249,Al53Ce47,Al-Ce,0
250,Al52Ce48,Al-Ce,0
251,Al51Ce49,Al-Ce,0
252,Al50Ce50,Al-Ce,0
253,Al49Ce51,Al-Ce,0
254,Al48Ce52,Al-Ce,0
255,Al47Ce53,Al-Ce,0
256,Al46Ce54,Al-Ce,0
257,Al45Ce55,Al-Ce,0
258,Al44Ce56,Al-Ce,0
259,Al43Ce57,Al-Ce,0
260,Al42Ce58,Al-Ce,0
261,Al41Ce59,Al-Ce,0
262,Al40Ce60,Al-Ce,0
263,Al39Ce61,Al-Ce,0
264,Al38Ce62,Al-Ce,0
265,Al37Ce63,Al-Ce,0
266,Al36Ce64,Al-Ce,0
267,Al35Ce65,Al-Ce,0
268,Al34Ce66,Al-Ce,0
269,Al33Ce67,Al-Ce,0
270,Al32Ce68,Al-Ce,0
271,Al31Ce69,Al-Ce,0
272,Al30Ce70,Al-Ce,0
273,Al29Ce71,Al-Ce,0
274,Al28Ce72,Al-Ce,0
275,Al27Ce73,Al-Ce,0
276,Al26Ce74,Al-Ce,0
277,Al25Ce75,Al-Ce,0
278,Al24Ce76,Al-Ce,0
279,Al23Ce77,Al-Ce,0
280,Al22Ce78,Al-Ce,0
281,Al21Ce79,Al-Ce,0
282,Al20Ce80,Al-Ce,0
283,Al19Ce81,Al-Ce,0
284,Al18Ce82,Al-Ce,0
285,Al17Ce83,Al-Ce,0
286,Al16Ce84,Al-Ce,0
287,Al15Ce85,Al-Ce,0
288,Al14Ce86,Al-Ce,0
289,Al13Ce87,Al-Ce,0
290,Al12Ce88,Al-Ce,0
291,Al11Ce89,Al-Ce,0
292,Al10Ce90,Al-Ce,0
293,Al9Ce91,Al-Ce,0
294,Al8Ce92,Al-Ce,0
295,Al7Ce93,Al-Ce,0
296,Al6Ce94,Al-Ce,0
297,Al5Ce95,Al-Ce,0
298,Al4Ce96,Al-Ce,0
299,Al3Ce97,Al-Ce,0
300,Al2Ce98,Al-Ce,0
301,Al1Ce99,Al-Ce,0
302,Al0Ce100,Al-Ce,0
303,Al100Dy0,Al-Dy,0
304,Al99Dy1,Al-Dy,0
305,Al98Dy2,Al-Dy,0
306,Al97Dy3,Al-Dy,0
307,Al96Dy4,Al-Dy,0
308,Al95Dy5,Al-Dy,0
309,Al94Dy6,Al-Dy,0
310,Al93Dy7,Al-Dy,0
311,Al92Dy8,Al-Dy,0
312,Al91Dy9,Al-Dy,1
313,Al90Dy10,Al-Dy,1
314,Al89Dy11,Al-Dy,1
315,Al88Dy12,Al-Dy,1
316,Al87Dy13,Al-Dy,0
317,Al86Dy14,Al-Dy,0
318,Al85Dy15,Al-Dy,0
319,Al84Dy16,Al-Dy,0
320,Al83Dy17,Al-Dy,0
321,Al82Dy18,Al-Dy,0
322,Al81Dy19,Al-Dy,0
323,Al80Dy20,Al-Dy,0
324,Al79Dy21,Al-Dy,0
325,Al78Dy22,Al-Dy,0
326,Al77Dy23,Al-Dy,0
327,Al76Dy24,Al-Dy,0
328,Al75Dy25,Al-Dy,0
329,Al74Dy26,Al-Dy,0
330,Al73Dy27,Al-Dy,0
331,Al72Dy28,Al-Dy,0
332,Al71Dy29,Al-Dy,0
333,Al70Dy30,Al-Dy,0
334,Al69Dy31,Al-Dy,0
335,Al68Dy32,Al-Dy,0
336,Al67Dy33,Al-Dy,0
337,Al66Dy34,Al-Dy,0
338,Al65Dy35,Al-Dy,0
339,Al64Dy36,Al-Dy,0
340,Al63Dy37,Al-Dy,0
341,Al62Dy38,Al-Dy,0
342,Al61Dy39,Al-Dy,0
343,Al60Dy40,Al-Dy,0
344,Al59Dy41,Al-Dy,0
345,Al58Dy42,Al-Dy,0
346,Al57Dy43,Al-Dy,0
347,Al56Dy44,Al-Dy,0
348,Al55Dy45,Al-Dy,0
349,Al54Dy46,Al-Dy,0
350,Al53Dy47,Al-Dy,0
351,Al52Dy48,Al-Dy,0
352,Al51Dy49,Al-Dy,0
353,Al50Dy50,Al-Dy,0
354,Al49Dy51,Al-Dy,0
355,Al48Dy52,Al-Dy,0
356,Al47Dy53,Al-Dy,0
357,Al46Dy54,Al-Dy,0
358,Al45Dy55,Al-Dy,0
359,Al44Dy56,Al-Dy,0
360,Al43Dy57,Al-Dy,0
361,Al42Dy58,Al-Dy,0
362,Al41Dy59,Al-Dy,0
363,Al40Dy60,Al-Dy,0
364,Al39Dy61,Al-Dy,0
365,Al38Dy62,Al-Dy,0
366,Al37Dy63,Al-Dy,0
367,Al36Dy64,Al-Dy,0
368,Al35Dy65,Al-Dy,0
369,Al34Dy66,Al-Dy,0
370,Al33Dy67,Al-Dy,0
371,Al32Dy68,Al-Dy,0
372,Al31Dy69,Al-Dy,0
373,Al30Dy70,Al-Dy,0
374,Al29Dy71,Al-Dy,0
375,Al28Dy72,Al-Dy,0
376,Al27Dy73,Al-Dy,0
377,Al26Dy74,Al-Dy,0
378,Al25Dy75,Al-Dy,0
379,Al24Dy76,Al-Dy,0
380,Al23Dy77,Al-Dy,0
381,Al22Dy78,Al-Dy,0
382,Al21Dy79,Al-Dy,0
383,Al20Dy80,Al-Dy,0
384,Al19Dy81,Al-Dy,0
385,Al18Dy82,Al-Dy,0
386,Al17Dy83,Al-Dy,0
387,Al16Dy84,Al-Dy,0
388,Al15Dy85,Al-Dy,0
389,Al14Dy86,Al-Dy,0
390,Al13Dy87,Al-Dy,0
391,Al12Dy88,Al-Dy,0
392,Al11Dy89,Al-Dy,0
393,Al10Dy90,Al-Dy,0
394,Al9Dy91,Al-Dy,0
395,Al8Dy92,Al-Dy,0
396,Al7Dy93,Al-Dy,0
397,Al6Dy94,Al-Dy,0
398,Al5Dy95,Al-Dy,0
399,Al4Dy96,Al-Dy,0
400,Al3Dy97,Al-Dy,0
401,Al2Dy98,Al-Dy,0
402,Al1Dy99,Al-Dy,0
403,Al0Dy100,Al-Dy,0
404,Al100Er0,Al-Er,0
405,Al99Er1,Al-Er,0
406,Al98Er2,Al-Er,0
407,Al97Er3,Al-Er,0
408,Al96Er4,Al-Er,0
409,Al95Er5,Al-Er,0
410,Al94Er6,Al-Er,0
411,Al93Er7,Al-Er,0
412,Al92Er8,Al-Er,0
413,Al91Er9,Al-Er,1
414,Al90Er10,Al-Er,1
415,Al89Er11,Al-Er,1
416,Al88Er12,Al-Er,1
417,Al87Er13,Al-Er,0
418,Al86Er14,Al-Er,0
419,Al85Er15,Al-Er,0
420,Al84Er16,Al-Er,0
421,Al83Er17,Al-Er,0
422,Al82Er18,Al-Er,0
423,Al81Er19,Al-Er,0
424,Al80Er20,Al-Er,0
425,Al79Er21,Al-Er,0
426,Al78Er22,Al-Er,0
427,Al77Er23,Al-Er,0
428,Al76Er24,Al-Er,0
429,Al75Er25,Al-Er,0
430,Al74Er26,Al-Er,0
431,Al73Er27,Al-Er,0
432,Al72Er28,Al-Er,0
433,Al71Er29,Al-Er,0
434,Al70Er30,Al-Er,0
435,Al69Er31,Al-Er,0
436,Al68Er32,Al-Er,0
437,Al67Er33,Al-Er,0
438,Al66Er34,Al-Er,0
439,Al65Er35,Al-Er,0
440,Al64Er36,Al-Er,0
441,Al63Er37,Al-Er,0
442,Al62Er38,Al-Er,0
443,Al61Er39,Al-Er,0
444,Al60Er40,Al-Er,0
445,Al59Er41,Al-Er,0
446,Al58Er42,Al-Er,0
447,Al57Er43,Al-Er,0
448,Al56Er44,Al-Er,0
449,Al55Er45,Al-Er,0
450,Al54Er46,Al-Er,0
451,Al53Er47,Al-Er,0
452,Al52Er48,Al-Er,0
453,Al51Er49,Al-Er,0
454,Al50Er50,Al-Er,0
455,Al49Er51,Al-Er,0
456,Al48Er52,Al-Er,0
457,Al47Er53,Al-Er,0
458,Al46Er54,Al-Er,0
459,Al45Er55,Al-Er,0
460,Al44Er56,Al-Er,0
461,Al43Er57,Al-Er,0
462,Al42Er58,Al-Er,0
463,Al41Er59,Al-Er,0
464,Al40Er60,Al-Er,0
465,Al39Er61,Al-Er,0
466,Al38Er62,Al-Er,0
467,Al37Er63,Al-Er,0
468,Al36Er64,Al-Er,0
469,Al35Er65,Al-Er,0
470,Al34Er66,Al-Er,0
471,Al33Er67,Al-Er,0
472,Al32Er68,Al-Er,0
473,Al31Er69,Al-Er,0
474,Al30Er70,Al-Er,0
475,Al29Er71,Al-Er,0
476,Al28Er72,Al-Er,0
477,Al27Er73,Al-Er,0
478,Al26Er74,Al-Er,0
479,Al25Er75,Al-Er,0
480,Al24Er76,Al-Er,0
481,Al23Er77,Al-Er,0
482,Al22Er78,Al-Er,0
483,Al21Er79,Al-Er,0
484,Al20Er80,Al-Er,0
485,Al19Er81,Al-Er,0
486,Al18Er82,Al-Er,0
487,Al17Er83,Al-Er,0
488,Al16Er84,Al-Er,0
489,Al15Er85,Al-Er,0
490,Al14Er86,Al-Er,0
491,Al13Er87,Al-Er,0
492,Al12Er88,Al-Er,0
493,Al11Er89,Al-Er,0
494,Al10Er90,Al-Er,0
495,Al9Er91,Al-Er,0
496,Al8Er92,Al-Er,0
497,Al7Er93,Al-Er,0
498,Al6Er94,Al-Er,0
499,Al5Er95,Al-Er,0
500,Al4Er96,Al-Er,0
501,Al3Er97,Al-Er,0
502,Al2Er98,Al-Er,0
503,Al1Er99,Al-Er,0
504,Al0Er100,Al-Er,0
505,Al100Gd0,Al-Gd,0
506,Al99Gd1,Al-Gd,0
507,Al98Gd2,Al-Gd,0
508,Al97Gd3,Al-Gd,0
509,Al96Gd4,Al-Gd,0
510,Al95Gd5,Al-Gd,0
511,Al94Gd6,Al-Gd,0
512,Al93Gd7,Al-Gd,0
513,Al92Gd8,Al-Gd,1
514,Al91Gd9,Al-Gd,1
515,Al90Gd10,Al-Gd,1
516,Al89Gd11,Al-Gd,1
517,Al88Gd12,Al-Gd,1
518,Al87Gd13,Al-Gd,0
519,Al86Gd14,Al-Gd,0
520,Al85Gd15,Al-Gd,0
521,Al84Gd16,Al-Gd,0
522,Al83Gd17,Al-Gd,0
523,Al82Gd18,Al-Gd,0
524,Al81Gd19,Al-Gd,0
525,Al80Gd20,Al-Gd,0
526,Al79Gd21,Al-Gd,0
527,Al78Gd22,Al-Gd,0
528,Al77Gd23,Al-Gd,0
529,Al76Gd24,Al-Gd,0
530,Al75Gd25,Al-Gd,0
531,Al74Gd26,Al-Gd,0
532,Al73Gd27,Al-Gd,0
533,Al72Gd28,Al-Gd,0
534,Al71Gd29,Al-Gd,0
535,Al70Gd30,Al-Gd,0
536,Al69Gd31,Al-Gd,0
537,Al68Gd32,Al-Gd,0
538,Al67Gd33,Al-Gd,0
539,Al66Gd34,Al-Gd,0
540,Al65Gd35,Al-Gd,0
541,Al64Gd36,Al-Gd,0
542,Al63Gd37,Al-Gd,0
543,Al62Gd38,Al-Gd,0
544,Al61Gd39,Al-Gd,0
545,Al60Gd40,Al-Gd,0
546,Al59Gd41,Al-Gd,0
547,Al58Gd42,Al-Gd,0
548,Al57Gd43,Al-Gd,0
549,Al56Gd44,Al-Gd,0
550,Al55Gd45,Al-Gd,0
551,Al54Gd46,Al-Gd,0
552,Al53Gd47,Al-Gd,0
553,Al52Gd48,Al-Gd,0
554,Al51Gd49,Al-Gd,0
555,Al50Gd50,Al-Gd,0
556,Al49Gd51,Al-Gd,0
557,Al48Gd52,Al-Gd,0
558,Al47Gd53,Al-Gd,0
559,Al46Gd54,Al-Gd,0
560,Al45Gd55,Al-Gd,0
561,Al44Gd56,Al-Gd,0
562,Al43Gd57,Al-Gd,0
563,Al42Gd58,Al-Gd,0
564,Al41Gd59,Al-Gd,0
565,Al40Gd60,Al-Gd,0
566,Al39Gd61,Al-Gd,0
567,Al38Gd62,Al-Gd,0
568,Al37Gd63,Al-Gd,0
569,Al36Gd64,Al-Gd,0
570,Al35Gd65,Al-Gd,0
571,Al34Gd66,Al-Gd,0
572,Al33Gd67,Al-Gd,0
573,Al32Gd68,Al-Gd,0
574,Al31Gd69,Al-Gd,0
575,Al30Gd70,Al-Gd,0
576,Al29Gd71,Al-Gd,0
577,Al28Gd72,Al-Gd,0
578,Al27Gd73,Al-Gd,0
579,Al26Gd74,Al-Gd,0
580,Al25Gd75,Al-Gd,0
581,Al24Gd76,Al-Gd,0
582,Al23Gd77,Al-Gd,0
583,Al22Gd78,Al-Gd,0
584,Al21Gd79,Al-Gd,0
585,Al20Gd80,Al-Gd,0
586,Al19Gd81,Al-Gd,0
587,Al18Gd82,Al-Gd,0
588,Al17Gd83,Al-Gd,0
589,Al16Gd84,Al-Gd,0
590,Al15Gd85,Al-Gd,0
591,Al14Gd86,Al-Gd,0
592,Al13Gd87,Al-Gd,0
593,Al12Gd88,Al-Gd,0
594,Al11Gd89,Al-Gd,0
595,Al10Gd90,Al-Gd,0
596,Al9Gd91,Al-Gd,0
597,Al8Gd92,Al-Gd,0
598,Al7Gd93,Al-Gd,0
599,Al6Gd94,Al-Gd,0
600,Al5Gd95,Al-Gd,0
601,Al4Gd96,Al-Gd,0
602,Al3Gd97,Al-Gd,0
603,Al2Gd98,Al-Gd,0
604,Al1Gd99,Al-Gd,0
605,Al0Gd100,Al-Gd,0
606,Al100Ho0,Al-Ho,0
607,Al99Ho1,Al-Ho,0
608,Al98Ho2,Al-Ho,0
609,Al97Ho3,Al-Ho,0
610,Al96Ho4,Al-Ho,0
611,Al95Ho5,Al-Ho,0
612,Al94Ho6,Al-Ho,0
613,Al93Ho7,Al-Ho,0
614,Al92Ho8,Al-Ho,0
615,Al91Ho9,Al-Ho,1
616,Al90Ho10,Al-Ho,1
617,Al89Ho11,Al-Ho,1
618,Al88Ho12,Al-Ho,1
619,Al87Ho13,Al-Ho,0
620,Al86Ho14,Al-Ho,0
621,Al85Ho15,Al-Ho,0
622,Al84Ho16,Al-Ho,0
623,Al83Ho17,Al-Ho,0
624,Al82Ho18,Al-Ho,0
625,Al81Ho19,Al-Ho,0
626,Al80Ho20,Al-Ho,0
627,Al79Ho21,Al-Ho,0
628,Al78Ho22,Al-Ho,0
629,Al77Ho23,Al-Ho,0
630,Al76Ho24,Al-Ho,0
631,Al75Ho25,Al-Ho,0
632,Al74Ho26,Al-Ho,0
633,Al73Ho27,Al-Ho,0
634,Al72Ho28,Al-Ho,0
635,Al71Ho29,Al-Ho,0
636,Al70Ho30,Al-Ho,0
637,Al69Ho31,Al-Ho,0
638,Al68Ho32,Al-Ho,0
639,Al67Ho33,Al-Ho,0
640,Al66Ho34,Al-Ho,0
641,Al65Ho35,Al-Ho,0
642,Al64Ho36,Al-Ho,0
643,Al63Ho37,Al-Ho,0
644,Al62Ho38,Al-Ho,0
645,Al61Ho39,Al-Ho,0
646,Al60Ho40,Al-Ho,0
647,Al59Ho41,Al-Ho,0
648,Al58Ho42,Al-Ho,0
649,Al57Ho43,Al-Ho,0
650,Al56Ho44,Al-Ho,0
651,Al55Ho45,Al-Ho,0
652,Al54Ho46,Al-Ho,0
653,Al53Ho47,Al-Ho,0
654,Al52Ho48,Al-Ho,0
655,Al51Ho49,Al-Ho,0
656,Al50Ho50,Al-Ho,0
657,Al49Ho51,Al-Ho,0
658,Al48Ho52,Al-Ho,0
659,Al47Ho53,Al-Ho,0
660,Al46Ho54,Al-Ho,0
661,Al45Ho55,Al-Ho,0
662,Al44Ho56,Al-Ho,0
663,Al43Ho57,Al-Ho,0
664,Al42Ho58,Al-Ho,0
665,Al41Ho59,Al-Ho,0
666,Al40Ho60,Al-Ho,0
667,Al39Ho61,Al-Ho,0
668,Al38Ho62,Al-Ho,0
669,Al37Ho63,Al-Ho,0
670,Al36Ho64,Al-Ho,0
671,Al35Ho65,Al-Ho,0
672,Al34Ho66,Al-Ho,0
673,Al33Ho67,Al-Ho,0
674,Al32Ho68,Al-Ho,0
675,Al31Ho69,Al-Ho,0
676,Al30Ho70,Al-Ho,0
677,Al29Ho71,Al-Ho,0
678,Al28Ho72,Al-Ho,0
679,Al27Ho73,Al-Ho,0
680,Al26Ho74,Al-Ho,0
681,Al25Ho75,Al-Ho,0
682,Al24Ho76,Al-Ho,0
683,Al23Ho77,Al-Ho,0
684,Al22Ho78,Al-Ho,0
685,Al21Ho79,Al-Ho,0
686,Al20Ho80,Al-Ho,0
687,Al19Ho81,Al-Ho,0
688,Al18Ho82,Al-Ho,0
689,Al17Ho83,Al-Ho,0
690,Al16Ho84,Al-Ho,0
691,Al15Ho85,Al-Ho,0
692,Al14Ho86,Al-Ho,0
693,Al13Ho87,Al-Ho,0
694,Al12Ho88,Al-Ho,0
695,Al11Ho89,Al-Ho,0
696,Al10Ho90,Al-Ho,0
697,Al9Ho91,Al-Ho,0
698,Al8Ho92,Al-Ho,0
699,Al7Ho93,Al-Ho,0
700,Al6Ho94,Al-Ho,0
701,Al5Ho95,Al-Ho,0
702,Al4Ho96,Al-Ho,0
703,Al3Ho97,Al-Ho,0
704,Al2Ho98,Al-Ho,0
705,Al1Ho99,Al-Ho,0
706,Al0Ho100,Al-Ho,0
707,Al100La0,Al-La,0
708,Al99La1,Al-La,0
709,Al98La2,Al-La,0
710,Al97La3,Al-La,0
711,Al96La4,Al-La,0
712,Al95La5,Al-La,0
713,Al94La6,Al-La,0
714,Al93La7,Al-La,1
715,Al92La8,Al-La,1
716,Al91La9,Al-La,1
717,Al90La10,Al-La,1
718,Al89La11,Al-La,1
719,Al88La12,Al-La,1
720,Al87La13,Al-La,1
721,Al86La14,Al-La,1
722,Al85La15,Al-La,0
723,Al84La16,Al-La,0
724,Al83La17,Al-La,0
725,Al82La18,Al-La,0
726,Al81La19,Al-La,0
727,Al80La20,Al-La,0
728,Al79La21,Al-La,0
729,Al78La22,Al-La,0
730,Al77La23,Al-La,0
731,Al76La24,Al-La,0
732,Al75La25,Al-La,0
733,Al74La26,Al-La,0
734,Al73La27,Al-La,0
735,Al72La28,Al-La,0
736,Al71La29,Al-La,0
737,Al70La30,Al-La,0
738,Al69La31,Al-La,0
739,Al68La32,Al-La,0
740,Al67La33,Al-La,0
741,Al66La34,Al-La,0
742,Al65La35,Al-La,0
743,Al64La36,Al-La,0
744,Al63La37,Al-La,0
745,Al62La38,Al-La,0
746,Al61La39,Al-La,0
747,Al60La40,Al-La,0
748,Al59La41,Al-La,0
749,Al58La42,Al-La,0
750,Al57La43,Al-La,0
751,Al56La44,Al-La,0
752,Al55La45,Al-La,0
753,Al54La46,Al-La,0
754,Al53La47,Al-La,0
755,Al52La48,Al-La,0
