formula,phase,gfa
Ag21Cu42Fe37,AC,0
Ag22Cu41Fe37,AC,0
Ag26Cu44Fe30,AC,0
Ag29Cu31Fe40,AC,0
Ag31Cu37Fe32,AC,0
Ag36Cu30Fe34,AC,0
Ag40Cu12Fe48,AC,0
Ag40Cu40Fe20,AC,0
Ag40Cu47Fe13,AC,0
Ag0Cu32Fe68,CR,0
Ag0Cu54Fe46,CR,0
Ag0Cu63Fe37,CR,0
Ag0Cu70Fe30,CR,0
Ag0Cu71Fe29,CR,0
Ag0Cu76Fe24,CR,0
Ag0Cu90Fe10,CR,0
Ag11Cu38Fe51,CR,0
Ag13Cu32Fe55,CR,0
Ag15Cu49Fe36,CR,0
Ag15Cu83Fe2,CR,0
Ag17Cu20Fe63,CR,0
Ag17Cu41Fe42,CR,0
Ag22Cu51Fe27,CR,0
Ag23Cu10Fe67,CR,0
Ag24Cu31Fe45,CR,0
Ag25Cu25Fe50,CR,0
Ag26Cu23Fe51,CR,0
Ag27Cu31Fe42,CR,0
Ag27Cu73Fe0,CR,0
Ag28Cu45Fe27,CR,0
Ag31Cu49Fe20,CR,0
Ag31Cu55Fe14,CR,0
Ag32Cu66Fe2,CR,0
Ag37Cu6Fe57,CR,0
Ag42Cu0Fe58,CR,0
Ag48Cu0Fe52,CR,0
Ag48Cu52Fe0,CR,0
Ag49Cu29Fe22,CR,0
Ag50Cu0Fe50,CR,0
Ag51Cu13Fe36,CR,0
Ag52Cu0Fe48,CR,0
Ag55Cu0Fe45,CR,0
Ag58Cu32Fe10,CR,0
Ag61Cu0Fe39,CR,0
Ag62Cu30Fe8,CR,0
Ag63Cu0Fe37,CR,0
Ag63Cu8Fe29,CR,0
Ag67Cu0Fe33,CR,0
Ag70Cu0Fe30,CR,0
Ag84Cu0Fe16,CR,0
Ag31Cu31Fe38,AM,1
Ag37.5Cu37.5Ge25,AM,1
Ag38.75Cu38.75Ge22.5,AM,1
Ag40Cu40Ge20,AM,1
Ag25Cu25Ge50,AM,1
Ag40Cu40Ge20,AM,1
Ag50Cu50Ge0,AM,1
Ag5Cu5Ge90,AM,1
Ag10Cu10Ge80,AM,1
Ag15Cu15Ge70,AM,1
Ag20Cu20Ge60,AM,1
Ag25Cu25Ge50,AM,1
Ag30Cu30Ge40,AM,1
Ag35Cu35Ge30,AM,1
Ag40Cu40Ge20,AM,1
Ag42.5Cu42.5Ge15,AM,1
Ag45Cu45Ge10,AM,1
Ag47.5Cu47.5Ge5,AM,1
Ag50Cu50Ge0,AM,1
Ag35Cu35Mg30,AM,1
Ag7.1Cu85.2P7.7,AM,1
Ag7.5Cu85.5P7,AM,1
Ag8.9Cu83.5P7.6,AM,1
Ag9Cu82.8P8.2,AM,1
Ag9Cu84P7,AM,1
Ag10.5Cu81.5P8,AM,1
Ag10.5Cu81.9P7.6,AM,1
Ag10.5Cu82.5P7,AM,1
Ag12.2Cu80.3P7.5,AM,1
Ag12.2Cu80.8P7,AM,1
Ag7Cu84.5P8.5,AC,0
Ag7.5Cu86P6.5,AC,0
Ag9Cu84.5P6.5,AC,0
Ag10.5Cu80.5P9,AC,0
Ag12.2Cu81.5P6.3,AC,0
Ag14Cu78.5P7.5,AC,0
Ag5.5Cu87P7.5,CR,0
Ag9Cu82.5P8.5,CR,0
Ag9Cu85P6,CR,0
Ag0Mg84Y16,AM,1
Ag5Mg80Y15,AM,1
Ag10Mg60Y30,AM,1
Ag10Mg70Y20,AM,1
Ag10Mg80Y10,AM,1
Ag15Mg80Y5,AM,1
Ag20Mg30Y50,AM,1
Ag20Mg40Y40,AM,1
Ag20Mg50Y30,AM,1
Ag20Mg60Y20,AM,1
Ag20Mg70Y10,AM,1
Ag25Mg60Y15,AM,1
Ag25Mg65Y10,AM,1
Ag25Mg70Y5,AM,1
Ag30Mg30Y40,AM,1
Ag30Mg40Y30,AM,1
Ag30Mg50Y20,AM,1
Ag30Mg55Y15,AM,1
Ag30Mg60Y10,AM,1
Ag40Mg30Y30,AM,1
Ag40Mg40Y20,AM,1
Ag40Mg50Y10,AM,1
Ag50Mg30Y20,AM,1
Ag0Mg80Y20,AC,0
Ag0Mg87.5Y12.5,AC,0
Ag5Mg85Y10,AC,0
Ag10Mg50Y40,AC,0
Ag10Mg85Y5,AC,0
Ag20Mg20Y60,AC,0
Ag50Mg20Y30,AC,0
Ag60Mg20Y20,AC,0
Ag0Mg75Y25,CR,0
Ag0Mg90Y10,CR,0
Ag0Mg95Y5,CR,0
Ag5Mg90Y5,CR,0
Ag30Mg20Y50,CR,0
Ag40Mg20Y40,CR,0
Ag50Mg40Y10,CR,0
Ag0Pd79Si21,AM,1
Ag0Pd80Si20,AM,1
Ag0Pd82Si18,AM,1
Ag0Pd84Si16,AM,1
Ag0Pd85Si15,AM,1
Ag4.5Pd75.5Si20,AM,1
Ag4.5Pd79Si16.5,AM,1
Ag5Pd77Si18,AM,1
Ag5Pd79Si16,AM,1
Ag5.5Pd78Si16.5,AM,1
Ag8.5Pd75Si16.5,AM,1
Ag4Pd79.5Si16.5,AM,1
Ag1.7Pd81.8Si16.5,AM,1
Ag4.2Pd79.3Si16.5,AM,1
Ag6.7Pd76.8Si16.5,AM,1
Ag10Pd73.5Si16.5,AM,1
Ag12.5Pd71Si16.5,AM,1
Ag15Pd68.5Si16.5,AM,1
Ag20.9Pd62.6Si16.5,CR,0
Ag4.5Pd75.5Si20,AM,1
Ag6Pd77.5Si16.5,AM,1
Al25Au20La55,AM,1
Al0B18Co82,AM,1
Al0B22Co78,AM,1
Al0B26Co74,AM,1
Al0B30Co70,AM,1
Al0B36Co64,AM,1
Al0B38Co62,AM,1
Al0B40Co60,AM,1
Al4B18Co78,AM,1
Al4B22Co74,AM,1
Al4B26Co70,AM,1
Al4B30Co66,AM,1
Al4B34Co62,AM,1
Al8B18Co74,AM,1
Al8B22Co70,AM,1
Al8B26Co66,AM,1
Al8B30Co62,AM,1
Al8B34Co58,AM,1
Al12B18Co70,AM,1
Al12B22Co66,AM,1
Al12B26Co62,AM,1
Al12B30Co58,AM,1
Al12B34Co54,AM,1
Al12B38Co50,AM,1
Al16B14Co70,AM,1
Al16B18Co66,AM,1
Al16B22Co62,AM,1
Al16B26Co58,AM,1
Al16B30Co54,AM,1
Al16B34Co50,AM,1
Al20B26Co54,AM,1
Al20B30Co50,AM,1
Al20B34Co46,AM,1
Al20B38Co42,AM,1
Al24B26Co50,AM,1
Al24B34Co42,AM,1
Al24B40Co36,AM,1
Al8B14Co78,AC,0
Al12B14Co74,AC,0
Al20B18Co62,AC,0
Al20B22Co58,AC,0
Al4B10Co86,CR,0
Al4B14Co82,CR,0
Al8B10Co82,CR,0
Al12B6Co82,CR,0
Al12B10Co78,CR,0
Al16B10Co74,CR,0
Al20B10Co70,CR,0
Al20B14Co66,CR,0
Al24B22Co54,CR,0
Al0B13Fe87,AM,1
Al0B18Fe82,AM,1
Al0B22Fe78,AM,1
Al4B14Fe82,AM,1
Al4B18Fe78,AM,1
Al4B22Fe74,AM,1
Al8B14Fe78,AM,1
Al8B18Fe74,AM,1
Al8B22Fe70,AM,1
Al12B14Fe74,AM,1
Al12B22Fe66,AM,1
Al16B14Fe70,AM,1
Al16B18Fe66,AM,1
Al16B22Fe62,AM,1
Al16B26Fe58,AM,1
Al20B14Fe66,AM,1
Al20B18Fe62,AM,1
Al20B26Fe54,AM,1
Al20B30Fe50,AM,1
Al20B34Fe46,AM,1
Al4B10Fe86,CR,0
Al8B10Fe82,CR,0
Al12B6Fe82,CR,0
Al12B10Fe78,CR,0
Al16B10Fe74,CR,0
Al0B18Ni82,AM,1
Al0B30Ni70,AM,1
Al0B34Ni66,AM,1
Al0B38Ni62,AM,1
Al0B40Ni60,AM,1
Al0B42Ni58,AM,1
Al4B18Ni78,AM,1
Al4B22Ni74,AM,1
Al4B26Ni70,AM,1
Al4B30Ni66,AM,1
Al4B34Ni62,AM,1
Al4B38Ni58,AM,1
Al4B42Ni54,AM,1
Al8B18Ni74,AM,1
Al8B22Ni70,AM,1
Al8B26Ni66,AM,1
Al8B30Ni62,AM,1
Al8B34Ni58,AM,1
Al8B38Ni54,AM,1
Al8B42Ni50,AM,1
Al12B18Ni70,AM,1
Al12B22Ni66,AM,1
Al12B26Ni62,AM,1
Al12B30Ni58,AM,1
Al12B34Ni54,AM,1
Al16B18Ni66,AM,1
Al16B22Ni62,AM,1
Al16B26Ni58,AM,1
Al16B30Ni54,AM,1
Al16B34Ni50,AM,1
Al16B38Ni46,AM,1
Al20B18Ni62,AM,1
Al20B22Ni58,AM,1
Al20B26Ni54,AM,1
Al20B30Ni50,AM,1
Al20B34Ni46,AM,1
Al20B40Ni40,AM,1
Al24B26Ni50,AM,1
Al12B14Ni74,AC,0
Al24B14Ni62,AC,0
Al24B18Ni58,AC,0
Al24B22Ni54,AC,0
Al28B22Ni50,AC,0
Al0B22Ni78,CR,0
Al0B26Ni74,CR,0
Al16B14Ni70,CR,0
Al20B14Ni66,CR,0
Al28B30Ni42,CR,0
Al2.5Be35Ti62.5,AM,1
Al5Be30Ti65,AM,1
Al85Ca10Co5,AM,1
Al89Ca11Co0,AM,1
Al90Ca10Co0,AM,1
Al91Ca9Co0,AM,1
Al85Ca10Cu5,AM,1
Al89Ca11Cu0,AM,1
Al90Ca10Cu0,AM,1
Al91Ca9Cu0,AM,1
Al87.5Ca7.5Fe5,AM,1
Al90Ca7.5Fe2.5,AM,1
Al85Ca10Fe5,AC,0
Al87.5Ca10Fe2.5,AC,0
Al90Ca10Fe0,AC,0
Al92.5Ca2.5Fe5,CR,0
Al92.5Ca7.5Fe0,CR,0
Al90Ca5Fe5,OT,0
Al85Ca10Fe5,AM,1
Al89Ca11Fe0,AM,1
Al90Ca10Fe0,AM,1
Al91Ca9Fe0,AM,1
Al10Ca60Ga30,AM,1
Al20Ca60Ga20,AM,1
Al30Ca60Ga10,AM,1
Al40Ca60Ga0,AM,1
Al15Ca70Mg15,AM,1
Al22.5Ca70Mg7.5,AM,1
Al30Ca70Mg0,AM,1
Al85Ca10Mg5,AM,1
Al89Ca11Mg0,AM,1
Al90Ca10Mg0,AM,1
Al91Ca9Mg0,AM,1
Al20Ca10Mg70,AM,1
Al85Ca10Ni5,AM,1
Al87.5Ca7.5Ni5,AM,1
Al90Ca7.5Ni2.5,AM,1
Al87.5Ca10Ni2.5,AC,0
Al90Ca10Ni0,AC,0
Al90Ca0Ni10,CR,0
Al92.5Ca2.5Ni5,CR,0
Al92.5Ca7.5Ni0,CR,0
Al80Ca10Ni10,OT,0
Al85Ca5Ni10,OT,0
Al87.5Ca2.5Ni10,OT,0
Al88.750Ca1.250Ni10,OT,0
Al90Ca5Ni5,OT,0
Al85Ca10Ni5,AM,1
Al89Ca11Ni0,AM,1
Al90Ca10Ni0,AM,1
Al91Ca9Ni0,AM,1
Al85Ca10Zn5,AM,1
Al89Ca11Zn0,AM,1
Al90Ca10Zn0,AM,1
Al91Ca9Zn0,AM,1
Al80Ce5Co15,AM,1
Al80Ce10Co10,AM,1
Al83Ce5Co12,AM,1
Al85Ce5Co10,AM,1
Al85Ce10Co5,AM,1
Al87Ce8Co5,AM,1
Al88Ce2Co10,AM,1
Al88Ce10Co2,AM,1
Al90Ce3Co7,AM,1
Al90Ce5Co5,AM,1
Al90Ce10Co0,AM,1
Al91Ce9Co0,AM,1
Al92Ce8Co0,AM,1
Al93Ce7Co0,AM,1
Al88Ce12Co0,AC,0
Al89Ce11Co0,AC,0
Al75Ce5Co20,CR,0
Al75Ce10Co15,CR,0
Al75Ce15Co10,CR,0
Al77Ce10Co13,CR,0
Al80Ce15Co5,CR,0
Al87Ce13Co0,CR,0
Al90Ce0Co10,CR,0
Al94Ce4Co2,CR,0
Al94Ce6Co0,CR,0
Al95Ce2Co3,CR,0
Al80Ce10Co10,AM,1
Al85Ce10Cr5,AM,1
Al87Ce10Cr3,AM,1
Al90Ce10Cr0,AM,1
Al91Ce9Cr0,AM,1
Al92Ce8Cr0,AM,1
Al93Ce7Cr0,AM,1
Al88Ce12Cr0,AC,0
Al89Ce8Cr3,AC,0
Al89Ce11Cr0,AC,0
Al80Ce10Cr10,CR,0
Al80Ce15Cr5,CR,0
Al83Ce10Cr7,CR,0
Al87Ce8Cr5,CR,0
Al87Ce13Cr0,CR,0
Al94Ce6Cr0,CR,0
Al93Ce2Cr5,OT,0
Al94Ce2Cr4,OT,0
Al75Ce10Cu15,AM,1
Al80Ce5Cu15,AM,1
Al80Ce10Cu10,AM,1
Al83Ce7Cu10,AM,1
Al85Ce5Cu10,AM,1
Al85Ce10Cu5,AM,1
Al87Ce8Cu5,AM,1
Al88Ce10Cu2,AM,1
Al90Ce10Cu0,AM,1
Al91Ce9Cu0,AM,1
Al92Ce8Cu0,AM,1
Al93Ce7Cu0,AM,1
Al88Ce5Cu7,AC,0
Al88Ce12Cu0,AC,0
Al89Ce11Cu0,AC,0
Al90Ce5Cu5,AC,0
Al70Ce10Cu20,CR,0
Al70Ce15Cu15,CR,0
Al75Ce5Cu20,CR,0
Al75Ce15Cu10,CR,0
Al80Ce15Cu5,CR,0
Al83Ce2Cu15,CR,0
Al87Ce13Cu0,CR,0
Al88Ce2Cu10,CR,0
Al94Ce6Cu0,CR,0
Al6Ce10Cu84,AM,1
Al8Ce8Cu84,AM,1
Al8Ce10Cu82,AM,1
Al10Ce8Cu82,AM,1
Al12Ce8Cu80,AM,1
Al2Ce8Cu90,AC,0
Al2Ce10Cu88,AC,0
Al4Ce8Cu88,AC,0
Al4Ce10Cu86,AC,0
Al6Ce6Cu88,AC,0
Al6Ce8Cu86,AC,0
Al8Ce6Cu86,AC,0
Al10Ce4Cu86,AC,0
Al10Ce6Cu84,AC,0
Al2Ce6Cu92,CR,0
Al4Ce4Cu92,CR,0
Al6Ce4Cu90,CR,0
Al10Ce2Cu88,CR,0
Al10Ce10Cu80,CR,0
Al12Ce6Cu82,CR,0
Al12Ce10Cu78,CR,0
Al14Ce6Cu80,CR,0
Al14Ce8Cu78,CR,0
Al14Ce10Cu76,CR,0
Al80Ce10Fe10,AM,1
Al80Ce10Fe10,AM,1
Al80Ce10Fe10,AM,1
Al80Ce10Fe10,AM,1
Al83Ce7Fe10,AM,1
Al85Ce5Fe10,AM,1
Al85Ce10Fe5,AM,1
Al87Ce8Fe5,AM,1
Al88Ce2Fe10,AM,1
Al88Ce10Fe2,AM,1
Al90Ce3Fe7,AM,1
Al90Ce10Fe0,AM,1
Al91Ce9Fe0,AM,1
Al92Ce8Fe0,AM,1
Al93Ce7Fe0,AM,1
Al75Ce15Fe10,AC,0
Al88Ce12Fe0,AC,0
Al89Ce11Fe0,AC,0
Al75Ce10Fe15,CR,0
Al80Ce15Fe5,CR,0
Al84Ce2Fe14,CR,0
Al87Ce13Fe0,CR,0
Al89Ce1Fe10,CR,0
Al94Ce2Fe4,CR,0
Al94Ce4Fe2,CR,0
Al94Ce6Fe0,CR,0
Al90Ce5Fe5,AM,1
Al94Ce2Fe4,OT,0
Al85Ce10Mn5,AM,1
Al86Ce10Mn4,AM,1
Al88Ce10Mn2,AM,1
Al90Ce10Mn0,AM,1
Al91Ce9Mn0,AM,1
Al92Ce8Mn0,AM,1
Al93Ce7Mn0,AM,1
Al83Ce10Mn7,AC,0
Al87Ce8Mn5,AC,0
Al88Ce12Mn0,AC,0
Al89Ce6Mn5,AC,0
Al89Ce11Mn0,AC,0
Al80Ce10Mn10,CR,0
Al85Ce5Mn10,CR,0
Al87Ce13Mn0,CR,0
Al88Ce2Mn10,CR,0
Al94Ce6Mn0,CR,0
Al93Ce2Mn5,OT,0
Al94Ce2Mn4,OT,0
Al80Ce10Nb10,AM,1
Al83Ce7Nb10,AM,1
Al85Ce10Nb5,AM,1
Al87Ce8Nb5,AM,1
Al88Ce10Nb2,AM,1
Al90Ce8Nb2,AM,1
Al90Ce10Nb0,AM,1
Al91Ce9Nb0,AM,1
Al92Ce6Nb2,AM,1
Al92Ce8Nb0,AM,1
Al93Ce7Nb0,AM,1
Al77Ce10Nb13,AC,0
Al88Ce12Nb0,AC,0
Al89Ce11Nb0,AC,0
Al75Ce15Nb10,CR,0
Al80Ce15Nb5,CR,0
Al85Ce5Nb10,CR,0
Al87Ce13Nb0,CR,0
Al90Ce5Nb5,CR,0
Al94Ce6Nb0,CR,0
Al60Ce10Ni30,AM,1
Al65Ce5Ni30,AM,1
Al70Ce10Ni20,AM,1
Al75Ce5Ni20,AM,1
Al80Ce10Ni10,AM,1
Al84Ce6Ni10,AM,1
Al85Ce5Ni10,AM,1
Al85Ce6Ni9,AM,1
Al85Ce10Ni5,AM,1
Al86Ce6Ni8,AM,1
Al87Ce6Ni7,AM,1
Al87Ce13Ni0,AM,1
Al88Ce2Ni10,AM,1
Al88Ce12Ni0,AM,1
Al89Ce11Ni0,AM,1
Al90Ce10Ni0,AM,1
Al90Ce10Ni0,AM,1
Al91Ce9Ni0,AM,1
Al91Ce9Ni0,AM,1
Al92Ce8Ni0,AM,1
Al93Ce7Ni0,AM,1
Al88Ce12Ni0,AC,0
Al89Ce11Ni0,AC,0
Al80Ce15Ni5,CR,0
Al87Ce13Ni0,CR,0
Al90Ce0Ni10,CR,0
Al94Ce6Ni0,CR,0
Al61Ce10Ni29,AM,1
Al65Ce15Ni20,AM,1
Al70Ce10Ni20,AM,1
Al70Ce15Ni15,AM,1
Al75Ce5Ni20,AM,1
Al75Ce10Ni15,AM,1
Al80Ce5Ni15,AM,1
Al80Ce10Ni10,AM,1
Al82Ce8Ni10,AM,1
Al85Ce5Ni10,AM,1
Al85Ce10Ni5,AM,1
Al86Ce4Ni10,AM,1
Al87Ce5Ni8,AM,1
Al89Ce10Ni1,AM,1
Al90Ce10Ni0,AM,1
Al93Ce7Ni0,AM,1
Al70Ce20Ni10,AC,0
Al90Ce5Ni5,AC,0
Al60Ce20Ni20,CR,0
Al80Ce15Ni5,CR,0
Al88Ce12Ni0,CR,0
Al95Ce5Ni0,CR,0
Al85Ce5Ni10,AM,1
Al86Ce6Ni8,AM,1
Al25Ce55Ni20,AM,1
Al84Ce6Ni10,AM,1
Al91Ce5Ni4,AM,1
Al88Ce10V2,AM,1
Al90Ce10V0,AM,1
Al91Ce9V0,AM,1
Al92Ce8V0,AM,1
Al93Ce7V0,AM,1
Al88Ce8V4,AC,0
Al88Ce12V0,AC,0
Al89Ce6V5,AC,0
Al89Ce11V0,AC,0
Al80Ce10V10,CR,0
Al85Ce10V5,CR,0
Al85Ce13V2,CR,0
Al87Ce13V0,CR,0
Al94Ce6V0,CR,0
Al94Ce2V4,OT,0
Al86Co12Fe2,AM,1
Al87Co11Fe2,AM,1
Al86Co14Fe0,AC,0
Al87Co9Fe4,AC,0
Al88Co2Fe10,AC,0
Al88Co4Fe8,AC,0
Al88Co6Fe6,AC,0
Al88Co8Fe4,AC,0
Al88Co10Fe2,AC,0
Al88Co12Fe0,AC,0
Al90Co0Fe10,AC,0
Al90Co2Fe8,AC,0
Al90Co4Fe6,AC,0
Al90Co6Fe4,AC,0
Al90Co8Fe2,AC,0
Al90Co10Fe0,AC,0
Al92Co0Fe8,AC,0
Al92Co2Fe6,AC,0
Al92Co4Fe4,AC,0
Al92Co6Fe2,AC,0
Al92Co8Fe0,AC,0
Al94Co0Fe6,AC,0
Al94Co2Fe4,AC,0
Al94Co4Fe2,AC,0
Al94Co6Fe0,AC,0
Al96Co0Fe4,CR,0
Al96Co2Fe2,CR,0
Al96Co4Fe0,CR,0
Al98Co0Fe2,CR,0
Al98Co2Fe0,CR,0
Al1Co0Fe0,CR,0
Al84Co12Fe4,OT,0
Al84Co14Fe2,OT,0
Al86Co4Fe10,OT,0
Al86Co6Fe8,OT,0
Al86Co8Fe6,OT,0
Al86Co10Fe4,OT,0
Al86Co12Fe2,OT,0
Al88Co0Fe12,OT,0
Al88Co2Fe10,OT,0
Al88Co4Fe8,OT,0
Al88Co6Fe6,OT,0
Al42Co10Ge48,AM,1
Al57Co18Ge25,AM,1
Al69Co6Ge25,AM,1
Al78Co10Ge12,AM,1
Al25Co20La55,AM,1
Al88Co8Mn4,AC,0
Al88Co10Mn2,AC,0
Al88Co12Mn0,AC,0
Al90Co6Mn4,AC,0
Al90Co8Mn2,AC,0
Al90Co10Mn0,AC,0
Al92Co4Mn4,AC,0
Al92Co6Mn2,AC,0
Al92Co8Mn0,AC,0
Al94Co4Mn2,AC,0
Al94Co6Mn0,AC,0
Al94Co0Mn6,CR,0
Al94Co2Mn4,CR,0
Al96Co0Mn4,CR,0
Al96Co2Mn2,CR,0
Al96Co4Mn0,CR,0
Al98Co0Mn2,CR,0
Al98Co2Mn0,CR,0
Al1Co0Mn0,CR,0
Al84Co12Mn4,OT,0
Al84Co14Mn2,OT,0
Al86Co8Mn6,OT,0
Al86Co10Mn4,OT,0
Al86Co12Mn2,OT,0
Al86Co14Mn0,OT,0
Al88Co6Mn6,OT,0
Al90Co2Mn8,OT,0
Al90Co4Mn6,OT,0
Al92Co0Mn8,OT,0
Al92Co2Mn6,OT,0
Al87Co1Ni12,AM,1
Al88Co4Ni8,AM,1
Al88Co5Ni7,AM,1
Al84Co8Ni8,AC,0
Al85Co1Ni14,AC,0
Al85Co5Ni10,AC,0
Al85Co10Ni5,AC,0
Al86Co0Ni14,AC,0
Al86Co1Ni13,AC,0
Al86Co2Ni12,AC,0
Al86Co3Ni11,AC,0
Al86Co5Ni9,AC,0
Al86Co14Ni0,AC,0
Al87Co3Ni10,AC,0
Al87Co4Ni9,AC,0
Al87Co5Ni8,AC,0
Al88Co0Ni12,AC,0
Al88Co1Ni11,AC,0
Al88Co2Ni10,AC,0
Al88Co3Ni9,AC,0
Al88Co6Ni6,AC,0
Al88Co7Ni5,AC,0
Al88Co8Ni4,AC,0
Al88Co9Ni3,AC,0
Al88Co10Ni2,AC,0
Al88Co11Ni1,AC,0
Al88Co12Ni0,AC,0
Al89Co1Ni10,AC,0
Al89Co2Ni9,AC,0
Al89Co3Ni8,AC,0
Al89Co4Ni7,AC,0
Al89Co5Ni6,AC,0
Al89Co6Ni5,AC,0
Al90Co0Ni10,AC,0
Al90Co2Ni8,AC,0
Al90Co4Ni6,AC,0
Al90Co5Ni5,AC,0
Al90Co6Ni4,AC,0
Al90Co8Ni2,AC,0
Al90Co10Ni0,AC,0
Al91Co1Ni8,AC,0
Al91Co2Ni7,AC,0
Al92Co0Ni8,AC,0
Al92Co2Ni6,AC,0
Al92Co4Ni4,AC,0
Al92Co6Ni2,AC,0
Al92Co8Ni0,AC,0
Al94Co6Ni0,AC,0
Al94Co0Ni6,CR,0
Al94Co2Ni4,CR,0
Al94Co4Ni2,CR,0
Al96Co0Ni4,CR,0
Al96Co2Ni2,CR,0
Al96Co4Ni0,CR,0
Al98Co0Ni2,CR,0
Al98Co2Ni0,CR,0
Al87Co1Ni12,AM,1
Al87Co2Ni11,AM,1
Al88Co4Ni8,AM,1
Al88Co5Ni7,AM,1
Al84Co8Ni8,AC,0
Al85Co1Ni14,AC,0
Al85Co5Ni10,AC,0
Al85Co10Ni5,AC,0
Al86Co0Ni14,AC,0
Al86Co1Ni13,AC,0
Al86Co2Ni12,AC,0
Al86Co3Ni11,AC,0
Al86Co5Ni9,AC,0
Al86Co14Ni0,AC,0
Al87Co3Ni10,AC,0
Al87Co4Ni9,AC,0
Al87Co5Ni8,AC,0
Al88Co0Ni12,AC,0
Al88Co1Ni11,AC,0
Al88Co2Ni10,AC,0
Al88Co3Ni9,AC,0
Al88Co6Ni6,AC,0
Al88Co7Ni5,AC,0
Al88Co8Ni4,AC,0
Al88Co9Ni3,AC,0
Al88Co10Ni2,AC,0
Al88Co11Ni1,AC,0
Al88Co12Ni0,AC,0
Al89Co1Ni10,AC,0
Al89Co2Ni9,AC,0
Al89Co3Ni8,AC,0
Al89Co4Ni7,AC,0
Al89Co5Ni6,AC,0
Al89Co6Ni5,AC,0
Al90Co0Ni10,AC,0
Al90Co2Ni8,AC,0
Al90Co4Ni6,AC,0
Al90Co5Ni5,AC,0
Al90Co6Ni4,AC,0
Al90Co8Ni2,AC,0
Al90Co10Ni0,AC,0
Al91Co1Ni8,AC,0
Al91Co2Ni7,AC,0
Al92Co0Ni8,AC,0
Al92Co2Ni6,AC,0
Al92Co4Ni4,AC,0
Al92Co6Ni2,AC,0
Al92Co8Ni0,AC,0
Al94Co6Ni0,AC,0
Al94Co0Ni6,CR,0
Al94Co2Ni4,CR,0
Al94Co4Ni2,CR,0
Al96Co0Ni4,CR,0
Al96Co2Ni2,CR,0
Al96Co4Ni0,CR,0
Al98Co0Ni2,CR,0
Al98Co2Ni0,CR,0
Al49Co10Si41,AM,1
Al52Co23Si25,AM,1
Al71Co4Si25,AM,1
Al75Co10Si15,AM,1
Al0Co90Zr10,AM,1
Al2Co88Zr10,AM,1
Al5Co85Zr10,AM,1
Al25Co20Zr55,AM,1
Al38Cr10Ge52,AM,1
Al61Cr10Ge29,AM,1
Al60Cr10Ge30,AM,1
Al65Cr20Ge15,QC,0
Al25Cr20La55,AM,1
Al52Cr10Si38,AM,1
Al58Cr17Si25,AM,1
Al68Cr10Si22,AM,1
Al71Cr4Si25,AM,1
Al50Cr15Si35,AM,1
Al55Cr10Si35,AM,1
Al55Cr15Si30,AM,1
Al60Cr10Si30,AM,1
Al60Cr15Si25,AM,1
Al65Cr10Si25,AM,1
Al59Cr19Si22,QC,0
Al60Cr18Si22,QC,0
Al60Cr20Si20,QC,0
Al61Cr21Si18,QC,0
Al62Cr19Si19,QC,0
Al63Cr19Si18,QC,0
Al84Cr16Si0,QC,0
