mpid,PF_n,PF_p,S_n,S_p,formula,m_n,m_p
mp-10288,1.14,0.786,-432.0,471.0,LaCuTeS,1.03,0.693
mp-768200,0.82,0.105,-436.0,723.0,Li2HoPCO7,0.673,44.7
mp-583454,0.693,0.461,-626.0,741.0,Nb2Bi2PbO9,105.0,260.0
mp-557025,0.712,0.0305,-418.0,744.0,K2SeO4,0.723,23.9
mp-761988,0.0146,0.108,-794.0,747.0,LiNiPO4,250.0,219.0
mp-768326,0.508,3.04e-05,-543.0,694.0,Na4Sn2C4SO16,1.67,41800.0
mp-28856,0.93,0.27,-484.0,635.0,Na7Au5S6,0.83,2.79
mp-13680,0.906,0.0564,-401.0,783.0,BaBOF3,0.501,10.4
mp-774910,0.8119999999999999,0.114,-430.0,755.0,LiSb(TeO4)3,0.669,4.98
mp-772272,0.128,0.0901,-757.0,787.0,Li2Cr2O7,15.4,30.5
mp-583221,0.386,0.127,-605.0,679.0,Ba7B4Se13,3.23,9.96
mp-777480,0.598,0.251,-643.0,689.0,Li2Ti3MnO8,3.37,4.67
mp-771077,0.0572,0.411,-765.0,672.0,LiFeB2O5,43.5,4.77
mp-853142,0.994,0.999,248.0,249.0,Li4Co2OF7,2.13,2.12
mp-566393,0.28099999999999997,0.0421,-728.0,808.0,KVH6SO9,26.8,43.2
mp-559270,1.48,1.16,-686.0,558.0,RbBa4Sb3O,2.23,1.9
mp-704943,0.082,0.134,-774.0,695.0,Li2Mn3ZnO8,20.6,12.6
mp-783909,0.68,0.129,-348.0,612.0,Li2MnSiO4,0.503,7.73
mp-764288,0.0708,0.0322,-774.0,787.0,Li3MnF6,894.0,84.3
mp-8184,0.946,0.0872,-382.0,729.0,Li2ZnGeO4,0.434,6.05
mp-21511,1.16,0.147,-276.0,630.0,K2NaInP2,0.185,13.1
mp-761041,0.284,0.206,-707.0,726.0,TiP2O7,5.38,7.44
mp-3307,0.866,0.189,-417.0,785.0,BaSO4,0.566,2.59
mp-4734,0.882,0.0432,-412.0,746.0,NaPO3,0.543,46.4
mp-775804,0.931,0.544,-645.0,668.0,Li3SbS3,1.47,3.63
mp-695452,0.0502,0.0317,-579.0,675.0,K2Al11Si13(Ag3O16)3,20.1,3540.0
mp-720808,0.0121,0.0135,-742.0,684.0,H2Ru6(CO)17,225.0,295.0
mp-28584,1.06,0.0738,-334.0,685.0,Tl2CuI3,0.301,4.34
mp-773773,0.101,0.536,-701.0,566.0,Na5LiMn2P2(CO7)2,32.5,94.3
mp-7895,1.01,0.214,-509.0,644.0,RbO,0.753,3.61
mp-625112,0.49,0.161,-626.0,756.0,H8PtO6,5.66,10.9
mp-8202,0.0101,0.0219,-779.0,812.0,CsRb2PdF5,892.0,78.0
mp-868122,0.0485,0.273,-740.0,633.0,LiMnPO4,114.0,6.01
mp-697135,0.859,0.0545,-420.0,768.0,H2S,0.578,12.0
mp-541148,0.287,0.272,-708.0,695.0,KUVO6,2450.0,9.27
mp-28921,1.24,1.05,-330.0,350.0,Tl5Se2Br,0.252,0.39
mp-770936,0.846,0.383,-442.0,612.0,Ba2Sc2O5,0.662,22.0
mp-689927,1.18,0.137,-681.0,816.0,Na3DyTi2Nb2O12,1.36,9.58
mp-17891,0.878,0.13,-402.0,702.0,NaYSiO4,0.52,19.4
mp-707483,0.299,0.201,-792.0,744.0,TiP2H4O9,830.0,21.5
mp-23295,0.948,0.107,-389.0,801.0,RbCl,0.449,3.99
mp-28364,0.964,0.0458,-353.0,770.0,Rb2CdO2,0.367,8.78
mp-33690,0.912,0.339,-671.0,728.0,PrSO,4.12,4.34
mp-3297,0.861,0.142,-394.0,722.0,Li10Zn4O9,0.511,3.11
mp-17770,0.884,0.0242,-415.0,778.0,CsPr(PO3)4,0.55,82.2
mp-768154,0.841,0.0386,-423.0,779.0,Na3MgPCO7,0.601,17.3
mp-754971,0.946,0.0364,-384.0,747.0,Cs3TmO3,0.445,16.7
mp-762238,0.137,0.07339999999999999,-247.0,251.0,LiFe(CO3)2,23.9,12.5
mp-558910,0.0957,0.192,-715.0,720.0,Li2U3(PO5)4,663.0,16.2
mp-607806,0.897,0.835,-415.0,446.0,Ho3Se3N,0.598,0.865
mp-776387,0.784,1.07,-459.0,493.0,Ti2N2O,1.52,5.03
mp-557802,0.88,0.0196,-408.0,791.0,K2Be(Si2O5)2,0.533,26.6
mp-542846,0.705,0.907,-688.0,555.0,AsS,2.06,2.25
mp-771861,0.679,0.122,-382.0,634.0,LiNiSbO4,0.613,29.0
mp-9580,1.05,0.519,-363.0,534.0,TlGaSe2,0.392,2.33
mp-558981,0.899,0.0371,-406.0,738.0,SrBe2(BO3)2,0.518,18.9
mp-5163,0.479,0.712,-762.0,600.0,LaRhO3,10.7,2.73
mp-754933,1.73,1.58,-645.0,585.0,SmTlO2,14.2,0.914
mp-772876,0.912,0.168,-531.0,657.0,BaSr2I6,0.913,9.11
mp-31980,0.217,0.341,-678.0,610.0,LiMn(PO3)4,9.77,4.54
mp-24308,0.895,0.0252,-432.0,772.0,AlSiH9C3Cl2O,0.588,42.2
mp-758957,0.586,0.00521,-531.0,786.0,As2HPbF13,2.02,191.0
mp-707941,0.885,0.0051,-419.0,765.0,Na3H(SO4)2,0.559,325.0
mp-542904,0.0758,0.00356,-768.0,845.0,Mn2ZnH12(NO2)4,21.9,467.0
mp-556437,0.00357,1.15,-821.0,541.0,Gd10S14O,632.0,1.83
mp-768254,0.532,0.209,-413.0,570.0,Gd3AsO7,0.975,3.16
mp-560280,0.08,0.0824,-743.0,686.0,TeC6(ClF7)2,468.0,64.5
mp-754759,0.884,0.123,-405.0,834.0,Y2O3,0.533,3.8
mp-334,0.0391,0.402,-897.0,765.0,LaF3,82.1,16.0
mp-676319,0.781,0.506,-441.0,631.0,Dy2Zr2O7,0.709,1.3
mp-6426,0.935,0.0287,-385.0,858.0,Na2MgSiO4,0.446,97.5
mp-755323,0.959,0.369,-454.0,677.0,DyClO,0.613,1.74
mp-17562,0.116,0.206,-818.0,780.0,Sr3Sc(BO3)3,17.5,9.53
mp-24171,0.616,0.0934,-549.0,720.0,SrPH3O4,1.67,14.0
mp-773397,0.54,0.566,-640.0,562.0,GeWO4,2.53,2.19
mp-9488,0.953,0.456,-660.0,723.0,SmOF,51.4,168.0
mp-757793,0.305,0.117,-506.0,214.0,Li2Nb(PO4)2,4.5,8.02
mp-766861,1.31,1.32,96.2,96.3,LiVF4,0.318,0.318
mp-764256,0.734,0.103,-545.0,716.0,KLiMnPCO7,44.1,81.4
mp-553926,0.824,0.0657,-436.0,707.0,NaLiB4O7,0.655,11.1
mp-19365,0.524,0.394,-689.0,699.0,Ba3V2O8,2.59,4.04
mp-28400,1.08,0.494,-541.0,596.0,P3Ru,1.12,3.28
mp-758806,0.0481,0.4,-788.0,662.0,B5PH4Cl,37.8,6.61
mp-777804,0.0613,0.0849,-699.0,682.0,LiFeF4,51.8,22.7
mp-8355,0.958,0.172,-405.0,692.0,KAlSiO4,0.481,5.0
mp-23496,1.1,0.111,-364.0,659.0,CsAg2I3,0.342,3.37
mp-28857,0.915,0.21,-451.0,690.0,Pb(IO3)2,0.794,4.29
mp-561018,0.809,0.221,-425.0,599.0,Na3Sc2(BO3)3,0.63,2.72
mp-6486,0.901,0.267,-402.0,601.0,SrBPO5,0.506,5.45
mp-705456,0.169,0.589,-653.0,518.0,Li2FeP2HO8,30.2,310.0
mp-689973,0.173,0.493,-749.0,579.0,Li2Fe(PO4)2,15.8,4.18
mp-694722,0.0559,0.028,-779.0,776.0,Li2NiP2O7,56.6,78.1
mp-644203,1.39,0.561,-491.0,670.0,CsCaH3,0.487,1.21
mp-763970,4.07,4.04,-111.0,-114.0,V4O7F5,0.571,0.615
mp-2352,1.03,0.0531,-349.0,916.0,Na2O,0.333,6.47
mp-556075,0.791,0.218,-477.0,639.0,SrDy2O4,0.929,3.05
mp-674421,0.398,0.0311,-589.0,642.0,Tl8Cu4F11,3.5,78.9
mp-27362,0.504,0.207,-591.0,704.0,Nb(SCl)2,3.16,8.69
mp-769222,1.04,0.137,-328.0,725.0,Dy2Pb2O7,0.292,2.22
mp-25182,0.77,0.336,-539.0,659.0,Pb2WO5,1.36,37.2
mp-32425,0.601,0.265,-497.0,675.0,LiVPO4,1.18,48.8
mp-759866,0.659,0.19,-518.0,661.0,TeH3CCl3,1.65,4.27
mp-571061,0.207,0.237,-612.0,625.0,Nb3Se10Cl3,5.21,6.34
mp-756769,0.775,0.0409,-460.0,776.0,Na2TlPCO7,0.879,93.8
mp-15408,0.883,0.0618,-439.0,785.0,KGaF4,0.629,34.7
mp-754175,0.718,0.00905,-486.0,832.0,KGePCO7,1.22,252.0
mp-27303,0.684,0.591,-503.0,583.0,NaAg3O2,1.07,2.57
mp-781646,0.295,0.315,-706.0,773.0,Tb2TiO5,28.4,4.72
mp-556303,0.134,0.184,-640.0,619.0,CuBi2(SeO3)4,36.9,31.3
mp-560051,0.848,0.197,-482.0,683.0,RbSiBiS4,2.4,5.4
mp-38951,1.09,0.161,-317.0,703.0,Mg(GaO2)2,0.261,8.02
mp-27234,0.381,0.228,-544.0,522.0,Cu(IO3)2,2.62,4.87
mp-13840,0.88,0.0809,-404.0,788.0,Ho3ScO6,0.525,6.75
mp-677520,0.976,0.00914,-352.0,709.0,KBa6Zn4(GaO3)7,0.357,71.7
mp-565693,0.525,0.491,-554.0,676.0,TmMoClO4,1.75,100.0
mp-770862,0.113,0.168,-785.0,729.0,Li2Cr2O7,24.1,24.1
mp-625663,0.578,0.553,-705.0,636.0,ScHO2,2.52,2.58
mp-764491,0.435,0.429,-194.0,-190.0,LiFe2(BO3)2,0.408,0.412
mp-650727,0.0625,0.405,-895.0,858.0,Rb3NiF7,86.4,6.09
mp-752537,0.884,0.191,-427.0,672.0,Sr2HfO4,0.664,3.71
mp-757826,0.237,0.198,-763.0,785.0,CsCa(NO2)3,6.99,10.3
mp-8759,1.02,0.186,-524.0,753.0,Cs2ZrO3,0.886,8.35
mp-38035,0.805,0.185,-473.0,744.0,SrCO3,1.22,3.97
mp-766275,0.72,0.115,-681.0,733.0,Ca2Bi10O17,5.76,68.5
mp-605302,0.0303,0.00291,-669.0,711.0,DyH6C6Cl3(O3F2)3,54.2,823.0
mp-643397,1.07,0.393,-543.0,741.0,H8Pd(NCl3)2,0.773,2.12
mp-676023,0.469,0.11,-616.0,720.0,NaY3F10,2.5,17.9
mp-626506,0.923,0.129,-395.0,780.0,NaHO,0.478,206.0
mp-626225,0.489,0.0337,-595.0,803.0,Ca(H8O5)2,2.57,62.5
mp-8697,0.694,0.46,-649.0,757.0,ScBO3,1.71,2.92
mp-19034,0.214,0.414,-769.0,663.0,Mg3V2O8,11.3,4.41
mp-5639,0.993,0.0841,-371.0,858.0,Mg2SiO4,0.391,4.62
mp-559934,0.869,0.0899,-410.0,760.0,LiZnPO4,0.546,6.32
mp-531170,1.12,0.883,-470.0,443.0,Tl4SnSe3,1.36,0.757
mp-556834,0.312,0.118,-741.0,754.0,RuCl(OF3)2,82.4,42.1
mp-556112,0.132,0.15,-725.0,743.0,AuCS2Cl3,17.4,21.5
mp-773079,0.861,0.00189,-417.0,778.0,AlZnH16N(OF)6,0.569,512.0
mp-28439,0.433,0.0951,-652.0,890.0,KSc2F7,4.87,382.0
mp-559575,0.367,0.227,-633.0,661.0,AsSe(IF2)3,4.22,6.76
mp-23909,0.386,0.107,-676.0,772.0,H6CN3ClO,3.49,12.7
mp-761869,0.626,0.0588,-497.0,719.0,Sr3Li3La5O12,2.54,16.4
mp-566152,0.318,0.382,-737.0,759.0,MgVBiO5,8.72,6.44
mp-775820,0.666,0.517,-505.0,566.0,Ti2N2O,1.09,2.15
mp-25714,0.0207,0.0151,-696.0,767.0,K2NiH8(CO5)2,91.2,173.0
mp-4930,0.384,0.938,-627.0,526.0,TiAl2O5,3.28,1.62
mp-768906,1.17,0.342,-498.0,646.0,YBrO,0.832,2.17
mp-764010,0.135,0.063,-592.0,684.0,Mn6OF11,251.0,49.9
mp-542112,1.4,0.415,-539.0,720.0,CaZrO3,0.583,1.97
mp-554034,0.216,0.264,-731.0,777.0,KLa2NbO6,10.0,14.4
mp-780885,0.0665,0.0977,-674.0,696.0,LiMn3P3O11,23.1,25.8
mp-28315,0.912,0.0432,-396.0,776.0,Rb4CdBr6,0.485,10.9
mp-774749,0.803,0.11,-446.0,697.0,RbNa3Li12Ti4O16,0.701,5.62
mp-764368,0.702,0.00751,-361.0,715.0,Li2Mn3OF6,0.529,73.3
mp-721707,0.154,0.135,-714.0,728.0,H6C3N4O3,11.2,234.0
mp-558226,0.927,0.0278,-412.0,838.0,H2O,0.517,18.7
mp-17953,0.343,0.371,-749.0,718.0,MgNb2O6,10.2,4.85
mp-868338,0.122,0.0541,-693.0,749.0,LiMnPO4,15.9,25.0
mp-778819,0.654,0.102,-420.0,702.0,LiMnF3,0.776,31.4
mp-778657,0.014,0.116,-728.0,734.0,LiMnF5,193.0,14.9
mp-775918,0.894,0.767,-719.0,595.0,LaTiNO2,42.0,7.45
mp-27133,0.958,0.185,-432.0,675.0,BiPS4,0.814,4.23
mp-4405,1.29,0.877,-270.0,-106.0,Rb3AuO,0.159,0.233
mp-3977,0.85,0.0401,-405.0,744.0,CsB3O5,0.548,11.8
mp-6610,0.219,0.0191,-676.0,844.0,K3Cu(CN)4,5.97,72.1
mp-6999,0.58,0.354,-603.0,672.0,ScPS4,10.1,3.87
mp-554657,0.374,0.277,-688.0,663.0,Na2Tl2B10O17,10.1,6.87
mp-27308,0.293,0.0493,-663.0,810.0,SbBrF8,7.3,50.9
mp-667424,0.0192,0.00683,-681.0,729.0,P2Os4C15O13F6,70.1,929.0
mp-645246,0.408,0.296,-609.0,691.0,Dy3BWO9,2.98,5.8
mp-557298,0.0136,0.132,-703.0,715.0,Fe2Pb3F12,382.0,29.7
mp-752452,0.867,0.147,-536.0,705.0,Mg3Te4O11,1.03,8.96
mp-553939,0.536,0.232,-546.0,707.0,CaCO3,1.66,8.12
mp-772561,0.599,0.0514,-561.0,796.0,Li2CuSb(PO4)2,2.09,121.0
mp-14769,0.829,0.319,-159.0,66.4,Ba2Zn3(AsO)2,0.093,0.226
mp-569813,1.01,0.115,-190.0,594.0,In5AgTe8,0.103,2.04
mp-557244,0.902,0.0377,-408.0,847.0,SiO2,0.528,35.3
mp-540861,0.26,0.12,-609.0,717.0,KNa3Al4(SiO4)4,4.17,15.9
mp-780181,0.073,0.0201,-740.0,761.0,Na2Cr4O13,32.7,98.0
mp-4182,1.55,0.389,-475.0,701.0,CrAgS2,0.412,1.65
mp-765124,0.0168,0.0168,32.3,33.5,LiV2F7,0.23,0.23
mp-28589,1.08,0.227,-595.0,632.0,Rb3Ge2Br7,5.85,5.09
mp-706271,0.00676,0.00369,-817.0,812.0,K2NaMo(OF)3,603.0,614.0
mp-558753,0.694,0.24,-663.0,729.0,BiB2O4F,1.9,5.16
mp-695259,0.436,0.265,-581.0,625.0,Ba3LiTi5(SbO7)3,3.08,236.0
mp-853163,6.19,6.36,-167.0,-169.0,Li4Co(OF)2,0.457,0.478
mp-7087,0.851,0.24,-427.0,761.0,SiO2,0.604,2.14
mp-568293,1.07,0.0591,-324.0,781.0,Ca3N2,0.276,5.48
mp-557492,0.727,0.302,-535.0,620.0,LiLa5Ti8O24,1.13,2.97
mp-10781,0.0135,3.88,-957.0,470.0,RbGdSe2,723.0,1.57
mp-28021,0.994,0.0283,-340.0,747.0,Sr5(Br4Cl)2,0.329,11.5
mp-558153,0.0048,0.00325,-647.0,771.0,Ba4Nb2(OF4)3,41800.0,768.0
mp-699229,0.9369999999999999,0.197,-422.0,652.0,HPb3ClO3,0.556,3.94
mp-10378,1.11,0.177,-255.0,648.0,Cs3Sb,0.165,1.03
mp-14099,0.977,0.29,-378.0,733.0,ZnAgF3,0.412,1.39
mp-753785,1.13,0.833,-635.0,721.0,NbOF3,652.0,2840.0
mp-709098,0.324,0.0943,-644.0,680.0,H2CS3,8.89,20.7
mp-18043,0.486,0.0715,-513.0,783.0,Sr6YSc(BO3)6,1.54,10.7
mp-759405,0.826,0.0512,-461.0,771.0,Bi3O2F5,0.756,12.0
mp-755217,0.964,0.181,-367.0,615.0,Cs2BaO2,0.395,9.57
mp-771276,0.444,0.28,-637.0,651.0,LiMnB2O5,5.48,8.96
mp-608354,0.342,0.31,-657.0,625.0,OsC3IO3,4.67,4.69
mp-770359,0.913,0.159,-493.0,756.0,TaAsO4,0.925,16.2
mp-566337,0.394,0.179,-682.0,761.0,VAgO3,7.43,9.59
mp-561160,0.0012,0.0977,-641.0,716.0,NbP4(S2Cl)5,12100.0,16.6
mp-765949,0.0074,0.0249,-802.0,851.0,VF5,417.0,85.7
mp-632394,0.945,0.157,-395.0,715.0,NaH2N,0.475,7.0
mp-557028,0.735,0.402,-585.0,643.0,Sr2LaTa3O11,2.9,8.17
mp-560314,0.782,0.0334,-447.0,733.0,In2H10S3O17,0.726,62.1
mp-772579,0.303,0.213,-739.0,757.0,La2WO6,6.05,12.5
mp-752393,0.87,0.14,-418.0,651.0,Be2P2O7,0.566,4.04
mp-567650,0.358,0.286,-647.0,763.0,Mn2Fe(CN)6,3.45,4.38
mp-759798,0.956,0.0197,-443.0,746.0,Bi7(O2F3)3,0.941,50.5
mp-720515,0.424,0.234,-693.0,746.0,HN,7.6,15.7
mp-13949,1.1,0.185,-225.0,567.0,Cd(GaTe2)2,0.135,0.773
mp-12385,1.42,0.372,-587.0,768.0,Ba2YTaO6,0.727,2.74
mp-772825,0.427,0.33,-663.0,749.0,Ta2BeO6,4.1,5.48
mp-652366,0.873,0.0578,-528.0,676.0,MoPb5O8,1.06,17.4
mp-570858,1.11,0.338,-324.0,606.0,AgCl,0.28,39.4
mp-757074,1.19,0.259,-559.0,753.0,BaCa2I6,0.796,10.4
mp-652663,0.173,0.164,-676.0,702.0,K2PtS15,8.1,20.3
mp-13327,0.912,0.888,-438.0,452.0,NdLuSe3,0.659,0.94
mp-561664,0.707,1.28,-646.0,492.0,TeF4,2.35,1.23
mp-766325,0.942,0.296,-449.0,566.0,BaCaI4,1.08,1.95
mp-581217,0.353,0.111,-631.0,754.0,Cs2Nb4O11,21.5,39.2
mp-753418,1.07,0.258,-436.0,758.0,SrNd2O4,0.499,2.08
mp-651122,0.0574,0.036,-698.0,701.0,Mn3Bi(CO)15,115.0,1300.0
mp-559911,0.103,0.0879,-745.0,680.0,V4S9Br4,26.9,17.9
mp-565464,0.425,0.154,-676.0,651.0,SrV2(PO5)2,99.4,10.7
mp-18132,0.963,0.0674,-372.0,700.0,K4SnSe4,0.406,8.14
mp-30945,0.0591,0.0297,-726.0,803.0,Ga2PdBr8,593.0,69.2
mp-680482,0.543,0.0612,-591.0,743.0,AgMo6Br13,13.7,18.4
mp-868265,0.784,0.0438,-332.0,628.0,Li2Mn4Si4O13,0.396,91.4
mp-34460,0.928,0.602,-417.0,582.0,Ag3AuS2,0.538,1.19
mp-756718,0.755,0.259,-626.0,696.0,Li4Bi2O5,1.8,6.14
mp-13067,0.951,0.403,-382.0,509.0,Tm2O3,0.453,1.26
mp-554529,0.555,0.0371,-475.0,731.0,Ba2TiO4,1.36,23.8
mp-752675,0.668,0.0848,-483.0,746.0,BaYF5,1.0,11.7
mp-754768,0.802,0.563,-580.0,700.0,Tb2Pt2O7,1.18,1.68
mp-756560,0.665,0.558,-613.0,548.0,Li2Ti3O7,178.0,1.94
mp-569515,0.781,0.186,-444.0,674.0,Hg3C2(N2Cl)2,0.753,5.68
mp-769500,1.01,0.161,-570.0,650.0,NaMnPCO7,455.0,18.7
mp-12453,1.26,0.917,-570.0,517.0,HoCuS2,2.27,1.26
mp-637617,0.116,0.00826,-680.0,711.0,Mn2SnC10(ClO5)2,23.7,232.0
mp-772605,0.799,0.00517,-463.0,798.0,NaSnAsCO7,0.969,150.0
mp-559393,0.718,0.00728,-483.0,806.0,K2CS2(O3F)2,0.953,122.0
mp-3395,0.63,0.537,-653.0,665.0,SrSeO3,2.45,5.21
mp-763130,0.888,0.875,-137.0,-134.0,LiNiPO4,0.33,0.331
mp-22853,0.98,0.951,-151.0,-144.0,MoCl3,0.13,0.134
mp-703348,0.00813,0.0197,-827.0,802.0,UP3HO11,1000.0,137.0
mp-6951,0.953,0.371,-387.0,702.0,RbCdF3,0.443,1.14
mp-570379,0.698,0.526,-660.0,744.0,Cs2LiLuCl6,1.76,2.33
mp-558865,0.0528,0.0811,-704.0,707.0,SeS4(NCl)3,33.1,25.1
mp-14628,1.12,0.0588,-274.0,789.0,ZnSnO3,0.188,4.11
mp-555952,0.336,0.0011,-603.0,755.0,Sb4RuC6(O3F11)2,3.83,2450.0
mp-568493,1.05,0.528,-569.0,627.0,In3SnI5,0.976,1.76
mp-24968,0.546,0.212,-529.0,616.0,FeMoClO4,105.0,9.76
mp-560102,0.0728,0.0558,-760.0,805.0,RbUSO6F,37300.0,292.0
mp-554646,0.0199,0.224,-764.0,715.0,TeS4(NCl)4,218.0,35.7
mp-571288,0.692,0.665,-614.0,647.0,KTa(AgSe2)2,2.13,1.8
mp-27246,1.07,1.02,-523.0,552.0,LuSBr,6.01,79.5
mp-28263,0.922,0.0721,-402.0,756.0,KH3O2,0.495,25.7
mp-763855,0.0877,0.092,75.1,106.0,Li2VCr(P2O7)2,3.52,3.53
mp-769976,0.0467,0.167,-741.0,743.0,Li2FePCO7,48.3,20.8
mp-570388,0.705,0.0763,-497.0,774.0,H8C2NCl,1.14,24.1
mp-7812,0.941,0.1,-400.0,658.0,GeO2,0.478,4.49
mp-19694,0.846,0.0667,-463.0,803.0,LiSbWO6,1.01,11.2
mp-755549,0.684,0.39,-600.0,619.0,Y2TeO6,1.63,2.6
mp-863382,0.357,0.306,-659.0,630.0,Li4Nb(P2O7)2,9.73,118.0
mp-754093,0.725,0.0986,-272.0,635.0,Gd2CdO4,0.289,2.12
mp-768237,0.0205,0.41,-835.0,697.0,Gd2HfO5,123.0,4.87
mp-557373,0.569,0.785,-604.0,660.0,Cu2WS4,4.9,2.92
mp-31738,0.234,0.104,-599.0,650.0,Cr(PO3)3,4.89,10.9
mp-4117,0.873,0.06709999999999999,-418.0,797.0,Li2Si2O5,0.566,8.89
mp-540026,0.24,0.0826,-619.0,-351.0,Li2FeP2O7,154.0,470.0
mp-562569,0.941,0.321,-535.0,729.0,CsPPbS4,22.2,46.2
mp-762841,0.67,0.00696,-368.0,720.0,Li3Mn4P3H12O19,0.571,60.3
mp-763362,0.633,0.0474,-366.0,764.0,LiMnF3,0.596,24.1
mp-685003,0.918,0.533,-444.0,552.0,Tb2Se3,0.628,1.25
mp-677095,1.05,0.0548,-357.0,688.0,Na2CaSn2(GeO4)3,0.343,6.64
mp-625094,1.04,0.115,-343.0,801.0,Cd(HO)2,0.318,3.32
mp-17886,1.58,1.18,-449.0,595.0,K2Al2Sb3,2.1,22.8
mp-766158,0.0786,0.219,-885.0,771.0,VF4,186.0,560.0
mp-25708,0.317,0.416,-641.0,599.0,Bi2MoO6,8.94,3.16
mp-30274,0.933,0.33,-417.0,658.0,AcBrO,0.582,1.49
mp-566919,0.351,0.427,-782.0,675.0,NaCaVO4,5.0,5.86
mp-6539,0.108,0.112,-738.0,703.0,RbTiPO5,20.3,24.5
mp-38394,1.02,0.471,-347.0,552.0,Ba(AlTe2)2,0.332,0.9
mp-579224,0.0249,0.115,-759.0,637.0,P4S9,65.2,14.2
mp-696735,0.896,0.0117,-420.0,824.0,H2O,0.554,45.5
mp-625631,0.193,0.283,-704.0,681.0,H4N2O3,40.6,15.3
mp-541459,0.899,0.0904,-394.0,674.0,KSnPO5,0.494,35.4
mp-625475,0.847,0.0295,-427.0,821.0,H2SO4,0.616,44.5
mp-627123,0.0298,0.274,-663.0,625.0,Si2H2O3,70.4,5.82
mp-17283,0.48,0.483,-607.0,587.0,K3NbSe4,2.21,2.36
mp-4556,0.826,0.029,-439.0,845.0,Li2SO4,0.656,22.8
mp-763253,2.56,2.55,-120.0,-119.0,LiCoSiO4,0.0915,0.0917
mp-696683,0.696,0.0328,-478.0,884.0,K3SnHF8,0.929,1060.0
mp-4156,0.83,0.296,-489.0,670.0,Li2ZrO3,1.27,2.46
mp-604304,0.958,0.0743,-416.0,721.0,HgH16(Br3N2)2,0.682,16.0
mp-764527,0.192,0.0154,-726.0,763.0,Li8Fe(O2F)2,7.73,130.0
