Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom]
AcHoO3,Ac,Ho,FALSE,element not in BV,element not in BV,1.12,0.90,orthorhombic,-3.731,-0.004,0.000,15.716,4.552,5.975,6.152,8.551,90.0,90.0,90.0,5.577
AcInO3,Ac,In,FALSE,element not in BV,element not in BV,1.12,0.80,orthorhombic,-2.748,-0.036,0.000,14.775,2.695,5.857,6.035,8.359,90.0,90.0,90.0,3.988
AcIrO3,Ac,Ir,FALSE,element not in BV,element not in BV,1.12,0.63,orthorhombic,-2.194,0.075,0.000,13.405,0.754,5.616,5.907,8.082,90.0,90.0,90.0,1.277
AcKO3,Ac,K,FALSE,element not in BV,element not in BV,1.12,1.38,orthorhombic,-1.973,0.394,0.400,19.767,0.000,6.346,6.434,9.682,90.0,90.0,90.0,-2.742
AcLaO3,Ac,La,FALSE,element not in BV,element not in BV,1.12,1.03,cubic,-2.983,0.663,0.000,18.986,1.423,4.562,4.562,4.562,90.0,90.0,90.0,4.187
AcLiO3,Ac,Li,FALSE,element not in BV,element not in BV,1.12,0.76,cubic,-2.248,0.223,0.399,11.628,0.000,3.874,3.874,3.874,90.0,90.0,90.0,-0.334
AcLuO3,Ac,Lu,FALSE,element not in BV,element not in BV,1.12,0.86,orthorhombic,-3.793,-0.022,0.000,15.050,4.709,5.905,6.047,8.429,90.0,90.0,90.0,5.945
AcMgO3,Ac,Mg,FALSE,element not in BV,element not in BV,1.12,0.72,rhombohedral,-2.898,0.079,0.201,12.717,0.000,5.556,5.556,5.556,62.2,62.2,62.2,-
AcMnO3,Ac,Mn,FALSE,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.918,-0.120,0.800,12.612,0.000,5.612,5.655,7.948,90.0,90.0,90.0,4.094
AcMoO3,Ac,Mo,FALSE,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.638,0.121,0.403,13.687,0.000,5.684,5.914,8.143,90.0,90.0,90.0,4.549
AcNaO3,Ac,Na,FALSE,element not in BV,element not in BV,1.12,1.02,cubic,-1.826,0.544,0.400,13.679,0.000,4.090,4.090,4.090,90.0,90.0,90.0,-
AcNbO3,Ac,Nb,FALSE,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.955,0.081,0.001,13.985,0.000,5.717,5.966,8.201,90.0,90.0,90.0,4.946
AcNdO3,Ac,Nd,FALSE,element not in BV,element not in BV,1.12,0.98,cubic,-3.029,0.571,0.000,18.259,1.828,4.503,4.503,4.503,90.0,90.0,90.0,4.679
AcNiO3,Ac,Ni,FALSE,element not in BV,element not in BV,1.12,0.59,orthorhombic,-2.365,-0.077,0.200,11.833,0.000,5.505,5.522,7.786,90.0,90.0,90.0,1.575
AcNpO3,Ac,Np,FALSE,element not in BV,element not in BV,1.12,0.86,cubic,-3.018,0.512,0.794,18.186,0.000,4.497,4.497,4.497,90.0,90.0,90.0,4.396
AcOsO3,Ac,Os,FALSE,element not in BV,element not in BV,1.12,0.57,orthorhombic,-2.146,0.167,0.109,13.292,0.000,5.463,6.091,7.989,90.0,90.0,90.0,2.322
AcPaO3,Ac,Pa,FALSE,element not in BV,element not in BV,1.12,0.91,cubic,-2.693,0.491,0.241,18.517,0.000,4.524,4.524,4.524,90.0,90.0,90.0,4.095
AcPbO3,Ac,Pb,FALSE,element not in BV,element not in BV,1.12,0.99,orthorhombic,-2.369,0.038,0.000,16.738,0.000,6.034,6.377,8.701,90.0,90.0,90.0,1.255
AcPdO3,Ac,Pd,FALSE,element not in BV,element not in BV,1.12,0.75,orthorhombic,-2.171,-0.122,0.000,13.678,0.000,5.715,5.924,8.081,90.0,90.0,90.0,1.499
AcPmO3,Ac,Pm,FALSE,element not in BV,element not in BV,1.12,0.97,cubic,-3.111,0.518,0.000,17.814,2.014,4.466,4.466,4.466,90.0,90.0,90.0,4.845
AcPrO3,Ac,Pr,FALSE,element not in BV,element not in BV,1.12,0.92,cubic,-2.953,0.625,0.000,18.704,1.649,4.539,4.539,4.539,90.0,90.0,90.0,4.449
AcPtO3,Ac,Pt,FALSE,element not in BV,element not in BV,1.12,0.67,orthorhombic,-2.101,0.037,0.000,14.009,0.000,5.811,6.177,7.805,90.0,90.0,90.0,1.204
AcPuO3,Ac,Pu,FALSE,element not in BV,element not in BV,1.12,0.83,cubic,-3.005,0.602,0.942,17.512,0.000,4.441,4.441,4.441,90.0,90.0,90.0,3.324
AcRbO3,Ac,Rb,FALSE,element not in BV,element not in BV,1.12,1.52,orthorhombic,-1.914,0.444,0.000,20.923,0.599,5.980,6.089,11.491,90.0,90.0,90.0,-2.002
AcReO3,Ac,Re,FALSE,element not in BV,element not in BV,1.12,0.57,orthorhombic,-2.286,0.273,0.215,13.361,0.000,5.556,5.978,8.046,90.0,90.0,90.0,2.924
AcRhO3,Ac,Rh,FALSE,element not in BV,element not in BV,1.12,0.61,orthorhombic,-2.334,-0.077,0.000,13.230,0.604,5.635,5.837,8.046,90.0,90.0,90.0,1.899
AcRuO3,Ac,Ru,FALSE,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.345,0.015,0.197,13.161,0.000,5.619,5.835,8.029,90.0,90.0,90.0,2.787
AcSbO3,Ac,Sb,FALSE,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.465,0.114,0.000,16.310,0.296,5.980,6.327,8.621,90.0,90.0,90.0,2.835
AcScO3,Ac,Sc,FALSE,element not in BV,element not in BV,1.12,0.75,orthorhombic,-3.762,-0.068,0.000,13.854,4.099,5.782,5.844,8.201,90.0,90.0,90.0,6.193
AcSiO3,Ac,Si,FALSE,element not in BV,element not in BV,1.12,0.40,tetragonal,-2.778,0.395,0.000,12.758,0.000,3.790,3.790,4.442,90.0,90.0,90.0,4.340
AcSmO3,Ac,Sm,FALSE,element not in BV,element not in BV,1.12,0.96,orthorhombic,-3.608,0.033,0.000,16.756,4.287,6.080,6.293,8.759,90.0,90.0,90.0,4.949
AcSnO3,Ac,Sn,FALSE,element not in BV,element not in BV,1.12,0.69,orthorhombic,-2.582,0.101,0.000,15.772,0.000,5.942,6.208,8.551,90.0,90.0,90.0,3.025
AcSrO3,Ac,Sr,FALSE,element not in BV,element not in BV,1.12,1.18,cubic,-2.247,0.780,-0.006,17.587,0.000,4.447,4.447,4.447,90.0,90.0,90.0,-1.505
AcTaO3,Ac,Ta,FALSE,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.945,0.159,0.000,13.765,0.000,5.615,5.983,8.195,90.0,90.0,90.0,4.844
AcTbO3,Ac,Tb,FALSE,element not in BV,element not in BV,1.12,0.84,orthorhombic,-3.561,0.009,0.000,16.078,4.382,6.009,6.201,8.630,90.0,90.0,90.0,5.379
AcTcO3,Ac,Tc,FALSE,element not in BV,element not in BV,1.12,0.60,orthorhombic,-2.487,0.069,0.397,13.358,0.000,5.652,5.840,8.095,90.0,90.0,90.0,3.730
AcTeO3,Ac,Te,FALSE,element not in BV,element not in BV,1.12,0.77,cubic,-1.817,0.558,0.001,16.423,0.000,4.346,4.346,4.346,90.0,90.0,90.0,2.116
AcThO3,Ac,Th,FALSE,element not in BV,element not in BV,1.12,0.94,cubic,-3.113,0.622,0.002,19.466,0.000,4.600,4.600,4.600,90.0,90.0,90.0,3.724
AcTiO3,Ac,Ti,FALSE,element not in BV,element not in BV,1.12,0.71,orthorhombic,-3.443,-0.092,0.003,12.800,0.000,5.647,5.662,8.007,90.0,90.0,90.0,5.944
AcTlO3,Ac,Tl,FALSE,element not in BV,element not in BV,1.12,1.20,orthorhombic,-2.270,-0.012,0.000,15.973,1.041,5.937,6.296,8.547,90.0,90.0,90.0,1.876
AcTmO3,Ac,Tm,FALSE,element not in BV,element not in BV,1.12,0.96,orthorhombic,-3.772,-0.016,0.000,15.361,4.565,5.940,6.089,8.494,90.0,90.0,90.0,5.793
AcUO3,Ac,U,FALSE,element not in BV,element not in BV,1.12,0.85,cubic,-2.874,0.635,0.525,17.809,0.000,4.466,4.466,4.466,90.0,90.0,90.0,2.892
AcVO3,Ac,V,FALSE,element not in BV,element not in BV,1.12,0.64,orthorhombic,-3.221,-0.116,0.400,12.873,1.210,5.664,5.684,7.997,90.0,90.0,90.0,4.968
AcWO3,Ac,W,FALSE,element not in BV,element not in BV,1.12,0.63,orthorhombic,-2.501,0.268,0.003,13.405,0.000,5.669,5.860,8.070,90.0,90.0,90.0,3.492
AcYO3,Ac,Y,FALSE,element not in BV,element not in BV,1.12,0.90,orthorhombic,-3.693,0.001,0.000,15.939,4.608,5.993,6.183,8.603,90.0,90.0,90.0,5.419
AcYbO3,Ac,Yb,FALSE,element not in BV,element not in BV,1.12,0.95,orthorhombic,-3.094,0.099,0.200,15.548,0.000,5.937,6.214,8.429,90.0,90.0,90.0,-0.312
AcZnO3,Ac,Zn,FALSE,element not in BV,element not in BV,1.12,0.74,orthorhombic,-2.416,0.033,0.000,12.540,0.000,5.587,5.662,7.928,90.0,90.0,90.0,0.739
AcZrO3,Ac,Zr,FALSE,element not in BV,element not in BV,1.12,0.72,orthorhombic,-3.365,0.069,-0.001,14.751,0.000,5.840,6.057,8.340,90.0,90.0,90.0,5.242
AgAcO3,Ag,Ac,FALSE,element not in BV,element not in BV,1.28,1.12,orthorhombic,-1.674,0.283,0.000,15.943,0.000,6.008,6.225,8.526,90.0,90.0,90.0,-1.294
Ag2O3,Ag,Ag,FALSE,not balanced,not balanced,1.28,0.95,cubic,0.351,0.576,-,12.997,0.000,4.020,4.020,4.020,90.0,90.0,90.0,-2.694
AgAlO3,Ag,Al,FALSE,not balanced,not balanced,1.28,0.54,orthorhombic,-1.510,0.235,-,9.898,0.000,5.094,5.323,7.300,90.0,90.0,90.0,-1.341
AgAsO3,Ag,As,FALSE,1,5,1.28,0.46,tetragonal,-0.815,0.293,-,11.367,0.000,3.571,3.571,4.458,90.0,90.0,90.0,0.529
AgAuO3,Ag,Au,FALSE,element not in BV,element not in BV,1.28,0.93,cubic,0.286,0.539,-,13.242,0.000,4.046,4.046,4.046,90.0,90.0,90.0,-1.113
AgBO3,Ag,B,FALSE,3,3,0.75,0.27,cubic,-0.350,1.074,-,8.138,0.000,3.439,3.439,3.439,90.0,90.0,90.0,-2.641
AgBaO3,Ag,Ba,FALSE,not balanced,not balanced,1.28,1.35,orthorhombic,-0.989,0.388,-,15.631,0.247,6.636,6.739,6.990,90.0,90.0,90.0,-6.975
AgBeO3,Ag,Be,FALSE,not balanced,not balanced,1.28,0.45,cubic,-0.616,0.683,-,8.781,0.000,3.528,3.528,3.528,90.0,90.0,90.0,-3.058
AgBiO3,Ag,Bi,FALSE,1,5,1.28,0.76,rhombohedral,-0.817,0.064,-,13.662,0.000,5.765,5.765,5.765,60.4,60.4,60.4,-0.062
AgCaO3,Ag,Ca,FALSE,not balanced,not balanced,1.28,1.00,rhombohedral,-0.975,0.435,-,14.204,0.000,5.884,5.884,5.884,59.4,59.4,59.4,-6.108
AgCdO3,Ag,Cd,FALSE,not balanced,not balanced,1.28,0.95,cubic,0.174,0.781,-,14.050,0.000,4.126,4.126,4.126,90.0,90.0,90.0,-4.143
AgCeO3,Ag,Ce,FALSE,not balanced,not balanced,1.28,0.94,orthorhombic,-1.597,0.280,0.000,15.130,0.000,5.962,6.115,8.300,90.0,90.0,90.0,-3.253
AgCoO3,Ag,Co,FALSE,not balanced,not balanced,1.28,0.63,orthorhombic,-0.481,0.258,0.005,10.146,0.000,5.208,5.302,7.348,90.0,90.0,90.0,-
AgCrO3,Ag,Cr,FALSE,1,5,1.28,0.49,orthorhombic,-1.236,0.150,0.386,10.545,0.000,5.357,5.401,7.290,90.0,90.0,90.0,0.037
AgCsO3,Ag,Cs,FALSE,not balanced,not balanced,1.28,1.67,cubic,0.539,1.287,-,16.599,0.000,4.362,4.362,4.362,90.0,90.0,90.0,-1.803
AgCuO3,Ag,Cu,FALSE,not balanced,not balanced,1.28,0.68,orthorhombic,-0.224,0.230,-,10.222,0.000,5.066,5.322,7.583,90.0,90.0,90.0,-2.405
AgDyO3,Ag,Dy,FALSE,not balanced,not balanced,1.28,0.99,cubic,-1.334,0.704,0.000,16.230,0.000,4.329,4.329,4.329,90.0,90.0,90.0,-3.359
AgErO3,Ag,Er,FALSE,not balanced,not balanced,1.28,0.89,cubic,-1.386,0.675,-0.023,15.940,0.000,4.303,4.303,4.303,90.0,90.0,90.0,-3.225
AgEuO3,Ag,Eu,FALSE,not balanced,not balanced,1.28,1.06,orthorhombic,-1.170,0.347,-0.033,13.994,0.000,5.684,5.956,8.268,90.0,90.0,90.0,-4.981
AgFeO3,Ag,Fe,FALSE,not balanced,not balanced,1.28,0.67,orthorhombic,-0.817,0.142,0.851,10.780,0.000,5.451,5.474,7.225,90.0,90.0,90.0,-
AgGaO3,Ag,Ga,FALSE,not balanced,not balanced,1.28,0.62,orthorhombic,-0.927,0.236,-,10.602,0.000,5.130,5.419,7.628,90.0,90.0,90.0,-2.518
AgGdO3,Ag,Gd,FALSE,not balanced,not balanced,1.28,0.94,cubic,-1.281,0.728,0.000,16.720,0.000,4.373,4.373,4.373,90.0,90.0,90.0,-3.470
AgGeO3,Ag,Ge,FALSE,not balanced,not balanced,1.28,0.63,orthorhombic,-1.053,0.186,-,10.400,0.000,5.325,5.343,7.310,90.0,90.0,90.0,-0.267
AgHfO3,Ag,Hf,FALSE,not balanced,not balanced,1.28,0.71,orthorhombic,-2.240,0.170,0.002,12.255,0.000,5.376,5.735,7.951,90.0,90.0,90.0,-0.054
AgHgO3,Ag,Hg,FALSE,not balanced,not balanced,1.28,1.11,cubic,0.409,0.703,-,14.360,0.000,4.156,4.156,4.156,90.0,90.0,90.0,-3.166
AgHoO3,Ag,Ho,FALSE,not balanced,not balanced,1.28,0.90,cubic,-1.362,0.688,0.030,15.995,0.000,4.308,4.308,4.308,90.0,90.0,90.0,-3.272
AgInO3,Ag,In,FALSE,not balanced,not balanced,1.28,0.80,cubic,-0.391,0.643,-,14.198,0.000,4.141,4.141,4.141,90.0,90.0,90.0,-3.350
AgIrO3,Ag,Ir,FALSE,1,5,1.28,0.57,rhombohedral,-0.591,0.154,0.007,11.313,0.000,5.367,5.367,5.367,61.6,61.6,61.6,1.233
AgKO3,Ag,K,FALSE,not balanced,not balanced,1.28,1.38,cubic,1.006,1.761,-,16.199,0.000,4.327,4.327,4.327,90.0,90.0,90.0,-4.658
AgLaO3,Ag,La,FALSE,not balanced,not balanced,1.28,1.03,orthorhombic,-1.707,0.261,0.089,15.011,0.000,5.835,6.067,8.480,90.0,90.0,90.0,-2.616
AgLiO3,Ag,Li,FALSE,not balanced,not balanced,1.28,0.76,cubic,0.105,0.926,-,9.602,0.000,3.635,3.635,3.635,90.0,90.0,90.0,-5.547
AgLuO3,Ag,Lu,FALSE,not balanced,not balanced,1.28,0.86,cubic,-1.528,0.565,-0.400,15.370,0.000,4.252,4.252,4.252,90.0,90.0,90.0,-2.317
AgMgO3,Ag,Mg,FALSE,not balanced,not balanced,1.28,0.72,cubic,-0.609,0.694,-,11.551,0.000,3.865,3.865,3.865,90.0,90.0,90.0,-3.823
AgMnO3,Ag,Mn,FALSE,not balanced,not balanced,1.28,0.62,orthorhombic,-1.013,0.151,0.596,10.451,0.000,5.328,5.333,7.356,90.0,90.0,90.0,-0.942
AgMoO3,Ag,Mo,FALSE,1,5,1.28,0.61,cubic,-1.548,0.182,0.000,11.963,0.000,3.911,3.911,3.911,90.0,90.0,90.0,4.381
AgNaO3,Ag,Na,FALSE,not balanced,not balanced,1.28,1.02,cubic,0.624,1.373,-,13.092,0.000,4.030,4.030,4.030,90.0,90.0,90.0,-9.782
AgNbO3,Ag,Nb,TRUE,1,5,1.28,0.64,rhombohedral,-2.009,0.043,0.000,12.263,1.269,5.611,5.611,5.611,59.2,59.2,59.2,4.672
AgNdO3,Ag,Nd,FALSE,not balanced,not balanced,1.28,0.98,cubic,-1.152,0.827,0.013,17.662,0.000,4.453,4.453,4.453,90.0,90.0,90.0,-3.549
AgNiO3,Ag,Ni,FALSE,not balanced,not balanced,1.28,0.59,orthorhombic,-0.377,0.232,0.006,10.196,0.000,5.118,5.377,7.410,90.0,90.0,90.0,-1.927
AgNpO3,Ag,Np,FALSE,element not in BV,element not in BV,1.28,0.86,orthorhombic,-2.246,0.086,0.400,14.282,1.698,5.694,6.003,8.356,90.0,90.0,90.0,1.048
AgOsO3,Ag,Os,FALSE,element not in BV,element not in BV,1.28,0.57,rhombohedral,-0.801,0.180,0.077,11.258,0.000,5.379,5.379,5.379,61.0,61.0,61.0,3.043
AgPaO3,Ag,Pa,FALSE,element not in BV,element not in BV,1.28,0.91,rhombohedral,-2.326,-0.361,0.000,14.961,2.571,6.043,6.043,6.043,58.2,58.2,58.2,4.367
AgPbO3,Ag,Pb,FALSE,not balanced,not balanced,1.28,0.99,orthorhombic,-0.668,0.106,-,13.353,0.000,5.484,5.809,8.382,90.0,90.0,90.0,-1.825
AgPdO3,Ag,Pd,FALSE,not balanced,not balanced,1.28,0.75,orthorhombic,-0.323,0.115,-,11.304,0.000,5.300,5.526,7.719,90.0,90.0,90.0,-1.906
AgPmO3,Ag,Pm,FALSE,element not in BV,element not in BV,1.28,0.97,cubic,-1.194,0.757,-0.025,17.337,0.000,4.426,4.426,4.426,90.0,90.0,90.0,-3.507
AgPrO3,Ag,Pr,FALSE,not balanced,not balanced,1.28,0.92,orthorhombic,-1.624,0.276,-0.001,14.835,0.000,5.914,6.088,8.241,90.0,90.0,90.0,-3.230
AgPtO3,Ag,Pt,FALSE,element not in BV,element not in BV,1.28,0.67,orthorhombic,-0.389,0.162,0.185,11.472,0.000,5.390,5.527,7.702,90.0,90.0,90.0,-0.739
AgPuO3,Ag,Pu,FALSE,element not in BV,element not in BV,1.28,0.83,orthorhombic,-2.016,0.046,0.600,14.166,0.997,5.670,5.990,8.343,90.0,90.0,90.0,0.281
AgRbO3,Ag,Rb,FALSE,not balanced,not balanced,1.28,1.52,cubic,0.957,1.699,-,16.106,0.000,4.318,4.318,4.318,90.0,90.0,90.0,-12.398
AgReO3,Ag,Re,FALSE,1,5,1.28,0.58,cubic,-1.220,0.301,0.000,11.768,0.000,3.889,3.889,3.889,90.0,90.0,90.0,4.367
AgRhO3,Ag,Rh,FALSE,not balanced,not balanced,1.28,0.61,orthorhombic,-0.541,0.188,0.038,11.041,0.000,5.357,5.411,7.617,90.0,90.0,90.0,0.287
AgRuO3,Ag,Ru,FALSE,1,5,1.28,0.57,rhombohedral,-0.754,0.112,0.100,11.148,0.000,5.375,5.375,5.375,60.7,60.7,60.7,1.891
AgSbO3,Ag,Sb,TRUE,1,5,1.28,0.60,orthorhombic,-1.157,0.109,-,12.152,0.000,5.539,5.591,7.848,90.0,90.0,90.0,2.278
AgScO3,Ag,Sc,FALSE,not balanced,not balanced,1.28,0.75,orthorhombic,-1.781,0.235,0.001,11.772,0.000,5.276,5.635,7.918,90.0,90.0,90.0,-2.029
AgSiO3,Ag,Si,FALSE,not balanced,not balanced,1.28,0.40,tetragonal,-1.630,0.320,-,10.221,0.000,3.320,3.320,4.638,90.0,90.0,90.0,0.186
AgSmO3,Ag,Sm,FALSE,not balanced,not balanced,1.28,0.96,cubic,-1.220,0.743,0.054,17.490,0.000,4.439,4.439,4.439,90.0,90.0,90.0,-3.430
AgSnO3,Ag,Sn,FALSE,not balanced,not balanced,1.28,0.69,orthorhombic,-1.126,0.152,-,12.255,0.000,5.392,5.661,8.030,90.0,90.0,90.0,-0.512
AgSrO3,Ag,Sr,FALSE,not balanced,not balanced,1.28,1.18,orthorhombic,-1.047,0.354,-,14.274,0.000,6.337,6.414,7.024,90.0,90.0,90.0,-7.543
AgTaO3,Ag,Ta,TRUE,1,5,1.28,0.64,rhombohedral,-2.247,0.018,0.000,12.114,2.030,5.584,5.584,5.584,59.3,59.3,59.3,5.586
AgTbO3,Ag,Tb,FALSE,not balanced,not balanced,1.28,0.84,cubic,-1.177,0.716,-0.001,16.469,0.000,4.351,4.351,4.351,90.0,90.0,90.0,-3.403
AgTcO3,Ag,Tc,FALSE,element not in BV,element not in BV,1.28,0.60,rhombohedral,-1.141,0.172,0.003,11.350,0.000,5.442,5.442,5.442,59.8,59.8,59.8,3.523
AgTeO3,Ag,Te,FALSE,not balanced,not balanced,1.28,0.77,orthorhombic,-0.835,0.140,-,12.872,0.000,5.620,5.719,8.010,90.0,90.0,90.0,1.213
AgThO3,Ag,Th,FALSE,not balanced,not balanced,1.28,0.94,cubic,-2.063,0.585,-0.115,17.974,0.000,4.479,4.479,4.479,90.0,90.0,90.0,-0.696
AgTiO3,Ag,Ti,FALSE,not balanced,not balanced,1.28,0.71,orthorhombic,-1.915,0.137,0.006,11.010,0.000,5.410,5.418,7.512,90.0,90.0,90.0,-0.160
AgTlO3,Ag,Tl,FALSE,not balanced,not balanced,1.28,1.20,cubic,0.113,0.694,-,14.969,0.000,4.214,4.214,4.214,90.0,90.0,90.0,-3.625
AgTmO3,Ag,Tm,FALSE,not balanced,not balanced,1.28,0.96,cubic,-1.419,0.660,0.000,15.687,0.000,4.281,4.281,4.281,90.0,90.0,90.0,-3.122
AgUO3,Ag,U,FALSE,1,5,1.28,0.76,rhombohedral,-2.513,-0.009,0.200,14.714,2.636,6.032,6.032,6.032,57.7,57.7,57.7,3.748
AgVO3,Ag,V,TRUE,1,5,1.28,0.54,tetragonal,-1.582,0.125,0.000,11.419,0.341,3.684,3.684,4.208,90.0,90.0,90.0,1.832
AgWO3,Ag,W,FALSE,1,5,1.28,0.62,cubic,-1.675,0.281,0.000,12.020,0.000,3.917,3.917,3.917,90.0,90.0,90.0,5.198
AgYO3,Ag,Y,FALSE,not balanced,not balanced,1.28,0.90,cubic,-1.373,0.643,0.401,16.597,0.000,4.362,4.362,4.362,90.0,90.0,90.0,-2.727
AgYbO3,Ag,Yb,FALSE,not balanced,not balanced,1.28,0.95,orthorhombic,-1.234,0.281,-,12.637,0.000,5.800,5.981,7.285,90.0,90.0,90.0,-5.322
AgZnO3,Ag,Zn,FALSE,not balanced,not balanced,1.28,0.74,cubic,-0.130,0.642,-,11.449,0.000,3.854,3.854,3.854,90.0,90.0,90.0,-3.480
AgZrO3,Ag,Zr,FALSE,not balanced,not balanced,1.28,0.72,orthorhombic,-2.099,0.187,-0.034,12.568,0.000,5.398,5.783,8.052,90.0,90.0,90.0,-0.445
AlAcO3,Al,Ac,FALSE,element not in BV,element not in BV,0.54,1.12,orthorhombic,-3.304,0.228,0.000,14.825,3.118,5.553,5.620,9.501,90.0,90.0,90.0,-5.958
